"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-03-22","5","39","12",""
"2020-03-23","6","44","18",""
"2020-03-24","10","71","23",""
"2020-03-25","14","79","26",""
"2020-03-26","17","86","27",""
"2020-03-27","21","105","37","0"
"2020-03-28","25","130","59",""
"2020-03-29","25","141","66",""
"2020-03-30","27","156","81",""
"2020-03-31","34","197","88","0"
"2020-04-01","41","226","101",""
"2020-04-02","43","245","105","0"
"2020-04-03","54","279","117","0"
"2020-04-04","68","400","125","0"
"2020-04-05","86","436","151","0"
"2020-04-06","128","496","159","0"
"2020-04-07","147","571","210","0"
"2020-04-08","201","636","279","0"
"2020-04-09","214","701","294","0"
"2020-04-10","230","751","336","9"
"2020-04-11","255","807","404","13"
"2020-04-12","281","880","464","0"
"2020-04-13","288","919","551","0"
"2020-04-14","329","947","639","11"
"2020-04-15","345","974","678","17"
"2020-04-16","352","1003","698","17"
"2020-04-17","384","1100","811","22"
"2020-04-18","417","1205","886","30"
"2020-04-19","417","1205","886","30"
"2020-04-20","430","1229","1055","31"
"2020-04-21","459","1303","1139","30"
"2020-04-22","503","1352","1317","28"
"2020-04-23","539","1389","1377","3"
"2020-04-24","558","1486","1394","4"
"2020-04-25","579","1504","1490","3"
"2020-04-26","625","1599","1801","9"
"2020-04-27","652","1629","1870","11"
"2020-04-28","728","1701","2114","32"
"2020-04-29","743","1717","2169","26"
"2020-04-30","759","1734","2216","25"
"2020-05-01","773","1829","2292","24"
"2020-05-02","793","1864","2359","22"
"2020-05-03","821","1903","2461","23"
"2020-05-04","833","1934","2497","24"
"2020-05-05","847","1979","2520","25"
"2020-05-06","891","2087","2764","36"
"2020-05-07","945","2130","2834","30"
"2020-05-08","963","2184","2936","28"
"2020-05-09","985","2275","2990","27"
"2020-05-10","985","2275","2990","27"
"2020-05-11","1044","2390","3091","40"
"2020-05-12","1060","2440","3205","36"
"2020-05-13","1084","2496","3336","36"
"2020-05-14","1115","2560","3503","45"
"2020-05-15","1146","2619","3565","43"
"2020-05-16","1176","2667","3658","46"
"2020-05-17","1197","2682","3739","52"
"2020-05-18","1219","2738","3861","51"
"2020-05-19","1238","2845","3904","50"
"2020-05-20","1253","2933","3960","48"
"2020-05-21","1281","3053","4006","46"
"2020-05-22","1296","3132","4048","53"
"2020-05-23","1296","3132","4048","53"
"2020-05-24","1340","3309","4103","57"
"2020-05-25","1356","3436","4118","55"
"2020-05-26","1368","3508","4132","58"
"2020-05-27","1374","3528","4140","54"
"2020-05-28","1392","3575","4151","53"
"2020-05-29","1401","3629","4155","51"
"2020-05-30","1432","3723","4215","52"
"2020-05-31","1436","3758","4253","51"
"2020-06-01","1440","3838","4272","55"
"2020-06-02","1450","3883","4299","53"
"2020-06-03","1451","3903","4305","53"
"2020-06-04","1454","3925","4314","53"
"2020-06-05","1465","3937","4322","49"
"2020-06-06","1496","3995","4342","12"
"2020-06-07","1511","4070","4346","15"
