"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-03-20","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","",""
"2020-04-04","","","","-1","","","","","","","",""
"2020-04-05","","","","","","","","","","","-5",""
"2020-04-06","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","6"
"2020-04-09","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","1","-7"
"2020-04-14","","","","","","","","","","","","-1"
"2020-04-15","","-2","","","","","","","","","",""
"2020-04-17","","","","0","","","","","","","",""
"2020-04-27","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","","",""
"2020-05-04","","","","","","","","","","","",""
"2020-05-05","","","","","","","","0","","","",""
"2020-05-06","","","","","","","","","","","",""
"2020-05-07","","","","","","","","","","","",""
"2020-05-08","","-1","","0","","","","","","","",""
"2020-05-09","","","0","0","","","","","","","",""
"2020-05-10","","2","","0","","","","","","","",""
"2020-05-11","","","","0","","","","","","","",""
"2020-05-12","","","1","5","","","","","","","",""
"2020-05-13","","","","-5","","","","","","","",""
"2020-05-14","0","","-1","0","","","","","","","",""
"2020-05-15","","","","0","","","","","","","","0"
"2020-05-16","","","0","0","","","","","","","",""
"2020-05-17","","","1","","","","","","","","",""
"2020-05-18","1","","3","","","","","","","","",""
"2020-05-19","","","","0","","","","","","","",""
"2020-05-20","","","","12","","","","","","","",""
"2020-05-21","","","","-7","","","","","","","",""
"2020-05-22","","","-17","-4","","","","","","","",""
"2020-05-23","","","","4","","","","0","","","0","0"
"2020-05-24","","","","-4","","","","-3","","","-4","9"
"2020-05-25","2","3","-1","6","","","","","3","","",""
"2020-05-26","","-2","14","-5","","","","","-1","","","-9"
"2020-05-27","4","","0","0","","","","","","","","0"
"2020-05-28","","","","1","","","","","","","2",""
"2020-05-29","","","","1","","","","","","","","0"
"2020-05-30","","","-2","0","","","","","","","0","3"
"2020-05-31","","","-2","3","","","","","","","1","-3"
"2020-06-01","","2","-3","","","","","","","","-2","0"
"2020-06-02","","","","-5","","","","1","","","",""
"2020-06-03","","-3","","1","","","","0","","","",""
"2020-06-04","0","2","2","0","","0","","1","0","","",""
"2020-06-05","0","-2","-2","-1","","0","","","0","","",""
"2020-06-06","","0","-1","1","","","","","","","","0"
"2020-06-07","0","1","1","0","","","","","0","","",""
"2020-06-08","","","","","","","","","","-6","",""
"2020-06-09","","","","2","","","","0","","7","",""
"2020-06-10","1","","","-3","","","","","0","-6","-1","-2"
"2020-06-11","","","1","5","","","","","0","-1","1","-2"
"2020-06-12","","-1","3","-6","","","","","","2","-1","1"
"2020-06-13","","","","8","","","","","3","-2","0",""
"2020-06-14","","","","-6","","","","","-2","","0",""
"2020-06-15","","2","","-1","","","","","-1","","18","6"
"2020-06-16","","","","-1","-1","","","","","","",""
"2020-06-17","","0","4","6","","","","","","0","",""
"2020-06-18","","-2","","-5","","","","","3","","0",""
"2020-06-19","","","7","5","","","","","","","6",""
"2020-06-20","-1","","-3","-4","","","","","0","","-5",""
"2020-06-21","","","","7","","","","","","0","0",""
"2020-06-22","4","","","-1","","","","","-1","0","1",""
"2020-06-23","","1","7","7","","","","","0","","","-10"
"2020-06-24","-4","2","-7","-14","","","","","-2","","-1","0"
"2020-06-25","","","-12","14","","","","","1","0","4",""
"2020-06-26","","","-1","-1","","","","","","-1","-6",""
