"date","Arizona/Apache","Arizona/Cochise","Arizona/Coconino","Arizona/Gila","Arizona/Graham","Arizona/Greenlee","Arizona/La Paz","Arizona/Maricopa","Arizona/Mohave","Arizona/Navajo","Arizona/Pima","Arizona/Pinal","Arizona/Santa Cruz","Arizona/Unassigned","Arizona/Yavapai","Arizona/Yuma"
"2020-03-22","","","","","","","","","","","","","","","",""
"2020-03-23","1","0","3","0","0","0","0","58","0","12","7","1","0","","0","1"
"2020-03-24","0","0","1","0","0","0","0","60","0","7","18","5","0","","0","0"
"2020-03-25","3","0","5","0","0","0","0","52","0","5","7","1","0","0","1","1"
"2020-03-26","2","1","5","0","0","0","2","48","2","6","26","12","1","0","1","1"
"2020-03-27","2","0","13","0","2","0","0","100","2","6","27","1","0","0","4","0"
"2020-03-28","2","1","15","1","-2","0","0","55","1","8","18","5","0","0","4","0"
"2020-03-29","0","0","6","0","0","0","0","91","1","5","33","10","0","0","-1","1"
"2020-03-30","4","1","9","0","0","1","0","145","1","26","34","13","0","0","3","1"
"2020-03-31","-1","0","10","0","0","0","0","98","0","3","15","-2","0","0","6","3"
"2020-04-01","17","0","36","0","0","0","0","83","0","80","15","3","1","0","3","3"
"2020-04-02","2","0","29","1","0","0","0","90","1","27","20","4","0","0","10","1"
"2020-04-03","4","1","29","0","0","0","0","88","1","47","43","8","0","0","1","0"
"2020-04-04","3","2","21","1","1","0","0","122","3","29","46","12","1","0","8","1"
"2020-04-05","3","1","42","0","-1","0","1","155","4","33","46","14","0","0","2","-1"
"2020-04-06","13","1","19","0","0","0","0","107","4","52","43","3","0","0","4","0"
"2020-04-07","7","0","24","0","0","0","0","62","3","19","0","14","1","0","8","0"
"2020-04-08","13","0","7","0","0","0","0","64","0","26","49","4","1","0","1","1"
"2020-04-09","-26","2","-78","0","0","0","1","130","4","-118","48","13","1","0","4","1"
"2020-04-10","3","0","4","0","0","0","0","52","1","1","31","1","0","0","0","1"
"2020-04-11","11","2","24","0","0","1","0","150","2","34","48","8","1","0","1","-1"
"2020-04-12","6","2","5","0","0","0","0","69","0","14","31","17","0","0","0","5"
"2020-04-13","17","1","10","0","0","0","0","60","10","10","46","5","2","0","2","0"
"2020-04-14","8","-1","17","0","0","0","0","36","5","10","17","7","0","0","5","0"
"2020-04-15","13","0","-4","0","0","0","1","90","0","35","15","7","2","0","-4","0"
"2020-04-16","8","3","33","2","0","0","0","118","6","20","60","15","2","0","2","4"
"2020-04-17","23","2","5","0","0","0","0","140","0","25","59","15","0","0","1","4"
"2020-04-18","28","2","10","2","0","0","0","87","1","17","37","23","2","0","3","1"
"2020-04-19","9","2","19","0","0","0","0","98","2","7","57","12","3","0","0","0"
"2020-04-20","24","4","4","1","0","0","0","47","2","14","28","9","1","0","-1","2"
"2020-04-21","24","1","5","1","0","0","1","102","3","12","22","12","3","0","1","1"
"2020-04-22","9","2","11","1","0","0","0","108","3","42","10","15","5","0","1","10"
"2020-04-23","33","0","19","2","2","0","0","124","7","37","53","20","0","0","2","0"
"2020-04-24","28","3","19","-1","3","0","2","146","4","19","34","14","2","0","0","0"
"2020-04-25","18","2","11","0","-1","0","-1","118","8","29","30","15","0","0","1","11"
