"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-07-17","   .00 %","   .00 %","   .00 %","  1.04 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.28 %","   .00 %","   .00 %","   .00 %","  1.56 %"
"2020-07-18","   .00 %","   .00 %","   .00 %","   .29 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","  2.27 %","   .00 %","   .00 %"
"2020-07-19","   .00 %","  3.95 %","   .00 %","   .29 %","   .00 %","   .00 %","   .00 %","  2.44 %"," 10.00 %","   .00 %","  1.27 %"," 50.00 %","   .00 %","  1.01 %","   .00 %"
"2020-07-20","  1.43 %","   .00 %","  4.17 %","   .73 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","   .00 %","  3.08 %"
"2020-07-21","   .00 %","  1.27 %","   .00 %","  1.16 %","-20.00 %","   .91 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-30.00 %","   .00 %","   .00 %","   .00 %"
"2020-07-22","   .00 %","   .00 %","   .00 %","  -.14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.49 %"
"2020-07-23","   .00 %","   .00 %","   .00 %","  1.44 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.47 %"
"2020-07-24","  1.41 %","  1.25 %","   .00 %","   .14 %","   .00 %","  1.80 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.50 %","   .00 %","  2.22 %","   .00 %","   .00 %"
"2020-07-25"," -1.39 %","   .00 %","   .00 %","   .71 %","   .00 %","   .88 %","   .00 %","   .00 %"," 27.27 %","   .00 %","  1.22 %","   .00 %","  2.17 %","  1.00 %","   .00 %"
"2020-07-26","   .00 %","  1.23 %","   .00 %","   .28 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.20 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .88 %","   .00 %","   .00 %","  7.14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-28","   .00 %","   .00 %","  4.00 %","   .28 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-29","   .00 %","  1.22 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.45 %"
"2020-07-31","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.74 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.95 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-01","  1.41 %","  1.20 %","   .00 %","   .28 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","   .00 %"," 14.29 %","   .00 %","   .00 %","  1.43 %"
"2020-08-02","   .00 %","   .00 %","   .00 %","   .42 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.26 %","   .00 %","   .00 %"
"2020-08-03","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-04","  1.39 %","   .00 %","   .00 %","   .28 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.04 %","   .00 %","   .00 %"
"2020-08-05","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .85 %","   .00 %","   .00 %","-12.50 %","   .00 %","  3.37 %","   .00 %","  4.00 %","   .99 %","   .00 %"
"2020-08-06","   .00 %","  1.19 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.38 %","   .00 %","   .00 %","  5.43 %","   .00 %","  1.92 %","   .00 %","  1.41 %"
"2020-08-07","   .00 %","   .00 %","   .00 %","   .14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.06 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-08","   .00 %","   .00 %","   .00 %","   .55 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-09","   .00 %","  2.35 %","  7.69 %","   .14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-10","   .00 %","  1.15 %","   .00 %","   .14 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.01 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-11","  1.37 %","  2.27 %","   .00 %","   .68 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.14 %","   .00 %"," -1.00 %","   .00 %","   .00 %","  1.96 %","   .00 %"
"2020-08-12","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.01 %","   .00 %","  7.55 %","   .00 %","  1.39 %"
"2020-08-13","   .00 %","  1.11 %","   .00 %","   .41 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.67 %","   .00 %","  1.00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-14","   .00 %","  1.10 %","   .00 %","  1.49 %","   .00 %","  1.69 %","   .00 %","   .00 %","   .00 %","  7.14 %","   .00 %","   .00 %","   .00 %","   .96 %","  1.37 %"
"2020-08-15","  1.35 %","   .00 %","  3.57 %","   .40 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.25 %","   .00 %","   .00 %","   .00 %","  1.75 %","   .00 %","  1.35 %"
"2020-08-16","  1.33 %","   .00 %","   .00 %","   .53 %","   .00 %","   .83 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-17","   .00 %","   .00 %","   .00 %","   .93 %","   .00 %","   .00 %","   .00 %","  4.65 %","  5.88 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.90 %","   .00 %"
"2020-08-18","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .99 %","   .00 %","   .00 %","  1.87 %","   .00 %"
"2020-08-19","   .00 %","   .00 %","   .00 %","   .13 %","   .00 %","   .83 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.72 %","   .00 %","   .00 %"
"2020-08-20","   .00 %","   .00 %","  3.45 %","   .26 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.56 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.26 %","   .00 %","   .98 %","   .00 %","   .00 %","  1.83 %","   .00 %"
"2020-08-22","  1.32 %","  3.26 %","   .00 %","   .52 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.69 %","  2.70 %","   .00 %"
"2020-08-23","   .00 %","  1.05 %","   .00 %","   .39 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-08-24","   .00 %","   .00 %","   .00 %","   .26 %","   .00 %","   .82 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.94 %","   .00 %","  1.67 %","  2.63 %","   .00 %"
