"date","Vermont/Addison","Vermont/Bennington","Vermont/Caledonia","Vermont/Chittenden","Vermont/Essex","Vermont/Franklin","Vermont/Grand Isle","Vermont/Lamoille","Vermont/Orange","Vermont/Orleans","Vermont/Rutland","Vermont/Unassigned","Vermont/Washington","Vermont/Windham","Vermont/Windsor"
"2020-04-03"," 23.08 %"," 11.76 %","   .00 %"," 12.43 %",""," 31.25 %",""," 21.43 %","   .00 %"," 14.29 %"," 41.67 %"," 20.00 %"," 16.67 %"," 16.67 %","   .00 %"
"2020-04-04","  6.25 %"," 21.05 %"," 25.00 %"," 23.12 %","","  9.52 %","","   .00 %","   .00 %","   .00 %"," 41.18 %"," 83.33 %","   .00 %"," 19.05 %","  5.00 %"
"2020-04-05"," 17.65 %","  4.35 %"," 20.00 %"," 10.61 %",""," 17.39 %","","   .00 %","   .00 %","   .00 %"," 12.50 %"," 18.18 %","  4.76 %"," 24.00 %","  4.76 %"
"2020-04-06","   .00 %","  4.17 %","   .00 %","  5.17 %","","  7.41 %","","  5.88 %","   .00 %","   .00 %","  3.70 %"," 61.54 %","   .00 %"," 12.90 %","   .00 %"
"2020-04-07"," 17.50 %","  8.00 %"," 33.33 %","  8.07 %",""," 13.79 %","   .00 %","  5.56 %","   .00 %","   .00 %"," 10.71 %","-85.71 %","  9.09 %","  8.57 %","  9.09 %"
"2020-04-08","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-09","  6.38 %"," 14.81 %","   .00 %","  9.09 %","   .00 %","  6.06 %"," ##.## %","   .00 %"," 25.00 %","   .00 %","  9.68 %","-75.76 %","   .00 %"," 10.53 %","   .00 %"
"2020-04-10","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-11","  8.00 %","   .00 %","   .00 %","  4.46 %","   .00 %"," ##.## %","   .00 %"," 10.53 %","   .00 %","   .00 %","  2.94 %","-81.36 %"," 16.67 %"," 19.05 %","  4.17 %"
"2020-04-12","  1.85 %","   .00 %","   .00 %","  3.70 %","   .00 %","  1.25 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.86 %","-36.36 %","   .00 %","  8.00 %","   .00 %"
