"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2021-03-30","   .36 %","","",""
"2021-03-31","   .06 %","","   .20 %",""
"2021-04-01","   .30 %"," 33.33 %","",""
"2021-04-02","   .24 %","","",""
"2021-04-03","   .36 %","","",""
"2021-04-04","   .36 %","","",""
"2021-04-05","   .36 %","","",""
"2021-04-06","  1.36 %","","",""
"2021-04-07","  1.75 %"," 25.00 %","",""
"2021-04-08","   .34 %","","",""
"2021-04-09","   .29 %","","","   .93 %"
"2021-04-10","  1.19 %","","   .20 %",""
"2021-04-12","   .28 %","","",""
"2021-04-13","  1.34 %","","","   .92 %"
"2021-04-14","   .88 %","","   .98 %",""
"2021-04-15","  2.03 %","","   .78 %",""
"2021-04-16","   .97 %"," 60.00 %","   .19 %",""
"2021-04-17","  3.19 %"," 75.00 %","   .58 %","  2.73 %"
"2021-04-18","  2.22 %"," 35.71 %"," 10.13 %","  3.54 %"
"2021-04-20","  3.58 %","","  3.30 %","   .85 %"
"2021-04-21","  1.51 %","  5.26 %","   .34 %"," 13.56 %"
"2021-04-22","  5.13 %"," 70.00 %","   .50 %",""
"2021-04-23","  7.62 %"," 50.00 %","   .67 %","  2.24 %"
"2021-04-24","  4.11 %","","  2.32 %","  7.30 %"
"2021-04-25","  5.13 %","","  2.27 %","  5.44 %"
"2021-04-26","   .58 %","  1.96 %","   .63 %","  1.94 %"
"2021-04-27","  3.16 %","  1.92 %","   .63 %","  6.33 %"
"2021-04-28","  4.26 %","  9.43 %","  3.59 %","  5.36 %"
"2021-04-29","  4.44 %","  5.17 %","  5.13 %","  5.08 %"
"2021-04-30","  6.27 %","  6.56 %","  1.43 %","  4.30 %"
"2021-05-01","  6.29 %"," 15.38 %","  4.53 %"," 11.34 %"
"2021-05-02","  4.34 %","  4.00 %","  7.85 %"," 12.04 %"
"2021-05-03","   .38 %","","   .50 %","  4.13 %"
"2021-05-04","  5.39 %"," 10.26 %","  2.37 %","  6.75 %"
"2021-05-05","  4.70 %","  2.33 %","  2.93 %","  8.92 %"
"2021-05-06"," 82.46 %"," ##.## %"," 65.64 %"," 88.74 %"
"2021-05-07","  2.95 %","  6.84 %","  1.00 %","  4.52 %"
"2021-05-08","  1.69 %","  1.07 %","  4.11 %","  2.94 %"
"2021-05-09","  1.97 %","","  3.54 %","  5.38 %"
"2021-05-10","   .32 %","  1.58 %","   .59 %","  1.12 %"
"2021-05-11","  2.54 %","  1.30 %","  2.29 %","  1.89 %"
"2021-05-12","  2.49 %","  1.03 %","  1.21 %","  2.17 %"
"2021-05-13","  1.71 %","  1.02 %","  4.98 %","  2.12 %"
"2021-05-14","  1.95 %","  1.76 %","  2.40 %","  4.45 %"
"2021-05-15","  1.41 %","  1.48 %","  2.99 %","  6.25 %"
"2021-05-16","  2.35 %","","  5.64 %","  6.42 %"
"2021-05-17","   .38 %","   .49 %","  1.24 %","  1.63 %"
"2021-05-18","  1.95 %","   .24 %","   .59 %","  3.96 %"
"2021-05-19","  1.83 %","","  1.96 %","  9.16 %"
"2021-05-20","  1.38 %","  3.14 %","  3.90 %","  4.36 %"
"2021-05-21","  1.70 %","   .47 %","  4.50 %","  7.72 %"
"2021-05-22","  2.21 %","  1.63 %","  2.63 %","  2.42 %"
"2021-05-23","  2.21 %","","  2.38 %","  6.53 %"
"2021-05-24","   .28 %","   .46 %","   .18 %","  6.13 %"
"2021-05-25","  1.88 %","  1.60 %","  2.00 %","  4.10 %"
