"date","Jammu and Kashmir/Anantnag","Jammu and Kashmir/Bandipora","Jammu and Kashmir/Baramulla","Jammu and Kashmir/Budgam","Jammu and Kashmir/Doda","Jammu and Kashmir/Ganderbal","Jammu and Kashmir/Jammu","Jammu and Kashmir/Kathua","Jammu and Kashmir/Kishtwar","Jammu and Kashmir/Kulgam","Jammu and Kashmir/Kupwara","Jammu and Kashmir/Pulwama","Jammu and Kashmir/Punch","Jammu and Kashmir/Rajouri","Jammu and Kashmir/Ramban","Jammu and Kashmir/Reasi","Jammu and Kashmir/Samba","Jammu and Kashmir/Shopiyan","Jammu and Kashmir/Srinagar","Jammu and Kashmir/Udham Singh Nagar","Jammu and Kashmir/Udhampur","Jammu and Kashmir/Unknown"
"2020-03-09","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-03-13","","","","","",""," ##.## %","","","","","","","","","","","","","","",""
"2020-03-16","","","","","",""," 50.00 %","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-24","","   .00 %","","","","","","","","","","","","","","","",""," ##.## %","","",""
"2020-03-25","","   .00 %","","","","","","","","","","","","","","","",""," 50.00 %","","",""
"2020-03-26","","","","","","","","","","","","","","   .00 %","","","",""," 66.67 %","","",""
"2020-03-27","","","","","","","","","","","","",""," ##.## %","","","",""," 80.00 %","","",""
"2020-03-28",""," ##.## %","","","",""," ##.## %","","","","","","","","","","",""," 66.67 %","","",""
"2020-03-29","","","   .00 %","   .00 %","","","","","","","","","","","","","",""," 13.33 %","","",""
"2020-03-30",""," 37.50 %","","","",""," 50.00 %","","","","","","","","","","","   .00 %"," 17.65 %","","",""
"2020-03-31","","","","","","","","","","","","","","","","","",""," 30.00 %","","",""
"2020-04-01",""," 63.64 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-02",""," 44.44 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-03",""," 11.54 %","","","",""," 11.11 %","","","","","","","","","","","","","","   .00 %",""
"2020-04-04",""," 31.03 %"," ##.## %","","","","","","","","","","","","","","","","",""," ##.## %",""
"2020-04-05","",""," ##.## %","","","","","","","","","","","","","","","","","","",""
"2020-04-06","",""," 15.00 %","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","  4.35 %","","",""," 60.00 %","","","","","","","","","","",""," 34.62 %","","",""
"2020-04-08","",""," 20.83 %"," ##.## %","",""," 18.75 %","","","","","   .00 %","","","","",""," ##.## %"," 31.43 %","","",""
"2020-04-09","","","","","","   .00 %","","","","","   .00 %","","","","","",""," ##.## %","","","",""
"2020-04-10","","","","",""," ##.## %","","","   .00 %","   .00 %","","","","","","","   .00 %","","",""," ##.## %",""
"2020-04-11","","  7.89 %"," 13.79 %","  9.09 %","","","","","","","","","","","","","",""," 19.57 %","","",""
"2020-04-12","",""," 12.12 %","",""," ##.## %"," 10.53 %","",""," 33.33 %"," 53.33 %","","","","",""," 33.33 %","","  3.64 %","","",""
"2020-04-13",""," 21.95 %","  8.11 %","","","","","",""," 25.00 %","","","","","","","",""," 21.05 %","","",""
"2020-04-14","","  4.00 %","","","","","  9.52 %","","","","","","","","","","","","  5.80 %","","",""
