"date","Alabama/Autauga","Alabama/Baldwin","Alabama/Barbour","Alabama/Bibb","Alabama/Blount","Alabama/Bullock","Alabama/Butler","Alabama/Calhoun","Alabama/Chambers","Alabama/Cherokee","Alabama/Chilton","Alabama/Choctaw","Alabama/Clarke","Alabama/Clay","Alabama/Cleburne","Alabama/Coffee","Alabama/Colbert","Alabama/Conecuh","Alabama/Coosa","Alabama/Covington","Alabama/Crenshaw","Alabama/Cullman","Alabama/Dale","Alabama/Dallas","Alabama/DeKalb","Alabama/Elmore","Alabama/Escambia","Alabama/Etowah","Alabama/Fayette","Alabama/Franklin","Alabama/Geneva","Alabama/Greene","Alabama/Hale","Alabama/Henry","Alabama/Houston","Alabama/Jackson","Alabama/Jefferson","Alabama/Lamar","Alabama/Lauderdale","Alabama/Lawrence","Alabama/Lee","Alabama/Limestone","Alabama/Lowndes","Alabama/Macon","Alabama/Madison","Alabama/Marengo","Alabama/Marion","Alabama/Marshall","Alabama/Mobile","Alabama/Monroe","Alabama/Montgomery","Alabama/Morgan","Alabama/Out of AL","Alabama/Perry","Alabama/Pickens","Alabama/Pike","Alabama/Randolph","Alabama/Russell","Alabama/Shelby","Alabama/St. Clair","Alabama/Sumter","Alabama/Talladega","Alabama/Tallapoosa","Alabama/Tuscaloosa","Alabama/Unassigned","Alabama/Walker","Alabama/Washington","Alabama/Wilcox","Alabama/Winston"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","15","0","1","0","3","0","0","0","5","0","0","0","0","0","1","0","","0","0","0","0","0","5","0","0","0","1","2","","2","0","0","0"
"2020-03-24","1","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","1","5","0","0","0","7","3","0","0","0","0","0","0","4","0","5","2","","0","0","0","0","0","5","1","0","1","1","1","","2","0","0","0"
"2020-03-25","3","0","0","0","1","0","1","0","5","1","1","0","0","1","1","0","1","0","0","0","0","1","0","2","0","1","0","0","0","1","0","0","0","0","1","0","38","0","3","0","14","2","0","0","14","0","2","1","4","0","4","3","","0","1","1","0","1","15","2","0","1","2","5","","4","0","1","0"
"2020-03-26","2","1","0","0","1","2","0","0","3","0","3","1","0","0","0","1","0","0","2","0","0","2","0","0","1","1","0","4","0","1","0","0","0","0","1","2","30","0","3","3","7","7","1","0","8","1","4","2","8","0","4","4","","0","0","1","0","0","10","0","0","1","0","4","","8","1","1","0"
"2020-03-27","0","0","0","0","2","0","0","1","0","0","2","0","0","0","2","-1","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","18","0","0","-1","1","1","0","0","4","1","0","1","5","0","1","0","","0","0","0","1","0","14","3","0","0","0","2","","6","0","0","2"
"2020-03-28","0","5","0","0","1","1","0","0","4","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","3","0","1","2","0","0","0","2","0","0","1","1","18","0","3","1","8","2","0","0","15","1","2","0","6","1","0","6","","0","0","2","1","0","6","2","0","0","1","1","","5","0","0","0"
"2020-03-29","0","5","0","0","0","0","0","0","10","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","50","0","0","0","3","0","0","1","17","2","1","1","11","0","3","2","","0","1","0","0","0","7","2","0","0","3","1","","2","2","0","0"
"2020-03-30","0","3","0","2","0","0","0","5","6","0","3","1","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","3","0","9","0","0","0","12","4","0","0","12","0","0","2","4","0","1","0","","0","0","0","0","0","0","0","0","1","0","1","","0","0","0","0"
"2020-03-31","1","1","","1","0","0","0","1","3","0","1","1","","0","0","","0","","1","0","0","0","","0","0","0","0","2","0","0","","0","0","","0","3","16","0","0","0","4","2","0","0","8","-1","-1","0","8","0","7","3","","","2","0","0","0","9","2","1","2","4","5","","2","-1","1","0"
