"date","Colorado/Adams","Colorado/Alamosa","Colorado/Arapahoe","Colorado/Archuleta","Colorado/Baca","Colorado/Bent","Colorado/Boulder","Colorado/Broomfield","Colorado/Chaffee","Colorado/Cheyenne","Colorado/Clear Creek","Colorado/Conejos","Colorado/Costilla","Colorado/Crowley","Colorado/Custer","Colorado/Delta","Colorado/Denver","Colorado/Dolores","Colorado/Douglas","Colorado/Eagle","Colorado/El Paso","Colorado/Elbert","Colorado/Fremont","Colorado/Garfield","Colorado/Gilpin","Colorado/Grand","Colorado/Gunnison","Colorado/Hinsdale","Colorado/Huerfano","Colorado/Jackson","Colorado/Jefferson","Colorado/Kiowa","Colorado/Kit Carson","Colorado/La Plata","Colorado/Lake","Colorado/Larimer","Colorado/Las Animas","Colorado/Lincoln","Colorado/Logan","Colorado/Mesa","Colorado/Mineral","Colorado/Moffat","Colorado/Montezuma","Colorado/Montrose","Colorado/Morgan","Colorado/Otero","Colorado/Ouray","Colorado/Out of CO","Colorado/Park","Colorado/Phillips","Colorado/Pitkin","Colorado/Prowers","Colorado/Pueblo","Colorado/Rio Blanco","Colorado/Rio Grande","Colorado/Routt","Colorado/Saguache","Colorado/San Juan","Colorado/San Miguel","Colorado/Sedgwick","Colorado/Summit","Colorado/Teller","Colorado/Unassigned","Colorado/Washington","Colorado/Weld","Colorado/Yuma"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","13","0","0","0","2","0","0","0","0","0","0","0","0","0","23","0","15","12","18","0","0","0","0","0","6","0","0","0","4","0","0","0","0","2","0","0","2","3","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0"
"2020-03-24","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","0","0","2","0","0","0","0","0","0","0","0","0","1","3","4","0","0","0"
"2020-03-25","2","0","11","0","0","0","10","3","0","0","0","0","0","0","0","1","66","0","5","28","53","0","1","2","0","0","12","0","1","0","38","0","0","1","0","9","0","0","0","0","0","0","0","2","0","0","0","","0","0","0","0","0","0","0","1","0","0","0","0","2","0","13","0","37","0"
"2020-03-26","23","0","50","0","0","0","17","5","2","0","0","0","0","0","0","0","48","0","14","27","15","0","0","6","0","0","17","0","0","0","38","0","1","4","0","18","0","0","0","1","0","0","0","1","0","1","0","","0","0","5","0","0","0","2","5","0","0","0","0","-1","4","84","1","20","1"
"2020-03-27","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"2020-03-28","21","1","36","0","0","0","10","3","0","0","0","0","1","0","0","1","50","0","12","23","23","0","0","0","0","0","9","0","0","0","27","0","1","8","0","6","0","1","1","3","0","0","0","2","1","1","0","","0","0","2","0","3","0","0","3","0","0","0","0","2","0","34","0","22","0"
"2020-03-29","39","0","86","0","0","0","14","4","10","0","0","0","0","0","0","-1","96","0","23","17","54","0","0","9","0","0","13","0","0","0","55","0","-1","8","0","17","0","0","2","2","1","2","1","2","1","1","0","","2","0","2","0","4","0","1","4","0","0","0","0","-2","0","50","0","51","0"
"2020-03-30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"2020-03-31","71","0","92","1","2","","17","3","2","","1","","2","0","","0","131","","39","40","72","2","1","8","","2","3","0","0","","91","","1","2","1","15","","0","1","2","1","2","0","5","-1","0","","","0","1","3","","11","","2","1","1","","3","","6","0","-57","0","75","0"
