"date","Haryana/Ambala","Haryana/Bhiwani","Haryana/Charkhi Dadri","Haryana/Faridabad","Haryana/Fatehabad","Haryana/Foreign Evacuees","Haryana/Gurugram","Haryana/Hisar","Haryana/Italians","Haryana/Jhajjar","Haryana/Jind","Haryana/Kaithal","Haryana/Karnal","Haryana/Kurukshetra","Haryana/Mahendragarh","Haryana/Nuh","Haryana/Palwal","Haryana/Panchkula","Haryana/Panipat","Haryana/Rewari","Haryana/Rohtak","Haryana/Sirsa","Haryana/Sonipat","Haryana/Yamunanagar"
"2020-03-17","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","",""," ##.## %","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","   .00 %","","","","","   .00 %",""
"2020-03-23","","","","","",""," ##.## %","","","","","","","","","","   .00 %","","","","","","",""
"2020-03-24","","",""," 50.00 %","","","","","","","","","","","","","",""," 50.00 %","","","","",""
"2020-03-25","","","","","","","  8.33 %","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","",""," 33.33 %","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","",""," 25.00 %","","","","",""
"2020-03-28","   .00 %","",""," 33.33 %","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","",""," 25.00 %","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","",""," 40.00 %","","","","   .00 %","","","","","","","","",""," 50.00 %","","","","   .00 %","",""
"2020-04-02"," ##.## %","","","","","","","","","","","","","","",""," ##.## %","","","","   .00 %","","",""
"2020-04-03","","","","","",""," 38.46 %","","","","","","   .00 %","","","   .00 %","","","","","","","",""
"2020-04-04","","   .00 %",""," ##.## %","",""," 11.11 %","","","","","   .00 %","","","",""," ##.## %","","","","","","",""
"2020-04-05","","","","","","","  5.00 %","","","","","","","",""," ##.## %","","","","","","","",""
"2020-04-06","","","   .00 %","","","","","","","","",""," ##.## %","",""," 75.00 %"," 52.94 %","","","","","","",""
"2020-04-07","","",""," 46.67 %","","","  9.52 %","","","","   .00 %","","","",""," ##.## %","","","","","","","",""
"2020-04-08","","",""," 31.82 %","   .00 %",""," 52.17 %","","","","","","","","","  2.70 %","  7.69 %","","","","",""," 50.00 %",""
"2020-04-09","","","","","","","","","","",""," ##.## %","","","","",""," 66.67 %","","","","","",""
"2020-04-10"," ##.## %","","","","","","","","","","","","","","","",""," 20.00 %","","","",""," 33.33 %",""
"2020-04-11","","","","  3.45 %","","",""," ##.## %","","","","","","","","","  3.57 %","","","","","","",""
"2020-04-12","","","","  6.67 %","","","","","",""," ##.## %",""," 20.00 %","   .00 %",""," 18.42 %","","","","","","","","   .00 %"
"2020-04-13","","","","","","","","","","","","","","","","","","","","",""," 33.33 %","",""
"2020-04-14","","","","  6.25 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","  6.67 %",""," 16.67 %"," 20.00 %","","",""," 25.00 %",""
"2020-04-16","","","","","","","","","","","","","","","","  4.17 %","  3.45 %"," ##.## %","","","","","",""
"2020-04-17","","","","","","","","","","","","","","",""," 12.00 %",""," 13.33 %","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","  1.79 %"," 13.33 %","  5.88 %","","","",""," 60.00 %",""
"2020-04-19"," 57.14 %"," 50.00 %",""," 26.47 %","",""," 11.43 %","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","  5.56 %","","","","","",""
"2020-04-21","","","","  2.33 %","","","  2.56 %","","","","","","","","","","","","","","",""," 25.00 %",""
"2020-04-22","  9.09 %","","","","",""," 10.00 %","","","","","","","","","","","","","","",""," 40.00 %",""
"2020-04-23","","","","","","","  9.09 %","","","","","","","","","","","","",""," ##.## %","","",""
"2020-04-24","","","","","","","  4.17 %","","","","","","","","","","",""," 33.33 %",""," 33.33 %","","",""
"2020-04-25","  8.33 %","","","","","","  8.00 %","","","","","","","","","","",""," 12.50 %","","",""," 42.86 %",""
"2020-04-26","","","","  4.55 %","","",""," ##.## %","","","","","","","","","",""," 44.44 %","","","","  5.00 %",""
"2020-04-27","  7.69 %","","","  2.17 %","","","   .00 %","","","   .00 %","","","","","","   .00 %","","","","","","","  9.52 %",""
"2020-04-28","","","","   .00 %","","","","",""," ##.## %","","","","","","   .00 %","   .00 %","   .00 %","  7.69 %","","","","  8.70 %",""
"2020-04-29","","","","   .00 %","","","","",""," 20.00 %","","","","","","  1.75 %","","","","","","","  4.00 %",""
"2020-04-30","","",""," 14.89 %","","","  5.56 %","",""," ##.## %","","","","","","   .00 %","","   .00 %","","","","","",""
"2020-05-01","   .00 %","",""," 14.81 %","","","  5.26 %","",""," 16.67 %","","","","","","   .00 %","","","","","   .00 %"," 50.00 %","  3.85 %",""
"2020-05-02","   .00 %","","","","",""," 10.00 %","",""," 42.86 %","","","","","","   .00 %","","","","","","",""," 33.33 %"
"2020-05-03","","",""," 19.35 %"," ##.## %",""," 13.64 %","   .00 %","","  5.00 %"," ##.## %","","","","","","  5.88 %",""," 78.57 %","","",""," 66.67 %"," 50.00 %"
"2020-05-04"," ##.## %","","","  2.70 %","","","  1.33 %","",""," 33.33 %"," 25.00 %","","","","","  1.72 %","",""," 12.00 %","","",""," 64.44 %",""
"2020-05-05","","   .00 %","","  1.32 %","",""," 14.47 %","",""," 14.29 %","",""," 50.00 %","","","","","","  3.57 %","","","","  6.76 %"," 33.33 %"
"2020-05-06"," 10.81 %","","","  2.60 %","",""," 22.99 %","","","  9.38 %"," 10.00 %",""," 55.56 %","","","","",""," 17.24 %","","","","  3.80 %",""
"2020-05-07","","","","  7.59 %","",""," 12.15 %","","","  4.29 %"," 27.27 %","","","","   .00 %","","","","  2.94 %","","","","  3.66 %",""
"2020-05-08","","","","  4.71 %"," 40.00 %","","  7.50 %","","","  1.37 %"," 21.43 %","","","","","   .00 %","","","  2.86 %","","","","  2.35 %",""
"2020-05-09","","","","   .00 %","",""," 12.40 %","","","   .00 %","","","",""," ##.## %","",""," 10.53 %","  2.78 %","   .00 %",""," 16.67 %","  3.45 %",""
"2020-05-10",""," ##.## %"," ##.## %","  7.87 %","","","","","","",""," 50.00 %","","","","  1.69 %","  2.78 %","  9.52 %","   .00 %",""," 25.00 %",""," 12.22 %","   .00 %"
"2020-05-11","   .00 %",""," ##.## %","  7.29 %","","","  2.07 %","",""," 12.16 %","","","",""," 25.00 %","","","","","","","","  4.95 %",""
"2020-05-12","  2.44 %","",""," 12.62 %","",""," 10.81 %","","","","  5.88 %","","  7.14 %"," 50.00 %","","","","  4.35 %",""," 33.33 %","",""," 14.15 %",""
"2020-05-13","","","","  3.45 %","","","  3.05 %","","","  1.20 %","   .00 %","","","","","","   .00 %","","   .00 %"," 25.00 %"," 40.00 %","","   .00 %",""
"2020-05-14","","",""," 10.00 %","","","  2.37 %","","","  3.57 %"," 11.11 %",""," 13.33 %",""," 20.00 %","","   .00 %","","   .00 %"," 20.00 %","","","   .00 %","   .00 %"
"2020-05-15","   .00 %","","","  6.82 %","","","  5.20 %","","","",""," 66.67 %","","","","  1.67 %","","  8.33 %","",""," 14.29 %","","  9.92 %",""
"2020-05-16","   .00 %","","","  2.84 %"," 14.29 %","","  7.69 %","","","  3.45 %","","","   .00 %","","","  6.56 %","  5.41 %","   .00 %","   .00 %"," 50.00 %","","   .00 %","  1.50 %",""
"2020-05-17","","","","  2.07 %","","","  5.61 %","","","   .00 %","   .00 %","","  5.88 %","   .00 %"," 16.67 %","","   .00 %","   .00 %","  5.41 %",""," 50.00 %"," 14.29 %","",""
"2020-05-18","","","","  2.03 %","","","  3.38 %"," 75.00 %","","","","","  5.56 %",""," 14.29 %","   .00 %","","","","","   .00 %","","  2.22 %",""
