"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-03-20","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","-2","","0"
"2020-05-01","","","","","","","","","","","",""
"2020-05-02","","0","","","","","","","","","","1"
"2020-05-03","","","","","","","","","","","","-1"
"2020-05-04","","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","","",""
"2020-05-06","","","","","","","","","","","",""
"2020-05-07","","","","","","","","","","","",""
"2020-05-08","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","2","",""
"2020-05-10","","","","","","","","","","","",""
"2020-05-11","","","","","","","","","","","",""
"2020-05-12","","","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","",""
"2020-05-15","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","",""
"2020-05-17","","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","","",""
"2020-05-19","","","","","","","","","","","",""
"2020-05-20","","","","","","","","","","","",""
"2020-05-21","","-1","","","","","","","","","",""
"2020-05-22","","","","","","","","","","","",""
"2020-05-23","","","","","","","","","","","",""
"2020-05-24","0","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","","",""
"2020-05-27","","","","","","","","","","","",""
"2020-05-28","","","1","0","","","","","","","",""
"2020-05-29","","","2","2","","","","","","","",""
"2020-05-30","","","11","0","","","","","","","",""
"2020-05-31","","","-13","0","","","","","","","1",""
"2020-06-01","","","","","","","","","","","0",""
"2020-06-02","-2","","","-3","","","","","","","",""
"2020-06-03","","","","5","","","","","","","","0"
"2020-06-04","","","","3","","","","","","","-1","-1"
"2020-06-05","","","-3","-7","","","","","","","",""
"2020-06-06","","","-5","","","","","","","","",""
"2020-06-07","","1","7","","","","","","","","0","2"
"2020-06-08","","","-8","","","","","","","","1","-2"
"2020-06-09","","","9","-5","","","","","","","",""
"2020-06-10","","-1","","-3","","","","","","","1","4"
"2020-06-11","","1","-3","2","","","","1","","","5","-4"
"2020-06-12","2","-1","0","1","","","","-1","","","",""
"2020-06-13","-2","0","-3","-1","","","","1","","","",""
"2020-06-14","","","4","3","","","","0","","","","0"
"2020-06-15","","","-5","1","","0","","","","","","0"
"2020-06-16","","","","5","","","","-1","","","0","1"
"2020-06-17","","2","-1","","","","","0","","-2","",""
"2020-06-18","0","","","","","","","","","","",""
"2020-06-19","","","","","","","","","","1","","2"
"2020-06-20","","","","","","","","","","","","-2"
"2020-06-21","","-2","","-10","","","","","","","","3"
"2020-06-22","","","","-2","","","","0","","","","-3"
"2020-06-23","","","","","1","","","","","","",""
"2020-06-24","","","","","","","","0","","","",""
"2020-06-25","","","","-1","","","","","","","-10","-13"
"2020-06-26","","-1","","10","","","","","","","0","1"
"2020-06-27","","1","-2","-9","","","","","","","0",""
"2020-06-28","","-1","","7","","","","","","","4",""
"2020-06-29","","","17","-1","","0","","","","","-3",""
"2020-06-30","","","","-3","","","","","","","2","1"
