"date","Washington/Adams","Washington/Asotin","Washington/Benton","Washington/Chelan","Washington/Clallam","Washington/Clark","Washington/Columbia","Washington/Cowlitz","Washington/Douglas","Washington/Ferry","Washington/Franklin","Washington/Garfield","Washington/Garfield County","Washington/Grant","Washington/Grays Harbor","Washington/Island","Washington/Jefferson","Washington/King","Washington/Kitsap","Washington/Kittitas","Washington/Klickitat","Washington/Lewis","Washington/Lincoln","Washington/Mason","Washington/Okanogan","Washington/Pacific","Washington/Pend Oreille","Washington/Pierce","Washington/San Juan","Washington/Skagit","Washington/Skamania","Washington/Snohomish","Washington/Spokane","Washington/Stevens","Washington/Thurston","Washington/Unassigned","Washington/Wahkiakum","Washington/Walla Walla","Washington/Walla Walla County","Washington/Whatcom","Washington/Whitman","Washington/Yakima"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %"," 11.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","  8.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %"," 13.59 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","   .00 %"," 20.00 %"
"2020-03-27","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %"," 15.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  8.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 45.00 %","   .00 %","   .00 %","   .00 %"," 19.15 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","   .00 %"," 20.00 %"
"2020-03-28","   .00 %","   .00 %"," 11.67 %","   .00 %","   .00 %"," 15.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  9.76 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 45.00 %","   .00 %","   .00 %","   .00 %"," 17.15 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 20.00 %","   .00 %"," 20.00 %"
"2020-03-29","   .00 %","   .00 %"," 11.67 %","   .00 %","   .00 %","  9.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 10.49 %","-20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 49.00 %","   .00 %"," 40.00 %","   .00 %","  8.06 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 35.00 %","   .00 %"," 20.00 %"
"2020-03-30","   .00 %","   .00 %"," 11.67 %","   .00 %","   .00 %","  9.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  7.70 %","-20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 29.00 %","   .00 %"," 40.00 %","   .00 %","  8.06 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 35.00 %","   .00 %"," 30.00 %"
"2020-03-31","   .00 %","","  9.00 %"," 20.00 %","   .00 %","  4.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %"," 40.00 %","   .00 %","  6.95 %","-20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  9.00 %","   .00 %"," 40.00 %","   .00 %"," 14.25 %"," 20.00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," 15.00 %","   .00 %"," 10.00 %"
"2020-04-01","   .00 %",""," 12.33 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %"," 40.00 %","   .00 %","  6.95 %","-20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  4.00 %","   .00 %"," 40.00 %","   .00 %"," 12.94 %"," 25.00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," 15.00 %","   .00 %"," 10.00 %"
"2020-04-02","   .00 %",""," 13.05 %"," 20.00 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %"," 40.00 %","   .00 %","  5.33 %","-20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","  7.33 %","   .00 %"," 46.67 %","   .00 %"," 13.44 %"," 25.00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," 20.71 %","   .00 %"," 30.00 %"
"2020-04-03","   .00 %",""," 21.94 %"," 30.00 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-20.00 %","   .00 %"," 46.67 %","   .00 %","  5.85 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  3.33 %","   .00 %","  6.67 %","   .00 %"," 13.93 %"," 33.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  5.71 %","   .00 %"," 30.00 %"
"2020-04-04","   .00 %","   .00 %"," 21.94 %"," 30.00 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-20.00 %","   .00 %"," 46.67 %","   .00 %","  6.93 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  6.19 %","   .00 %","  6.67 %","   .00 %"," 15.35 %"," 21.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  5.71 %","   .00 %"," 23.33 %"
"2020-04-05","   .00 %","   .00 %"," 17.94 %"," 10.00 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","  6.67 %","   .00 %","  6.90 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 11.19 %","   .00 %","  6.67 %","   .00 %","  7.99 %"," 23.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 14.60 %","   .00 %"," 29.05 %"
