"date","Delaware/Kent","Delaware/New Castle","Delaware/Sussex","Delaware/Unassigned"
"2020-03-22","","","",""
"2020-03-23","","","",""
"2020-03-24","","","",""
"2020-03-25","","","",""
"2020-03-26"," 29.62 %"," 18.86 %"," 18.93 %",""
"2020-03-27"," 34.32 %"," 23.28 %"," 26.34 %",""
"2020-03-28"," 34.13 %"," 25.48 %"," 28.23 %",""
"2020-03-29"," 20.80 %"," 14.90 %"," 25.05 %",""
"2020-03-30"," 14.40 %"," 14.77 %"," 26.99 %",""
"2020-03-31"," 15.30 %"," 18.26 %"," 27.95 %",""
"2020-04-01"," 14.71 %"," 16.78 %"," 23.49 %",""
"2020-04-02"," 11.88 %"," 13.70 %"," 12.39 %",""
"2020-04-03"," 16.99 %"," 14.79 %"," 12.31 %",""
"2020-04-04"," 20.58 %"," 21.33 %","  9.13 %","   .00 %"
"2020-04-05"," 20.69 %"," 17.87 %"," 11.56 %","   .00 %"
"2020-04-06"," 26.34 %"," 17.68 %","  9.66 %","   .00 %"
"2020-04-07"," 28.33 %"," 19.03 %"," 15.29 %","   .00 %"
"2020-04-08"," 30.56 %"," 18.53 %"," 19.57 %","   .00 %"
"2020-04-09"," 26.67 %"," 11.90 %"," 19.28 %","   .00 %"
"2020-04-10"," 22.87 %"," 11.52 %"," 17.98 %","   .00 %"
"2020-04-11"," 15.28 %"," 10.26 %"," 20.97 %","  8.89 %"
"2020-04-12"," 14.35 %","  9.05 %"," 17.52 %","-11.11 %"
"2020-04-13","  7.50 %","  7.66 %"," 14.70 %","-11.11 %"
"2020-04-14","  9.05 %","  6.22 %"," 16.82 %","-11.11 %"
"2020-04-15","  8.53 %","  5.37 %"," 15.18 %","  -.20 %"
"2020-04-16","  6.76 %","  4.47 %"," 11.73 %"," -9.09 %"
"2020-04-17","  6.54 %","  4.60 %"," 11.99 %"," 16.79 %"
"2020-04-18","  7.76 %","  5.62 %"," 10.09 %"," 24.06 %"
"2020-04-19","  4.92 %","  5.01 %","  6.90 %"," 24.06 %"
"2020-04-20","  4.57 %","  4.84 %","  9.49 %"," 13.82 %"
"2020-04-21","  5.51 %","  5.45 %"," 10.49 %"," 13.18 %"
"2020-04-22","  5.61 %","  4.26 %"," 10.38 %","  5.96 %"
"2020-04-23","  5.32 %","  2.90 %","  9.44 %","-19.17 %"
"2020-04-24","  6.03 %","  4.30 %","  9.69 %","-12.50 %"
"2020-04-25","  6.16 %","  4.14 %","  7.25 %","-18.17 %"
"2020-04-26","  6.40 %","  4.20 %","  9.84 %"," 22.48 %"
"2020-04-27","  5.34 %","  3.82 %","  7.48 %"," 28.25 %"
"2020-04-28","  6.24 %","  4.16 %","  9.17 %"," 84.29 %"
"2020-04-29","  5.95 %","  2.95 %","  9.45 %"," 73.88 %"
"2020-04-30","  5.63 %","  2.91 %","  8.50 %"," 78.11 %"
"2020-05-01","  4.41 %","  2.74 %","  5.02 %"," 37.31 %"
"2020-05-02","  4.06 %","  2.75 %","  4.83 %"," 31.20 %"
"2020-05-03","  2.44 %","  2.28 %","  3.09 %"," -6.08 %"
"2020-05-04","  2.32 %","  2.42 %","  2.86 %"," -1.46 %"
"2020-05-05","  2.22 %","  2.69 %","  2.61 %","   .15 %"
"2020-05-06","  2.89 %","  2.68 %","  3.86 %","  9.75 %"
"2020-05-07","  3.59 %","  2.71 %","  3.78 %","  8.08 %"
"2020-05-08","  3.26 %","  2.80 %","  3.64 %","  5.84 %"
"2020-05-09","  3.43 %","  3.31 %","  3.71 %","  4.25 %"
"2020-05-10","  3.09 %","  2.84 %","  3.53 %","  3.42 %"
"2020-05-11","  3.25 %","  2.76 %","  2.27 %","  4.25 %"
"2020-05-12","  2.34 %","  2.77 %","  2.50 %","  5.58 %"
"2020-05-13","  2.41 %","  2.72 %","  2.60 %","  6.92 %"
"2020-05-14","  2.53 %","  2.40 %","  3.23 %"," 12.63 %"
"2020-05-15","  3.09 %","  2.86 %","  3.59 %"," 11.74 %"
"2020-05-16","  2.41 %","  2.22 %","  3.43 %","  3.51 %"
"2020-05-17","  2.46 %","  1.91 %","  3.14 %","  8.12 %"
"2020-05-18","  2.38 %","  1.87 %","  2.97 %","  7.73 %"
"2020-05-19","  2.12 %","  2.14 %","  2.19 %","  2.34 %"
"2020-05-20","  1.80 %","  2.30 %","  2.13 %","  2.43 %"
"2020-05-21","  1.73 %","  2.75 %","  1.84 %","   .20 %"
"2020-05-22","  1.60 %","  3.15 %","  1.60 %","   .63 %"
"2020-05-23","  1.24 %","  2.74 %","   .95 %","  1.02 %"
"2020-05-24","  1.60 %","  3.08 %","  1.00 %","  2.92 %"
"2020-05-25","  1.60 %","  3.23 %","   .79 %","  3.02 %"
"2020-05-26","  1.33 %","  2.83 %","   .62 %","  4.94 %"
"2020-05-27","  1.18 %","  2.43 %","   .45 %","   .52 %"
"2020-05-28","  1.44 %","  2.70 %","   .50 %","   .15 %"
"2020-05-29","   .89 %","  1.87 %","   .25 %"," -2.12 %"
"2020-05-30","  1.10 %","  1.62 %","   .47 %"," -1.02 %"
"2020-05-31","   .98 %","  1.39 %","   .58 %"," -2.50 %"
"2020-06-01","   .95 %","  1.70 %","   .63 %","   .45 %"
"2020-06-02","   .82 %","  1.67 %","   .70 %","   .09 %"
"2020-06-03","   .71 %","  1.47 %","   .71 %","   .85 %"
"2020-06-04","   .31 %","  1.06 %","   .47 %","   .46 %"
"2020-06-05","   .40 %","   .94 %","   .32 %","  -.67 %"
"2020-06-06","   .77 %","   .81 %","   .33 %","-17.34 %"
"2020-06-07","   .83 %","   .95 %","   .22 %","-11.61 %"
"2020-06-08","   .84 %","   .97 %","   .22 %","-16.94 %"
"2020-06-09","   .92 %","  1.00 %","   .22 %","-15.13 %"
"2020-06-10","   .87 %","  1.01 %","   .23 %","-10.28 %"
"2020-06-11","   .62 %","   .87 %","   .17 %","  3.39 %"
"2020-06-12","   .43 %","   .75 %","   .20 %","  3.00 %"
"2020-06-13","   .54 %","   .79 %","   .22 %","  7.09 %"
"2020-06-14","   .46 %","   .77 %","   .21 %","  3.94 %"
"2020-06-15","   .45 %","   .98 %","   .20 %","   .60 %"
"2020-06-16","   .39 %","  1.01 %","   .22 %","  4.89 %"
"2020-06-17","   .45 %","   .92 %","   .18 %"," -2.23 %"
"2020-06-18","   .38 %","   .97 %","   .14 %","  -.98 %"
"2020-06-19","   .57 %","  1.07 %","   .29 %","  4.64 %"
"2020-06-20","   .52 %","  1.01 %","   .32 %","  7.00 %"
"2020-06-21","   .50 %","  1.16 %","   .30 %","  5.19 %"
"2020-06-22","   .51 %","  1.15 %","   .32 %","  4.69 %"
"2020-06-23","   .50 %","  1.00 %","   .35 %","  4.69 %"
"2020-06-24","   .32 %","   .86 %","   .23 %","  2.76 %"
"2020-06-25","   .30 %","   .95 %","   .23 %","  2.51 %"
"2020-06-26","   .27 %","   .82 %","   .11 %","  3.36 %"
"2020-06-27","   .39 %","   .80 %","   .18 %","  8.97 %"
"2020-06-28","   .48 %","   .95 %","   .44 %"," 12.05 %"
"2020-06-29","   .54 %","  1.29 %","   .51 %"," 13.70 %"
