"date","Colorado/Adams","Colorado/Alamosa","Colorado/Arapahoe","Colorado/Archuleta","Colorado/Baca","Colorado/Bent","Colorado/Boulder","Colorado/Broomfield","Colorado/Chaffee","Colorado/Cheyenne","Colorado/Clear Creek","Colorado/Conejos","Colorado/Costilla","Colorado/Crowley","Colorado/Custer","Colorado/Delta","Colorado/Denver","Colorado/Dolores","Colorado/Douglas","Colorado/Eagle","Colorado/El Paso","Colorado/Elbert","Colorado/Fremont","Colorado/Garfield","Colorado/Gilpin","Colorado/Grand","Colorado/Gunnison","Colorado/Hinsdale","Colorado/Huerfano","Colorado/Jackson","Colorado/Jefferson","Colorado/Kiowa","Colorado/Kit Carson","Colorado/La Plata","Colorado/Lake","Colorado/Larimer","Colorado/Las Animas","Colorado/Lincoln","Colorado/Logan","Colorado/Mesa","Colorado/Mineral","Colorado/Moffat","Colorado/Montezuma","Colorado/Montrose","Colorado/Morgan","Colorado/Otero","Colorado/Ouray","Colorado/Out of CO","Colorado/Park","Colorado/Phillips","Colorado/Pitkin","Colorado/Prowers","Colorado/Pueblo","Colorado/Rio Blanco","Colorado/Rio Grande","Colorado/Routt","Colorado/Saguache","Colorado/San Juan","Colorado/San Miguel","Colorado/Sedgwick","Colorado/Summit","Colorado/Teller","Colorado/Unassigned","Colorado/Washington","Colorado/Weld","Colorado/Yuma"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26"," 26.41 %","   .00 %"," 24.06 %","   .00 %","   .00 %","   .00 %"," 13.15 %"," 70.00 %"," 13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 17.08 %","   .00 %"," 16.46 %"," 13.59 %"," 24.88 %","   .00 %","   .00 %"," 17.00 %","   .00 %","   .00 %"," 22.53 %","   .00 %","   .00 %","   .00 %"," 23.56 %","   .00 %","   .00 %"," 80.00 %","   .00 %"," 14.92 %","   .00 %","   .00 %","   .00 %"," 34.00 %","   .00 %","   .00 %","   .00 %"," 46.67 %"," 10.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  8.06 %","   .00 %","   .00 %","   .00 %","   .00 %"," 31.67 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.86 %"," 26.67 %"," ##.## %","   .00 %"," 26.42 %"," 20.00 %"
"2020-03-27"," 26.41 %","   .00 %"," 24.06 %","   .00 %","   .00 %","   .00 %"," 13.15 %"," 70.00 %"," 13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 17.08 %","   .00 %"," 16.46 %"," 13.59 %"," 24.88 %","   .00 %","   .00 %"," 17.00 %","   .00 %","   .00 %"," 22.53 %","   .00 %","   .00 %","   .00 %"," 23.56 %","   .00 %","   .00 %"," 80.00 %","   .00 %"," 14.92 %","   .00 %","   .00 %","   .00 %"," 34.00 %","   .00 %","   .00 %","   .00 %"," 46.67 %"," 10.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","  8.06 %","   .00 %","   .00 %","   .00 %","   .00 %"," 31.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.30 %"," 26.67 %"," ##.## %","   .00 %"," 26.42 %"," 20.00 %"
"2020-03-28"," 34.81 %","   .00 %"," 24.34 %","   .00 %","   .00 %","   .00 %"," 15.10 %"," 76.00 %"," 13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 17.22 %","   .00 %"," 10.95 %"," 13.72 %"," 21.18 %","   .00 %","   .00 %"," 17.00 %","   .00 %","   .00 %"," 20.23 %","   .00 %","   .00 %","   .00 %"," 26.11 %","   .00 %"," 20.00 %"," ##.## %","   .00 %"," 15.63 %","   .00 %","   .00 %"," 10.00 %"," 14.00 %","   .00 %","   .00 %","   .00 %"," 56.67 %"," 16.67 %"," 20.00 %","   .00 %","","   .00 %","   .00 %","  9.79 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 38.33 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.94 %"," 26.67 %"," ##.## %","   .00 %"," 23.51 %"," 20.00 %"
"2020-03-29"," 38.02 %","   .00 %"," 35.43 %","   .00 %","   .00 %","   .00 %"," 18.78 %"," 62.15 %"," 53.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %"," 23.38 %","   .00 %"," 16.77 %"," 15.72 %"," 27.93 %","   .00 %","   .00 %"," 28.25 %","   .00 %","   .00 %"," 24.17 %","   .00 %","   .00 %","   .00 %"," 33.07 %","   .00 %"," 10.00 %"," ##.## %","   .00 %"," 20.71 %","   .00 %","   .00 %"," 23.33 %"," 18.44 %","   .00 %","   .00 %","   .00 %"," 63.33 %"," 11.67 %"," 30.00 %","   .00 %",""," 40.00 %","   .00 %","  8.89 %","   .00 %"," 33.33 %","   .00 %"," 10.00 %"," 45.00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.00 %"," 26.67 %"," ##.## %","   .00 %"," 31.42 %"," 20.00 %"
"2020-03-30"," 36.42 %","   .00 %"," 31.64 %","   .00 %","   .00 %","   .00 %"," 13.65 %"," 32.15 %"," 53.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %"," 14.46 %","   .00 %"," 14.69 %","  9.63 %"," 12.57 %","   .00 %","   .00 %"," 23.25 %","   .00 %","   .00 %"," 15.60 %","   .00 %","   .00 %","   .00 %"," 19.26 %","   .00 %"," 10.00 %"," ##.## %","   .00 %"," 15.41 %","   .00 %","   .00 %"," 23.33 %"," 20.26 %","   .00 %","   .00 %","   .00 %"," 23.33 %"," 11.67 %"," 30.00 %","   .00 %",""," 40.00 %","   .00 %","  8.89 %","   .00 %"," 33.33 %","   .00 %"," 10.00 %"," 38.33 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.46 %"," 26.67 %"," ##.## %","   .00 %"," 16.62 %"," 20.00 %"
"2020-03-31"," 32.30 %","   .00 %"," 24.78 %","   .00 %"," 40.00 %",""," 10.49 %"," 15.68 %"," 42.67 %","","  6.67 %",""," 40.00 %","   .00 %",""," 10.00 %"," 16.39 %",""," 17.05 %","  9.41 %"," 16.84 %"," 13.33 %"," 20.00 %"," 17.65 %",""," 20.00 %","  7.86 %","   .00 %","   .00 %",""," 19.63 %",""," 30.00 %"," 46.21 %","   .00 %"," 10.61 %","","   .00 %"," 27.33 %"," 19.60 %"," 20.00 %"," 20.00 %","   .00 %"," 29.17 %","  7.67 %"," 30.00 %","",""," 40.00 %","   .00 %","  5.56 %",""," 55.33 %",""," 23.33 %"," 14.58 %","   .00 %",""," 60.00 %",""," 19.03 %","   .00 %","  7.89 %","   .00 %"," 20.35 %","   .00 %"
