"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-05-25","   .00 %","","   .00 %","","","","","","","","",""
"2020-05-26","","","   .00 %","","","","","","","","",""
"2020-05-27"," ##.## %","","   .00 %","","","","","","","","",""
"2020-05-28"," 50.00 %",""," ##.## %","","","","","","","   .00 %","",""
"2020-05-29","-66.67 %",""," ##.## %","","","","","","","   .00 %","",""
"2020-05-30"," ##.## %","","-25.00 %","","","","","","","","",""
"2020-05-31","-62.50 %",""," 33.33 %","","","","","","","","",""
"2020-06-02"," ##.## %","","","","","","","","","","",""
"2020-06-04"," ##.## %","","-75.00 %","","","","","   .00 %",""," ##.## %","",""
"2020-06-06","-##.## %","   .00 %","-##.## %","","","   .00 %",""," ##.## %","   .00 %","-33.33 %","   .00 %",""
"2020-06-07","   .00 %","","   .00 %","","","","","","","","",""
"2020-06-08","-##.## %","","   .00 %","","","","","-82.69 %","","-50.00 %","","   .00 %"
"2020-06-09","   .00 %","","-66.67 %","","","","","","","","",""
"2020-06-10","","","   .00 %","","","","","","","","",""
"2020-06-11","   .00 %",""," ##.## %","","","","","","","","",""
"2020-06-12","   .00 %","","   .00 %","","","","","-88.89 %","","","",""
"2020-06-13","","","","","","","","","","","",""
"2020-06-14","   .00 %","","-##.## %","","","-56.52 %","   .00 %"," ##.## %",""," ##.## %","-##.## %",""
"2020-06-15","   .00 %","","","","","","","-76.47 %","","","   .00 %",""
"2020-06-16","","","   .00 %","","","","","","","","-85.71 %",""
"2020-06-17","-80.00 %","","","",""," 20.00 %","","","","-50.00 %","",""
"2020-06-18","","","","","","","","","","","",""
"2020-06-19","   .00 %","","   .00 %","","","-83.33 %","-50.00 %","","","","",""
"2020-06-20","",""," ##.## %","","","-50.00 %","","","","","",""
"2020-06-21","",""," ##.## %","","","","","","   .00 %"," ##.## %","   .00 %",""
"2020-06-22"," ##.## %","","","","","","","   .00 %","","","","   .00 %"
"2020-06-23"," ##.## %",""," 50.00 %","   .00 %","",""," ##.## %","-81.54 %","","","","   .00 %"
"2020-06-24","","","","","",""," ##.## %","","","   .00 %","   .00 %"," ##.## %"
"2020-06-25","   .00 %","","   .00 %","","","","-66.67 %","","","-##.## %","",""
