"date","Chandigarh/Chandigarh"
"2020-07-30","  1.54 %"
"2020-07-31","  2.97 %"
"2020-08-01","  5.43 %"
"2020-08-02","  6.54 %"
"2020-08-03","  6.54 %"
"2020-08-04","  7.59 %"
"2020-08-05","  6.16 %"
"2020-08-06","  2.16 %"
"2020-08-07","  4.05 %"
"2020-08-08","  4.92 %"
"2020-08-09","  4.70 %"
"2020-08-10","  4.70 %"
"2020-08-11","  5.50 %"
"2020-08-12","  3.27 %"
"2020-08-13","  3.14 %"
"2020-08-14","  2.31 %"
"2020-08-15","  2.31 %"
"2020-08-16","  2.22 %"
"2020-08-17","  2.14 %"
"2020-08-18","  1.40 %"
"2020-08-19","  2.07 %"
"2020-08-20","  2.07 %"
"2020-08-21","  2.65 %"
"2020-08-22","  1.96 %"
"2020-08-23","  4.38 %"
"2020-08-24","  3.71 %"
"2020-08-25","  5.34 %"
"2020-08-26","  4.55 %"
"2020-08-27","  5.52 %"
"2020-08-28","  4.03 %"
"2020-08-29","  4.03 %"
"2020-08-30","  5.52 %"
"2020-08-31","  6.56 %"
"2020-09-01","  5.94 %"
"2020-09-02","  5.71 %"
"2020-09-03","  7.06 %"
"2020-09-04","  5.54 %"
"2020-09-05","  4.30 %"
"2020-09-06","  4.52 %"
"2020-09-07","  4.66 %"
"2020-09-08","  3.58 %"
"2020-09-09","  2.52 %"
"2020-09-10","  3.01 %"
"2020-09-11","  3.18 %"
"2020-09-12","  3.78 %"
"2020-09-13","  3.73 %"
"2020-09-14","  4.31 %"
"2020-09-15","  3.74 %"
"2020-09-16","  4.03 %"
"2020-09-17","  3.58 %"
"2020-09-18","  4.11 %"
"2020-09-19","  4.09 %"
"2020-09-20","  4.57 %"
"2020-09-21","  4.03 %"
"2020-09-22","  3.69 %"
"2020-09-23","  4.51 %"
"2020-09-24","  4.44 %"
"2020-09-25","  3.89 %"
"2020-09-26","  3.39 %"
"2020-09-27","  3.01 %"
"2020-09-28","  2.25 %"
"2020-09-29","  1.88 %"
"2020-09-30","  2.25 %"
"2020-10-01","  2.50 %"
"2020-10-02","  2.83 %"
"2020-10-03","  2.37 %"
"2020-10-04","  1.95 %"
"2020-10-05","  1.79 %"
"2020-10-06","  1.88 %"
"2020-10-07","  1.49 %"
"2020-10-08","  1.58 %"
"2020-10-09","  1.56 %"
"2020-10-10","  1.43 %"
"2020-10-11","  1.19 %"
"2020-10-12","  1.08 %"
"2020-10-13","  1.16 %"
"2020-10-15","  1.15 %"
"2020-10-16","  1.44 %"
"2020-10-17","  1.43 %"
"2020-10-18","  1.42 %"
"2020-10-20","  1.00 %"
"2020-10-21","   .80 %"
"2020-10-22","   .58 %"
"2020-10-23","   .67 %"
"2020-10-24","   .77 %"
"2020-10-25","   .86 %"
"2020-10-26","  1.23 %"
"2020-10-27","  1.03 %"
"2020-10-28","   .93 %"
"2020-10-29","   .83 %"
"2020-10-30","   .64 %"
"2020-10-31","   .36 %"
"2020-11-01","   .27 %"
"2020-11-02","   .27 %"
"2020-11-03","   .27 %"
"2020-11-04","   .36 %"
"2020-11-05","   .27 %"
"2020-11-06","   .35 %"
"2020-11-07","   .44 %"
"2020-11-08","   .53 %"
"2020-11-09","   .70 %"
"2020-11-10","  1.04 %"
"2020-11-11","  1.12 %"
"2020-11-12","  1.02 %"
"2020-11-13","  1.01 %"
"2020-11-15","   .92 %"
"2020-11-16","   .74 %"
"2020-11-17","   .74 %"
"2020-11-18","   .73 %"
"2020-11-19","   .65 %"
"2020-11-20","   .56 %"
"2020-11-21","   .64 %"
"2020-11-22","   .63 %"
"2020-11-23","   .79 %"
"2020-11-24","   .86 %"
"2020-11-25","   .86 %"
"2020-11-26","   .92 %"
"2020-11-27","   .76 %"
"2020-11-28","   .83 %"
"2020-11-29","   .82 %"
"2020-11-30","   .82 %"
"2020-12-01","   .59 %"
"2020-12-26","   .66 %"
"2020-12-27","   .37 %"
"2020-12-28","   .29 %"
"2020-12-29","   .22 %"
"2020-12-30","   .14 %"
"2020-12-31","   .14 %"
"2021-01-01","   .22 %"
"2021-01-02","   .22 %"
"2021-01-03","   .29 %"
"2021-01-04","   .36 %"
"2021-01-05","   .36 %"
"2021-01-07","   .43 %"
"2021-01-08","   .42 %"
"2021-01-09","   .42 %"
"2021-01-10","   .35 %"
"2021-01-11","   .28 %"
"2021-01-12","   .21 %"
"2021-01-13","   .21 %"
"2021-01-14","   .21 %"
"2021-01-15","   .21 %"
"2021-01-16","   .21 %"
"2021-01-17","   .14 %"
"2021-01-18","   .07 %"
"2021-01-19","   .00 %"
"2021-01-20","   .00 %"
"2021-01-21","   .07 %"
"2021-01-22","   .14 %"
"2021-01-23","   .21 %"
"2021-01-24","   .27 %"
"2021-01-25","   .27 %"
"2021-01-27","   .20 %"
"2021-01-28","   .14 %"
"2021-01-29","   .07 %"
"2021-01-30","   .00 %"
"2021-01-31","   .00 %"
"2021-02-01","   .00 %"
"2021-02-02","   .07 %"
"2021-02-03","   .14 %"
"2021-02-04","   .20 %"
"2021-02-05","   .27 %"
"2021-02-07","   .40 %"
"2021-02-09","   .40 %"
"2021-02-10","   .40 %"
"2021-02-11","   .40 %"
"2021-02-12","   .33 %"
"2021-02-13","   .26 %"
"2021-02-17","   .26 %"
"2021-02-18","   .20 %"
"2021-02-19","   .13 %"
"2021-02-20","   .20 %"
"2021-02-21","   .13 %"
"2021-02-22","   .13 %"
"2021-02-23","   .13 %"
"2021-02-24","   .20 %"
"2021-02-25","   .13 %"
"2021-02-26","   .13 %"
"2021-02-27","   .06 %"
"2021-02-28","   .13 %"
"2021-03-01","   .13 %"
"2021-03-02","   .19 %"
"2021-03-03","   .26 %"
"2021-03-04","   .26 %"
"2021-03-05","   .19 %"
"2021-03-06","   .13 %"
"2021-03-07","   .06 %"
"2021-03-08","   .06 %"
"2021-03-09","   .06 %"
"2021-03-10","   .13 %"
"2021-03-11","   .13 %"
"2021-03-12","   .13 %"
"2021-03-13","   .13 %"
"2021-03-14","   .13 %"
"2021-03-15","   .06 %"
"2021-03-16","   .13 %"
"2021-03-17","   .13 %"
"2021-03-18","   .06 %"
"2021-03-19","   .13 %"
"2021-03-20","   .19 %"
"2021-03-21","   .19 %"
"2021-03-22","   .25 %"
"2021-03-23","   .31 %"
"2021-03-24","   .31 %"
"2021-03-25","   .44 %"
"2021-03-26","   .62 %"
"2021-03-27","   .68 %"
"2021-03-28","   .80 %"
"2021-03-29","   .73 %"
"2021-03-30","   .67 %"
"2021-03-31","   .42 %"
"2021-04-01","   .36 %"
"2021-04-02","   .24 %"
"2021-04-03","   .30 %"
"2021-04-04","   .24 %"
"2021-04-05","   .29 %"
"2021-04-06","   .35 %"
"2021-04-07","   .41 %"
"2021-04-08","   .41 %"
"2021-04-09","   .58 %"
"2021-04-10","   .81 %"
"2021-04-11","   .86 %"
"2021-04-12","   .80 %"
"2021-04-13","   .80 %"
"2021-04-14","   .73 %"
"2021-04-15","   .61 %"
"2021-04-16","   .50 %"
"2021-04-17","   .55 %"
"2021-04-18","   .66 %"
"2021-04-19","   .70 %"
"2021-04-20","   .75 %"
"2021-04-21","   .80 %"
"2021-04-22","   .90 %"
"2021-04-23","   .90 %"
"2021-04-24","   .83 %"
"2021-04-25","   .72 %"
"2021-04-26","   .87 %"
"2021-04-27","   .96 %"
"2021-04-28","  1.35 %"
"2021-04-29","  1.58 %"
"2021-04-30","  2.09 %"
"2021-05-01","  2.34 %"
"2021-05-02","  2.35 %"
"2021-05-03","  2.29 %"
"2021-05-04","  2.38 %"
"2021-05-05","  2.35 %"
"2021-05-06","  2.22 %"
"2021-05-07","  2.22 %"
"2021-05-08","  2.10 %"
"2021-05-09","  2.01 %"
"2021-05-10","  1.69 %"
"2021-05-11","  1.70 %"
"2021-05-12","  1.89 %"
"2021-05-13","  1.90 %"
"2021-05-14","  1.86 %"
"2021-05-15","  1.87 %"
"2021-05-16","  1.84 %"
"2021-05-17","  1.53 %"
"2021-05-18","  1.37 %"
"2021-05-19","  1.31 %"
"2021-05-20","  1.36 %"
"2021-05-21","  1.47 %"
"2021-05-22","  1.64 %"
"2021-05-23","  1.74 %"
"2021-05-24","  1.66 %"
"2021-05-25","  1.49 %"
"2021-05-26","  1.28 %"
"2021-05-27","  1.11 %"
"2021-05-28","   .97 %"
"2021-05-29","   .91 %"
"2021-05-30","   .90 %"
"2021-05-31","   .89 %"
"2021-06-01","   .83 %"
"2021-06-02","   .74 %"
"2021-06-03","   .62 %"
"2021-06-04","   .56 %"
"2021-06-05","   .42 %"
"2021-06-06","   .39 %"
"2021-06-07","   .36 %"
"2021-06-08","   .47 %"
"2021-06-09","   .44 %"
"2021-06-10","   .41 %"
"2021-06-11","   .38 %"
"2021-06-12","   .40 %"
"2021-06-13","   .35 %"
"2021-06-14","   .35 %"
"2021-06-15","   .37 %"
"2021-06-16","   .35 %"
"2021-06-17","   .34 %"
"2021-06-18","   .32 %"
"2021-06-19","   .32 %"
"2021-06-20","   .24 %"
"2021-06-21","   .18 %"
"2021-06-22","   .10 %"
"2021-06-23","   .08 %"
"2021-06-24","   .03 %"
"2021-06-25","   .03 %"
"2021-06-26","   .03 %"
"2021-06-27","   .03 %"
"2021-06-28","   .00 %"
"2021-06-29","   .03 %"
"2021-06-30","   .03 %"
"2021-07-01","   .03 %"
"2021-07-02","   .03 %"
"2021-07-03","   .03 %"
"2021-07-04","   .00 %"
"2021-07-05","   .03 %"
"2021-07-06","   .03 %"
"2021-07-07","   .03 %"
"2021-07-08","   .03 %"
"2021-07-09","   .03 %"
"2021-07-10","   .00 %"
"2021-07-11","   .00 %"
"2021-07-12","   .00 %"
"2021-07-13","   .00 %"
"2021-07-14","   .00 %"
"2021-07-15","   .00 %"
"2021-07-16","   .00 %"
"2021-07-17","   .00 %"
"2021-07-18","   .00 %"
"2021-07-19","   .00 %"
"2021-07-20","   .00 %"
"2021-07-21","   .00 %"
"2021-07-22","   .00 %"
"2021-07-23","   .00 %"
"2021-07-24","   .00 %"
"2021-07-25","   .00 %"
"2021-07-26","   .00 %"
"2021-07-27","   .00 %"
