"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-03-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"2020-04-03","","","","","2","","","","","","","","","","","","","","10","","","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","1","","","","4","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","1","","","","","","4","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","2","","5","","","","","","","","5","","","","","","","","","","","","","","","","","","","","1"
"2020-04-21","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-22","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","2","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3"
"2020-04-27","","","6","","3","","","","","","","","1","","","","","","0","","","","","","","","","","","","","","4"
"2020-04-28","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","",""
"2020-04-29","","","3","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"2020-04-30","","","1","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","0"
"2020-05-01","","","0","","0","","","","","","","","9","","","","0","","0","","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","","3","1","","","","","0","","","","","","","","","","","","","",""
"2020-05-03","","","1","","0","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"2020-05-04","","","","","2","","","","","","","","4","","","","","","","","","","","","","","","","","","","","1"
"2020-05-05","","","3","","","","1","","","","2","","1","","","","","","0","","","","","","","","","","","","","","1"
"2020-05-06","","","1","","","","","","","","17","","2","","","","1","","","","","","","","","","","","","","","",""
"2020-05-07","","","2","","","","","","","","7","1","","","","","","","3","","","1","","","","","","","","","","",""
"2020-05-08","","","","","3","","","","","","43","","","","","","5","","","","","","","","","","","","","","","","0"
"2020-05-09","","","15","","1","","","","","","47","","0","","","","","","","","","4","","","","","","","","","","","1"
"2020-05-10","2","","","","6","","","","","","7","","5","","","","","","","","","","","","","","2","","","","","",""
"2020-05-11","","","15","","0","","","0","","","15","","4","0","","","1","","0","","","","","","","","","","","","","","3"
"2020-05-12","","","","","","1","1","","","","18","","0","","","","","","","","","1","","","","","1","","","","","",""
"2020-05-13","","","33","","0","","","","","","52","","7","","","","","2","0","0","","","","","","","","","","","","","7"
"2020-05-14","","","12","","15","","1","1","","","54","","19","","","","13","","3","","","","","3","","","10","","","","","","3"
"2020-05-15","","","0","","0","","6","","","","13","","31","","","","4","0","3","","","2","","2","","","4","","","","","",""
"2020-05-16","","","0","","","","0","","","","0","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-17","","2","17","","28","","12","","","","15","","0","","","","1","4","3","","","","","","","","7","","","","","","1"
"2020-05-18","","2","0","","","1","1","","","","15","0","16","","","","3","","1","","","0","","3","","","4","","","","","","0"
"2020-05-19","2","","2","","21","","4","","","","0","23","31","","","","8","","4","","","","","1","","","4","","2","","","",""
"2020-05-20","","","1","","0","28","9","","1","","6","","6","","","1","2","","7","","","0","","","","","11","","","","","","0"
"2020-05-21","2","","0","","0","0","9","","","","4","2","5","","11","","","","","","1","3","","11","","","1","","2","","","","0"
"2020-05-22","0","","5","","3","0","11","","","","5","","46","","","","0","3","3","","","","","6","","","3","","","","","","1"
"2020-05-23","","3","1","","0","","1","","","","19","","14","3","","2","","","","","5","0","","5","","","17","","","","","","5"
"2020-05-24","6","7","","","","","2","","1","","7","1","0","","4","","","0","3","","2","","","13","","","16","","","","","","4"
"2020-05-25","-1","8","5","","8","","","22","1","6","5","10","1","","-2","1","15","1","5","6","9","1","","0","","","0","","","","","","0"
"2020-05-26","1","14","4","","0","","16","","3","","5","","2","1","","7","6","8","4","","","0","","3","","","4","","","","","","0"
"2020-05-27","","16","2","","0","","11","","","","10","6","0","","","","","0","13","","","1","","2","13","","0","","","","","","2"
"2020-05-28","","2","","1","","0","0","","","","26","2","11","","","0","0","1","11","","","","","7","","","0","","2","","","4",""
"2020-05-29","","6","3","","0","","3","","9","","4","11","0","1","","","","","12","1","","1","1","7","","","1","","1","","","","2"
"2020-05-30","0","7","4","","7","0","6","4","2","10","6","6","6","","5","0","10","1","9","","0","","","1","4","","1","","","","","","7"
"2020-05-31","0","11","6","6","","","5","4","1","16","10","2","10","","0","","18","3","7","","1","6","","0","12","","4","","1","","","","6"
"2020-06-01","","2","0","3","7","1","20","","","0","17","14","11","","","9","50","1","3","","1","3","","3","3","","0","","2","","","3","3"
"2020-06-02","1","7","2","","","","6","","2","4","27","4","10","0","","0","13","4","26","","0","1","0","1","19","","5","","1","","","0","8"
"2020-06-03","3","13","24","0","3","","0","1","0","4","41","","0","","1","","9","","3","","","8","","0","8","","0","","3","","","17","4"
"2020-06-04","1","0","1","1","9","","5","","10","","22","0","0","0","1","0","0","0","25","","","","","7","","","2","","1","","","","5"
"2020-06-05","1","3","0","4","4","","23","","2","7","12","1","3","","3","3","2","2","22","6","","22","","0","0","","1","1","","","","1","7"
