"date","Louisiana/Acadia","Louisiana/Allen","Louisiana/Ascension","Louisiana/Assumption","Louisiana/Avoyelles","Louisiana/Beauregard","Louisiana/Bienville","Louisiana/Bossier","Louisiana/Caddo","Louisiana/Calcasieu","Louisiana/Caldwell","Louisiana/Cameron","Louisiana/Catahoula","Louisiana/Claiborne","Louisiana/Concordia","Louisiana/De Soto","Louisiana/East Baton Rouge","Louisiana/East Carroll","Louisiana/East Feliciana","Louisiana/Evangeline","Louisiana/Franklin","Louisiana/Grant","Louisiana/Iberia","Louisiana/Iberville","Louisiana/Jackson","Louisiana/Jefferson","Louisiana/Jefferson Davis","Louisiana/LaSalle","Louisiana/Lafayette","Louisiana/Lafourche","Louisiana/Lincoln","Louisiana/Livingston","Louisiana/Madison","Louisiana/Morehouse","Louisiana/Natchitoches","Louisiana/Orleans","Louisiana/Ouachita","Louisiana/Out of LA","Louisiana/Plaquemines","Louisiana/Pointe Coupee","Louisiana/Rapides","Louisiana/Red River","Louisiana/Richland","Louisiana/Sabine","Louisiana/St. Bernard","Louisiana/St. Charles","Louisiana/St. Helena","Louisiana/St. James","Louisiana/St. John the Baptist","Louisiana/St. Landry","Louisiana/St. Martin","Louisiana/St. Mary","Louisiana/St. Tammany","Louisiana/Tangipahoa","Louisiana/Tensas","Louisiana/Terrebonne","Louisiana/Unassigned","Louisiana/Union","Louisiana/Vermilion","Louisiana/Vernon","Louisiana/Washington","Louisiana/Webster","Louisiana/West Baton Rouge","Louisiana/West Carroll","Louisiana/West Feliciana","Louisiana/Winn"
"2020-03-22","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","15","0","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-23","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","20","1","","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"2020-03-24","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","26","1","","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0"
"2020-03-25","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","1","0","7","0","0","0","1","0","0","0","0","0","37","1","","0","0","1","0","0","0","1","1","0","1","2","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0"
"2020-03-26","0","0","1","0","0","0","1","0","1","1","0","0","1","0","0","1","4","0","0","0","0","0","0","1","0","12","0","0","0","1","0","0","0","0","0","46","1","","0","0","1","0","0","0","1","2","0","1","2","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0"
"2020-03-27","1","0","1","0","0","0","1","0","2","1","0","0","1","0","0","1","4","0","0","0","0","0","0","1","0","24","0","0","0","2","0","0","0","0","0","57","1","","2","0","1","0","0","0","1","2","0","3","3","0","3","0","2","0","0","1","1","0","0","0","1","1","1","0","0","0"
"2020-03-28","1","0","1","0","0","0","1","0","2","1","0","0","1","0","0","1","4","0","0","0","0","0","0","1","0","26","0","0","1","2","0","0","0","0","0","70","1","","2","0","1","0","0","0","2","2","0","3","3","0","3","0","2","0","0","1","1","0","1","0","1","1","1","0","0","0"
"2020-03-29","1","0","2","0","0","0","1","0","5","1","0","0","1","0","0","1","7","0","0","0","0","0","0","1","0","28","0","0","1","2","0","0","0","0","0","73","1","","2","0","1","0","0","0","2","2","0","3","5","0","3","0","3","0","0","1","0","0","1","0","1","1","1","0","0","0"
"2020-03-30","1","0","5","0","0","0","1","0","5","1","0","0","1","0","0","1","9","0","0","0","0","0","0","2","0","37","0","0","1","2","0","0","0","0","0","86","1","","2","0","1","0","0","0","2","3","0","3","8","1","3","0","4","0","0","1","0","0","1","0","1","1","1","0","0","0"
"2020-03-31","1","0","6","0","0","0","1","1","7","1","","","1","0","0","1","9","0","0","0","0","0","0","3","0","57","0","0","1","2","0","0","0","0","0","101","1","","2","0","3","0","0","0","2","6","0","4","12","1","3","0","4","0","","1","4","0","1","0","1","1","1","","0","0"
"2020-04-01","1","0","5","0","2","0","1","1","7","1","","","1","0","0","1","10","0","0","0","0","0","1","3","0","64","0","0","2","4","0","0","0","0","0","115","1","","4","0","4","0","0","0","3","7","0","4","13","1","3","0","6","2","","1","0","0","1","0","2","1","1","","0","0"
"2020-04-02","1","3","7","0","1","0","1","2","10","1","","","1","2","0","1","11","0","0","0","0","0","1","4","0","73","0","0","2","4","0","0","0","0","0","125","1","","3","0","3","0","0","0","5","8","0","4","14","1","3","0","9","1","","1","1","0","1","0","2","2","1","","0","0"
"2020-04-03","1","3","7","0","1","0","1","2","10","1","0","","1","2","1","2","13","0","0","0","0","0","3","5","0","85","0","0","2","3","0","1","0","0","0","148","1","","4","0","4","0","0","0","7","11","0","4","17","2","3","0","10","1","","2","4","0","1","0","2","2","3","","0","0"
"2020-04-04","2","3","7","0","1","0","1","2","10","3","0","","1","2","1","3","14","0","0","0","0","0","3","5","0","95","0","0","4","3","0","1","0","0","0","153","1","","4","0","4","0","0","0","8","12","0","6","23","2","5","0","14","2","","5","0","0","1","0","2","2","4","","0","0"
"2020-04-05","2","5","11","0","1","0","1","3","19","3","0","","1","2","1","3","22","0","0","0","0","0","3","5","0","113","0","0","5","4","0","1","0","0","0","161","1","","6","0","4","0","0","0","8","13","0","6","24","4","4","0","14","2","","8","4","0","1","0","2","2","7","","0","1"
"2020-04-06","2","5","11","0","1","0","1","3","21","3","0","","1","2","1","4","25","0","0","0","0","0","5","6","0","121","1","0","6","7","0","1","0","0","0","171","1","","6","0","4","0","0","0","8","15","0","6","24","4","4","0","17","2","","7","3","0","1","0","2","2","7","0","0","1"
"2020-04-07","2","5","11","1","1","0","1","4","26","3","0","0","1","2","1","6","31","0","0","0","0","0","5","8","0","137","1","0","7","7","0","1","0","0","0","185","1","","7","0","4","1","0","0","10","19","0","6","34","4","4","0","17","3","","11","2","0","1","0","2","2","7","0","0","1"
"2020-04-08","2","5","15","0","1","1","1","6","25","4","0","0","1","2","1","7","33","0","1","0","0","0","4","9","0","149","1","0","10","11","0","1","0","0","0","208","3","","7","0","4","1","0","0","10","19","0","7","35","4","4","0","18","4","","14","2","3","1","0","5","2","9","0","0","2"
"2020-04-09","3","5","17","0","1","1","1","7","26","4","0","0","1","2","1","7","36","0","2","0","0","0","5","9","0","158","2","0","11","11","0","1","0","0","0","224","4","","8","1","4","1","0","0","10","22","0","7","35","4","6","1","19","5","","13","2","3","1","0","8","2","9","0","0","2"
"2020-04-10","4","5","19","1","1","1","1","7","39","5","0","0","1","2","1","7","39","0","2","0","1","0","5","10","0","165","2","0","12","13","0","1","0","2","0","225","5","","8","2","4","1","0","0","10","23","0","9","37","6","6","1","27","6","","13","2","3","1","0","7","2","9","0","0","2"
"2020-04-11","4","7","20","1","1","1","1","9","39","8","0","0","1","3","1","7","45","0","2","0","1","0","5","12","0","166","7","0","12","13","0","1","0","2","0","232","5","","11","2","5","1","0","0","10","24","0","9","38","11","7","2","32","7","0","14","3","3","1","0","7","2","9","0","0","2"
"2020-04-12","5","7","23","1","1","1","1","9","39","12","0","0","1","3","1","7","49","0","2","0","1","0","5","14","0","173","3","0","13","13","0","1","0","2","0","235","5","","10","2","5","2","0","0","10","25","0","10","38","13","8","2","39","8","0","14","3","3","1","0","7","2","9","0","0","2"
"2020-04-13","5","7","24","1","1","1","2","10","39","13","0","0","1","3","1","7","52","0","2","0","1","0","5","16","0","186","3","0","14","13","0","3","0","2","0","244","5","","11","2","5","2","0","0","8","23","0","11","40","13","8","2","48","11","0","14","0","3","1","0","8","2","9","0","0","2"
"2020-04-14","5","8","27","1","2","1","6","10","56","14","0","0","1","4","1","7","58","0","4","0","2","0","5","17","0","210","4","0","15","13","0","4","0","2","0","276","7","","11","4","5","2","0","0","8","24","0","13","48","16","9","2","55","11","0","17","0","4","1","1","9","2","9","0","0","2"
