"date","Washington/Adams","Washington/Asotin","Washington/Benton","Washington/Chelan","Washington/Clallam","Washington/Clark","Washington/Columbia","Washington/Cowlitz","Washington/Douglas","Washington/Ferry","Washington/Franklin","Washington/Garfield","Washington/Garfield County","Washington/Grant","Washington/Grays Harbor","Washington/Island","Washington/Jefferson","Washington/King","Washington/Kitsap","Washington/Kittitas","Washington/Klickitat","Washington/Lewis","Washington/Lincoln","Washington/Mason","Washington/Okanogan","Washington/Pacific","Washington/Pend Oreille","Washington/Pierce","Washington/San Juan","Washington/Skagit","Washington/Skamania","Washington/Snohomish","Washington/Spokane","Washington/Stevens","Washington/Thurston","Washington/Unassigned","Washington/Wahkiakum","Washington/Walla Walla","Washington/Walla Walla County","Washington/Whatcom","Washington/Whitman","Washington/Yakima"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %"," 28.57 %"," ##.## %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 66.67 %","   .00 %",""," 27.78 %","   .00 %"," 19.05 %","   .00 %"," 12.50 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 17.76 %","   .00 %","   .00 %","   .00 %","  8.12 %","   .00 %","   .00 %","   .00 %","-11.59 %","   .00 %","   .00 %",""," ##.## %"," ##.## %","   .00 %"
"2020-03-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.52 %","   .00 %"," 36.36 %","   .00 %"," 18.30 %"," 45.00 %","   .00 %","   .00 %","-22.76 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 56.25 %"
"2020-03-25","   .00 %","   .00 %"," 33.33 %"," 66.67 %","   .00 %"," 23.08 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 40.00 %","   .00 %",""," 17.39 %","   .00 %"," 52.00 %"," 12.50 %"," 16.15 %"," 11.11 %"," ##.## %"," 50.00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 12.32 %","   .00 %","  6.67 %","   .00 %","  3.26 %"," 13.79 %","   .00 %"," 27.27 %","-54.46 %","   .00 %"," ##.## %",""," 33.33 %","   .00 %"," 88.00 %"
"2020-03-26"," ##.## %","   .00 %"," 58.33 %","   .00 %"," 25.00 %"," ##.## %","   .00 %"," ##.## %"," ##.## %","   .00 %","   .00 %","   .00 %",""," 22.22 %","   .00 %"," 68.42 %"," 22.22 %"," 16.04 %"," 65.00 %","-55.56 %"," 16.67 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," ##.## %"," 62.50 %","   .00 %"," 22.71 %"," ##.## %"," ##.## %"," 71.43 %"," 35.29 %","   .00 %","   .00 %",""," 34.38 %"," 50.00 %"," 29.79 %"
"2020-03-27","   .00 %","   .00 %"," ##.## %"," 20.00 %","   .00 %"," 58.33 %","   .00 %","   .00 %","   .00 %","   .00 %"," 71.43 %","   .00 %",""," 18.18 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 24.19 %","   .00 %","   .00 %","   .00 %"," 17.22 %"," 23.88 %","   .00 %","   .00 %"," -2.90 %","   .00 %","   .00 %","","  6.98 %"," 66.67 %","  8.20 %"
"2020-03-28"," 66.67 %","   .00 %","   .00 %","  8.33 %","   .00 %","  7.89 %","   .00 %"," 42.86 %","   .00 %","   .00 %","   .00 %","   .00 %",""," 12.82 %","   .00 %"," 25.00 %","   .00 %"," 31.71 %"," 27.27 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 50.00 %"," 16.67 %","   .00 %","   .11 %"," 30.12 %"," 50.00 %"," 12.50 %","-##.## %","   .00 %"," ##.## %",""," 10.87 %"," 20.00 %"," 24.24 %"
"2020-03-29","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","  9.76 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %",""," 13.64 %","   .00 %"," 16.25 %"," 18.18 %","  3.95 %"," 19.05 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 37.23 %"," 33.33 %","  8.79 %","   .00 %","  -.11 %","   .00 %","   .00 %"," 22.22 %","   .00 %","   .00 %"," 25.00 %",""," 13.73 %","   .00 %"," 70.73 %"
"2020-03-30"," 40.00 %","   .00 %"," 82.14 %","  7.69 %"," 20.00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %"," ##.## %","   .00 %",""," 18.00 %","   .00 %"," 12.90 %","  7.69 %","   .09 %"," 12.00 %"," 12.50 %"," 14.29 %"," 42.86 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.02 %","   .00 %"," 17.11 %"," 25.93 %","   .00 %","  9.09 %"," ##.## %","   .00 %"," 20.00 %","","   .00 %"," 33.33 %","  5.00 %"
"2020-03-31"," 85.71 %","","-12.75 %"," 14.29 %"," 33.33 %"," 28.89 %","   .00 %","   .00 %","   .00 %","   .00 %","-10.81 %","","","  6.78 %"," ##.## %","   .95 %"," 14.29 %","  7.82 %"," 32.14 %","   .00 %"," 12.50 %","   .00 %","   .00 %"," ##.## %","   .00 %","",""," 18.93 %","   .00 %"," 19.80 %","   .00 %"," 15.07 %","   .00 %"," 33.33 %"," 33.33 %","   .00 %","","   .00 %",""," 19.83 %","   .00 %","  9.52 %"
"2020-04-01","  7.69 %",""," 21.35 %","  6.25 %","   .00 %"," 12.07 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","  2.83 %","  6.25 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","","","   .00 %","   .00 %","  5.79 %","   .00 %","  6.10 %"," 16.18 %","   .00 %","   .00 %"," 10.58 %",""," 16.67 %","","   .00 %"," 25.00 %","   .00 %"
"2020-04-02"," 42.86 %",""," 20.37 %","  5.88 %","   .00 %","   .77 %","   .00 %"," 28.57 %"," 20.00 %","   .00 %"," 24.24 %","",""," 15.87 %","   .00 %","  4.59 %"," 11.76 %"," 13.99 %"," 12.16 %"," 11.11 %","   .00 %","   .00 %","   .00 %"," 83.33 %","   .00 %","",""," 32.10 %"," 50.00 %"," 11.72 %","   .00 %","  5.52 %"," 15.19 %"," 25.00 %","  6.25 %"," 13.53 %",""," 14.29 %",""," 25.90 %"," 10.00 %"," 39.13 %"
"2020-04-03","   .00 %","","  4.62 %"," 11.11 %","   .00 %","  4.58 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.76 %","","","  2.74 %","   .00 %","  4.39 %","   .00 %","  4.93 %"," 14.46 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 18.18 %"," 33.33 %","","   .00 %"," 14.66 %","   .00 %","  6.99 %","   .00 %","   .00 %","  6.59 %","   .00 %"," 13.73 %"," 45.64 %","   .00 %","   .00 %","","  4.00 %","   .00 %","  7.14 %"
"2020-04-04","   .00 %","   .00 %"," 11.03 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","  2.22 %","","","  2.67 %"," 50.00 %","  2.52 %","   .00 %","  3.98 %","  4.21 %","   .00 %","   .00 %","  8.33 %","   .00 %","   .00 %"," 50.00 %","","   .00 %","  8.58 %","   .00 %","  5.23 %","   .00 %","  9.23 %","  7.73 %","   .00 %"," 10.34 %"," -3.59 %","   .00 %","   .00 %","","  9.34 %","   .00 %"," 20.42 %"
"2020-04-05"," 15.00 %"," ##.## %","  8.61 %"," 20.83 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %"," 21.74 %","","","  3.90 %"," ##.## %","  6.56 %","  5.26 %","  9.28 %","  5.05 %","   .00 %"," 22.22 %","   .00 %","   .00 %","  7.69 %"," 16.67 %","","   .00 %"," 10.97 %"," 16.67 %","   .00 %"," ##.## %","  3.73 %","  4.78 %","   .00 %","  4.69 %"," 10.35 %","   .00 %"," 12.50 %",""," 12.56 %","   .00 %"," 12.80 %"
"2020-04-06"," 13.04 %"," 50.00 %","  6.71 %","   .00 %","   .00 %"," 22.63 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %","",""," 10.00 %","   .00 %","  8.46 %"," 10.00 %","  5.18 %","   .00 %"," 20.00 %","   .00 %"," 23.08 %","   .00 %","  7.14 %"," 28.57 %","","   .00 %","  4.22 %"," 28.57 %","   .00 %","   .00 %","  2.82 %","  1.37 %","   .00 %","   .00 %"," 21.58 %"," ##.## %"," 33.33 %","","  1.79 %","  9.09 %"," 11.35 %"
