"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Nagaland","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-05-25","2","","1","","","","","","","","","",""
"2020-05-26","","","2","","","","","","","","","",""
"2020-05-27","6","","3","","","","","","","","","",""
"2020-05-28","12","","5","","","","","","","","1","",""
"2020-05-29","14","","9","","","","","","","","2","",""
"2020-05-30","22","","12","","","","","","","","","",""
"2020-05-31","25","","16","","","","","","","","","",""
"2020-06-02","31","","","","","","","","","","","",""
"2020-06-04","57","","17","","","","","","1","","5","",""
"2020-06-06","9","4","5","","","23","","","53","1","7","5",""
"2020-06-07","20","","3","","","","","","","","","",""
"2020-06-08","12","","6","","","","","","62","","8","","1"
"2020-06-09","16","","7","","","","","","","","","",""
"2020-06-10","16","","8","","","","","","","","","",""
"2020-06-11","16","","10","","","","","","","","","",""
"2020-06-12","39","","12","","","","","","63","","","",""
"2020-06-13","39","","","","","","","","","","","",""
"2020-06-14","23","","7","","","33","","2","80","","10","0",""
"2020-06-15","28","","","","","","","","84","","","7",""
"2020-06-16","","","8","","","","","","","","","8",""
"2020-06-17","29","","","","","45","","","","","11","",""
"2020-06-18","29","","","","","","","","84","","","",""
"2020-06-19","30","","9","","","47","","3","","","","",""
"2020-06-20","","","11","","","48","","","","","","",""
"2020-06-21","","","17","","","","","","","2","13","9",""
"2020-06-22","33","","","","","","","","149","","","","2"
"2020-06-23","57","","26","1","","","","6","161","","","","3"
"2020-06-24","57","","26","","","","","18","","","15","10","5"
"2020-06-25","60","","29","","","","","22","161","","13","",""
"2020-06-26","","","","","","","","","161","","","",""
"2020-06-27","64","","43","2","","60","","","162","","","",""
"2020-06-28","84","","46","","","63","","","164","","","",""
"2020-06-29","","","","","","","","40","165","","","",""
"2020-06-30","85","","","","1","","","46","","","30","",""
"2020-07-01","86","","48","","","","","","196","10","","",""
"2020-07-02","87","","49","","","","","","228","","","",""
"2020-07-03","87","","49","","","66","","","229","10","","",""
"2020-07-04","","","51","","","","","","250","","","",""
"2020-07-05","99","","52","","2","67","","","260","","32","","6"
"2020-07-06","114","","","","","87","","","","","","",""
"2020-07-07","","","53","","","97","","","","","40","",""
"2020-07-08","123","","54","","3","98","","","","","41","",""
"2020-07-09","","","","","","","","","273","13","","",""
"2020-07-10","141","","74","","","","","","292","14","","11",""
"2020-07-11","","","81","","4","101","","","","","46","",""
"2020-07-12","159","","82","","","","","","292","18","49","",""
"2020-07-13","219","","86","","","108","","","","","","",""
"2020-07-14","222","","110","4","5","","","","312","","","","7"
"2020-07-15","228","","110","","","","","","","","","",""
"2020-07-16","240","","112","","","","","","312","","","",""
"2020-07-17","279","","","","","","","","313","","","",""
"2020-07-18","287","","115","","","","","","324","","","",""
"2020-07-19","288","","121","5","7","","","","","","","",""
"2020-07-20","304","","126","","","120","","","","","","",""
"2020-07-21","310","","","","","122","","","325","","","",""
"2020-07-22","333","","145","","9","124","","","326","","","","14"
"2020-07-23","359","4","206","5","9","124","","46","328","19","49","11","14"
"2020-07-24","400","","227","","","","","","330","","50","",""
"2020-07-25","419","","234","","13","144","","","330","19","50","",""
"2020-07-26","428","","262","5","","157","","","","","","",""
"2020-07-27","442","","285","","13","165","","","331","","","11",""
"2020-07-28","445","","336","","","168","","","331","29","51","18",""
"2020-07-29","474","","355","","","173","","","331","29","51","",""
"2020-07-30","506","","371","5","18","173","","","","","","",""
"2020-07-31","602","","402","","18","","","","331","","","",""
"2020-08-01","719","","423","","","","","","331","","","","14"
"2020-08-02","781","","440","","","174","","","","30","","23","32"
"2020-08-03","917","","462","","","","","","","","","","68"
"2020-08-04","1104","","","","","263","","","","30","","",""
"2020-08-05","1192","","462","","18","268","","","331","","","","68"
