"date","Nevada/Carson City","Nevada/Churchill","Nevada/Clark","Nevada/Douglas","Nevada/Elko","Nevada/Elko County","Nevada/Esmeralda","Nevada/Eureka","Nevada/Humboldt","Nevada/Lander","Nevada/Lincoln","Nevada/Lyon","Nevada/Mineral","Nevada/Nye","Nevada/Pershing","Nevada/Storey","Nevada/Unassigned","Nevada/Washoe","Nevada/White Pine"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-25","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %"," 66.67 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-##.## %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-31","   .00 %",""," 64.29 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," ##.## %","   .00 %"
"2020-04-01","   .00 %",""," 21.74 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-02","   .00 %",""," 21.43 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," 33.33 %","   .00 %"
"2020-04-03","   .00 %",""," 14.71 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-04","   .00 %","","  5.13 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-05","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-06","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-07","   .00 %",""," 31.71 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," 25.00 %","   .00 %"
"2020-04-08","   .00 %",""," 20.37 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","-##.## %"," 20.00 %","   .00 %"
"2020-04-09","   .00 %","","  9.23 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %"," 33.33 %","   .00 %"
"2020-04-10","   .00 %","","  5.63 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""," ##.## %"," 25.00 %","   .00 %"
"2020-04-11","   .00 %","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""," ##.## %","   .00 %","   .00 %"
"2020-04-12","   .00 %",""," 33.33 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-##.## %"," 10.00 %","   .00 %"
"2020-04-13","   .00 %","","  1.00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","  9.09 %","   .00 %"
"2020-04-14","   .00 %","","  4.95 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-15","   .00 %","","  8.49 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-##.## %"," 16.67 %","   .00 %"
"2020-04-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-17","   .00 %","   .00 %","  7.83 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-83.33 %","  7.14 %","   .00 %"
"2020-04-18","   .00 %","   .00 %","  7.26 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-##.## %","  6.67 %","   .00 %"
"2020-04-19","   .00 %","   .00 %","  3.01 %","   .00 %","   .00 %","","",""," ##.## %","","   .00 %","   .00 %","","   .00 %","","","   .00 %"," 12.50 %","   .00 %"
"2020-04-20","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-21","   .00 %","   .00 %","  2.92 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-22","   .00 %","   .00 %","  6.38 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %"
"2020-04-23","   .00 %","   .00 %","  8.67 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 22.22 %","   .00 %"
"2020-04-24","   .00 %","   .00 %","  3.07 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-60.00 %","   .00 %","   .00 %"
"2020-04-25","   .00 %","-##.## %","  3.57 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-##.## %"," 22.73 %","   .00 %"
"2020-04-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-28","   .00 %","   .00 %","  6.90 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-##.## %","  7.41 %","   .00 %"
"2020-04-29","   .00 %","   .00 %","  5.38 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  3.45 %","   .00 %"
"2020-04-30","   .00 %","   .00 %","  3.06 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-01","   .00 %","   .00 %","  1.98 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-57.14 %"," 10.00 %","   .00 %"
