"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-03-22","","","","","","","","","","","",""
"2020-03-23","4","0","0","0","0","1","0","","0","0","0",""
"2020-03-24","3","1","0","0","5","3","0","","10","1","0",""
"2020-03-25","0","0","0","0","1","1","0","","4","1","0",""
"2020-03-26","1","0","0","0","1","10","1","","14","2","0",""
"2020-03-27","0","0","1","0","1","1","2","","11","0","1","-19"
"2020-03-28","1","1","0","0","3","12","4","","8","4","0",""
"2020-03-29","0","0","0","0","2","10","3","","11","1","0",""
"2020-03-30","0","2","1","0","1","16","4","","14","5","1","52"
"2020-03-31","3","2","1","","5","30","9","","37","11","1","-56"
"2020-04-01","0","0","0","","0","10","0","","0","0","0","0"
"2020-04-02","1","2","4","","4","","6","","33","7","1","0"
"2020-04-03","0","0","0","","0","54","0","","0","0","0","0"
"2020-04-04","1","3","1","1","0","31","3","","20","1","0","0"
"2020-04-05","3","0","1","0","3","37","3","","23","7","0","4"
"2020-04-06","1","2","3","0","0","41","13","","33","3","1","-3"
"2020-04-07","0","0","0","0","0","0","0","","0","0","0","0"
"2020-04-08","3","0","0","0","0","16","4","","9","0","0","0"
"2020-04-09","0","4","1","0","2","15","4","","13","2","0","31"
"2020-04-10","0","0","0","0","0","0","0","","0","0","0","0"
"2020-04-11","0","5","3","1","0","41","6","","37","5","0","-32"
"2020-04-12","0","0","1","0","0","23","5","","9","5","0","1"
"2020-04-13","1","0","1","0","2","18","2","","31","1","0","0"
"2020-04-14","2","1","2","0","0","-114","2","","33","10","1","0"
"2020-04-15","0","0","5","0","-1","187","6","","21","0","0","-1"
"2020-04-16","0","0","0","0","0","0","0","","0","0","0","0"
"2020-04-17","1","3","1","0","0","67","7","","50","15","2","2"
"2020-04-18","0","-2","1","0","1","27","4","","17","8","1","-2"
"2020-04-19","1","0","1","0","0","29","2","","13","2","0","0"
"2020-04-20","0","0","1","0","0","23","2","","10","17","0","4"
"2020-04-21","2","0","0","0","0","22","5","","4","0","0","10"
"2020-04-22","0","0","3","0","0","55","4","","26","7","0","3"
"2020-04-23","0","0","2","0","1","40","8","","32","5","0","-6"
"2020-04-24","2","0","0","0","1","32","2","","17","3","1","-8"
"2020-04-25","1","0","1","0","0","27","14","","25","3","0","6"
"2020-04-26","0","0","0","0","1","44","-3","","26","3","0","-4"
"2020-04-27","4","1","2","0","0","35","2","","24","0","0","6"
"2020-04-28","-1","0","2","0","0","37","16","","21","1","0","-4"
"2020-04-29","0","0","0","0","0","35","1","","6","6","0","0"
"2020-04-30","0","0","0","0","2","33","32","","22","2","1","-4"
"2020-05-01","3","1","0","0","1","48","8","","87","4","0","12"
"2020-05-02","1","0","0","0","0","46","0","","49","4","0","19"
"2020-05-03","1","0","0","0","2","51","10","","34","6","0","-15"
"2020-05-04","1","1","0","0","0","48","5","","16","3","0","-4"
"2020-05-05","0","1","1","0","1","24","6","","10","5","0","0"
"2020-05-06","1","0","0","0","0","71","7","","15","5","1","5"
"2020-05-07","1","1","0","0","1","56","7","","30","4","1","1"
"2020-05-08","0","1","2","0","1","67","7","","16","3","0","7"
"2020-05-09","2","0","0","0","-1","29","7","","15","8","0","4"
"2020-05-10","2","1","0","0","1","34","3","","14","9","0","-4"
"2020-05-11","0","0","0","0","2","58","6","","16","4","0","3"
"2020-05-12","1","0","1","0","-1","55","9","","16","3","0","-5"
"2020-05-13","0","0","1","0","1","41","4","","11","2","0","0"
"2020-05-14","2","2","0","0","1","32","5","","19","14","0","8"
"2020-05-15","1","0","2","2","2","56","0","","0","6","2","0"
"2020-05-16","1","2","0","0","0","43","17","","55","9","0","-24"
"2020-05-17","2","3","0","0","0","24","0","","9","2","0","0"
"2020-05-18","0","0","1","0","1","17","4","","9","2","0","22"
"2020-05-19","0","0","1","0","1","56","1","","25","6","0","-21"
"2020-05-20","1","0","0","0","1","112","7","","21","2","0","3"
"2020-05-21","0","2","1","0","2","31","9","","20","1","0","1"
"2020-05-22","0","0","1","0","2","41","8","","20","5","0","2"
"2020-05-23","1","0","0","0","1","45","5","","19","5","1","-2"
"2020-05-24","0","0","1","0","0","46","8","","5","1","0","-1"
"2020-05-25","0","0","2","0","0","37","1","","7","3","0","-2"
"2020-05-26","1","0","0","1","0","17","3","","10","2","0","0"
"2020-05-27","1","0","0","0","3","34","3","","14","2","0","-2"
"2020-05-28","0","0","1","0","2","71","4","","23","2","0","0"
"2020-05-29","1","0","2","0","0","88","3","","7","4","2","-4"
"2020-05-30","0","0","0","0","0","0","0","","0","0","0","0"
"2020-05-31","2","1","0","0","2","122","8","","22","2","0","0"
"2020-06-01","0","1","0","0","0","22","4","","7","0","0","0"
"2020-06-02","3","0","0","0","0","42","6","","7","2","0","4"
"2020-06-03","0","0","0","0","0","26","1","","16","2","1","0"
"2020-06-04","1","0","0","0","0","60","6","","11","5","0","-2"
"2020-06-05","0","0","0","0","0","0","0","","0","0","0","77"
"2020-06-06","3","0","0","0","1","95","12","","31","-1","0","-75"
"2020-06-07","1","0","0","0","-1","22","1","","2","0","0","-1"
"2020-06-08","2","0","2","1","0","22","3","","6","0","0","0"
"2020-06-09","0","0","0","0","0","0","0","","0","0","0","0"
"2020-06-10","0","1","0","0","0","80","8","","6","1","4","-1"
"2020-06-11","2","0","1","0","0","20","3","","8","0","1","-4"
"2020-06-12","1","0","0","0","0","30","4","","6","0","0","1"
"2020-06-13","1","0","0","0","0","42","1","","4","0","0","0"
"2020-06-14","0","0","0","0","0","17","0","","2","0","0","0"
"2020-06-15","0","0","0","0","0","21","1","","4","1","0","0"
"2020-06-16","0","0","2","0","-1","18","0","","2","0","-1","-1"
"2020-06-17","0","0","1","0","0","67","0","","4","1","0","-1"
"2020-06-18","2","0","-1","0","1","12","0","","2","0","0","-2"
"2020-06-19","1","2","1","0","0","27","1","","3","1","0","0"
"2020-06-20","1","0","1","0","0","23","3","","2","2","0","0"
"2020-06-21","0","1","0","0","0","16","0","","7","1","0","1"
