"date","South Dakota/Aurora","South Dakota/Beadle","South Dakota/Bennett","South Dakota/Bon Homme","South Dakota/Brookings","South Dakota/Brown","South Dakota/Brule","South Dakota/Buffalo","South Dakota/Butte","South Dakota/Campbell","South Dakota/Charles Mix","South Dakota/Clark","South Dakota/Clay","South Dakota/Codington","South Dakota/Corson","South Dakota/Custer","South Dakota/Davison","South Dakota/Day","South Dakota/Deuel","South Dakota/Dewey","South Dakota/Douglas","South Dakota/Edmunds","South Dakota/Fall River","South Dakota/Faulk","South Dakota/Grant","South Dakota/Gregory","South Dakota/Haakon","South Dakota/Hamlin","South Dakota/Hand","South Dakota/Hanson","South Dakota/Harding","South Dakota/Hughes","South Dakota/Hutchinson","South Dakota/Hyde","South Dakota/Jackson","South Dakota/Jerauld","South Dakota/Jones","South Dakota/Kingsbury","South Dakota/Lake","South Dakota/Lawrence","South Dakota/Lincoln","South Dakota/Lyman","South Dakota/Marshall","South Dakota/McCook","South Dakota/McPherson","South Dakota/Meade","South Dakota/Mellette","South Dakota/Miner","South Dakota/Minnehaha","South Dakota/Moody","South Dakota/Oglala Lakota","South Dakota/Pennington","South Dakota/Perkins","South Dakota/Potter","South Dakota/Roberts","South Dakota/Sanborn","South Dakota/Spink","South Dakota/Stanley","South Dakota/Sully","South Dakota/Todd","South Dakota/Tripp","South Dakota/Turner","South Dakota/Unassigned","South Dakota/Union","South Dakota/Walworth","South Dakota/Yankton","South Dakota/Ziebach"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"2020-03-24","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"2020-03-25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"2020-03-26","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"2020-03-27","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","1","0","0","","1","0","0","0"
"2020-03-28","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1","0"
"2020-03-29","0","4","0","0","0","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","4","0","0","1","0","0","1","0","0","0","0","0","0","1","","0","0","3","0"
"2020-03-30","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"2020-03-31","0","0","","0","0","0","","","-1","","0","0","0","0","","","0","","0","","","","0","0","","","","0","","","","0","0","","","","","1","","1","1","0","0","0","","0","","","3","","","0","","","0","","","","","0","","0","","0","","2",""
"2020-04-01","0","1","","0","1","1","","","0","","0","0","0","0","","","0","","0","","","","0","0","","","","0","","","","1","0","","","","","-1","","0","6","0","0","0","","0","","","9","","","0","","","1","","","","","0","","0","","0","","2",""
"2020-04-02","0","0","","0","0","2","","","0","","0","0","0","1","","","1","","0","","","","0","0","","","","0","","","","1","0","","","","","0","1","3","6","0","0","0","","0","","","14","","","1","","","0","","1","","","0","","1","","2","","2",""
"2020-04-03","0","0","","0","0","1","","","","","0","0","0","2","","","0","","0","","","","0","0","","","","0","","","","0","0","","","","","","0","0","2","0","0","0","","0","","","14","","","0","","","1","","0","","","0","","1","0","0","","1",""
"2020-04-04","0","0","","0","1","2","","","","","1","0","0","1","","","0","","0","","","","0","0","","","","0","","","","0","0","","","","","","0","0","2","0","0","0","","0","","","13","","","0","","","1","","1","","","0","","0","0","0","","3",""
"2020-04-05","0","0","","0","0","0","","","0","","0","0","0","1","","","0","","0","","","","0","0","","","","0","","","","0","0","","","","","0","0","0","2","0","0","0","","0","","","23","","","0","","","0","","1","","","0","","1","0","0","","0",""
"2020-04-06","0","0","","1","1","4","","","0","","0","0","0","1","","","0","","0","","","","0","0","","","","0","","","","0","0","","","","","0","0","0","1","0","0","0","","0","","","36","","","0","","","0","","0","","","0","","0","0","0","","4",""
"2020-04-07","0","0","","0","2","0","","","0","","0","0","3","1","","","0","","0","","","","0","0","","","","0","","","","0","0","","","","","0","0","0","3","1","0","0","","0","","","25","","","0","","","0","","0","","","0","","0","0","0","","-3",""
"2020-04-08","0","0","","1","0","0","","","0","","0","0","0","0","","","0","","0","","","","0","0","","","","0","","","","0","0","","","","","0","1","0","4","0","0","0","","0","","","63","","1","0","","","0","","0","","","0","","1","0","0","","2",""
