"date","an","ap","ar","as","br","ch","ct","dd","dl","dn","ga","gj","hp","hr","jh","jk","ka","kl","la","ld","mh","ml","mn","mp","mz","nl","or","pb","py","rj","sk","tg","tn","tr","tt","un","up","ut","wb"
"2020-03-14","0","1","0","0","0","0","0","0","7","0","0","0","0","14","0","2","6","19","0","0","14","0","0","0","0","0","0","1","0","3","0","1","1","0","81","0","12","0","0"
"2020-03-15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","18","0","0","0","0","0","0","0","0","1","0","2","0","0","27","0","1","0","0"
"2020-03-16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","0","0","6","0","0","0","0","0","1","0","1","0","0","1","0","0","15","0","0","1","0"
"2020-03-17","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","11","0","2","0","1"
"2020-03-18","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","5","0","8","0","3","0","0","0","0","0","1","1","0","3","0","8","1","0","37","0","2","1","0"
"2020-03-19","0","2","0","0","0","1","1","0","4","0","0","2","0","1","0","0","1","1","0","0","4","0","0","0","0","0","0","0","0","2","0","3","1","0","27","0","3","1","0"
"2020-03-20","0","0","0","0","0","4","0","0","6","0","0","5","2","2","0","0","0","12","2","0","4","0","0","4","0","0","0","1","0","8","0","3","0","0","58","0","4","0","1"
"2020-03-21","0","2","0","0","0","0","0","0","7","0","0","7","0","2","0","0","5","12","3","0","12","0","0","0","0","0","0","10","0","7","0","2","3","0","78","0","4","0","2"
"2020-03-22","0","1","0","0","2","1","0","0","0","0","0","4","0","0","0","0","6","15","0","0","10","0","0","2","0","0","0","8","0","4","0","6","3","0","67","0","2","0","3"
"2020-03-23","0","1","0","0","1","1","0","0","3","0","0","12","1","7","0","0","7","28","0","0","23","0","0","0","0","0","0","2","0","4","0","6","3","0","102","0","2","1","0"
"2020-03-24","0","1","0","0","0","0","0","0","0","0","0","4","0","2","0","2","8","14","0","0","10","0","1","1","0","0","0","6","0","0","0","4","6","0","64","0","3","0","2"
"2020-03-25","0","2","0","0","1","0","2","0","5","0","3","4","0","1","0","5","10","9","0","0","15","0","0","8","1","0","0","2","0","6","0","4","8","0","90","0","3","1","0"
"2020-03-26","1","1","0","0","3","0","3","0","1","0","0","5","0","1","0","3","4","19","0","0","3","0","0","5","0","0","1","2","0","2","0","3","3","0","65","0","4","0","1"
"2020-03-27","5","2","0","0","2","1","0","0","4","0","0","4","0","1","0","6","9","39","0","0","31","0","0","9","0","0","0","5","0","10","0","15","9","0","164","0","7","0","5"
"2020-03-28","3","6","0","0","2","0","1","0","9","0","0","8","0","2","0","13","17","6","0","0","30","0","0","10","0","0","0","0","0","4","0","8","4","0","143","0","16","1","3"
"2020-03-29","0","2","0","0","4","0","0","0","23","0","2","8","0","0","0","5","2","20","0","0","17","0","0","0","0","0","0","0","0","5","0","3","8","0","110","0","7","1","3"
"2020-03-30","1","2","0","0","0","5","1","0","25","0","0","7","0","1","0","11","5","32","0","0","17","0","0","8","0","0","0","3","0","20","0","7","17","0","187","0","24","0","1"
