"date","South Carolina/Abbeville","South Carolina/Aiken","South Carolina/Allendale","South Carolina/Anderson","South Carolina/Bamberg","South Carolina/Barnwell","South Carolina/Beaufort","South Carolina/Berkeley","South Carolina/Calhoun","South Carolina/Charleston","South Carolina/Cherokee","South Carolina/Chester","South Carolina/Chesterfield","South Carolina/Clarendon","South Carolina/Colleton","South Carolina/Darlington","South Carolina/Dillon","South Carolina/Dorchester","South Carolina/Edgefield","South Carolina/Fairfield","South Carolina/Florence","South Carolina/Georgetown","South Carolina/Greenville","South Carolina/Greenwood","South Carolina/Hampton","South Carolina/Horry","South Carolina/Jasper","South Carolina/Kershaw","South Carolina/Lancaster","South Carolina/Laurens","South Carolina/Lee","South Carolina/Lexington","South Carolina/Marion","South Carolina/Marlboro","South Carolina/McCormick","South Carolina/Newberry","South Carolina/Oconee","South Carolina/Orangeburg","South Carolina/Pickens","South Carolina/Richland","South Carolina/Saluda","South Carolina/Spartanburg","South Carolina/Sumter","South Carolina/Unassigned","South Carolina/Union","South Carolina/Williamsburg","South Carolina/York"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","5","0","0","7","2","0","18","0","1","0","3","0","2","0","1","0","1","2","2","12","-1","-1","5","0","10","2","0","1","5","0","-1","0","0","2","5","0","14","0","1","1","","0","0","3"
"2020-03-24","0","1","0","1","0","0","1","0","0","5","0","0","1","1","0","1","0","1","0","0","2","0","8","0","0","3","1","4","0","0","0","2","0","1","0","0","0","0","0","2","0","1","4","","0","0","4"
"2020-03-25","2","0","0","3","0","0","4","1","0","16","0","0","2","0","0","0","0","1","0","1","0","0","11","0","0","1","0","5","-1","0","0","-1","1","0","0","0","0","1","5","14","0","5","2","","1","1","7"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0"
"2020-03-27","1","4","0","2","0","0","9","5","0","40","0","0","1","1","1","0","0","5","0","1","6","1","1","0","0","4","1","7","2","0","0","7","0","0","0","0","1","3","1","6","0","7","0","","0","0","1"
"2020-03-28","-1","1","0","3","0","0","4","3","0","16","0","1","0","1","2","0","0","1","0","0","1","3","6","1","0","4","0","7","1","2","3","5","0","0","0","1","0","2","3","16","0","5","14","","0","1","12"
"2020-03-29","0","2","0","5","0","0","11","1","1","9","0","0","0","9","0","2","0","0","1","0","2","4","14","0","0","3","0","6","4","1","0","5","0","1","0","0","1","2","1","14","0","4","6","","0","0","5"
"2020-03-30","0","0","0","2","0","1","24","0","0","6","0","0","2","2","1","1","0","2","0","1","1","1","17","0","0","1","0","16","1","0","0","6","1","0","0","0","0","5","2","40","0","5","4","","2","0","7"
"2020-03-31","1","4","","8","2","0","17","1","1","19","","0","0","7","0","0","0","5","0","1","4","2","18","2","","5","0","6","1","0","0","13","0","0","","0","1","1","1","13","0","7","5","","0","0","13"
