"date","Illinois/Adams","Illinois/Alexander","Illinois/Bond","Illinois/Boone","Illinois/Brown","Illinois/Bureau","Illinois/Calhoun","Illinois/Carroll","Illinois/Cass","Illinois/Champaign","Illinois/Christian","Illinois/Clark","Illinois/Clay","Illinois/Clinton","Illinois/Coles","Illinois/Cook","Illinois/Crawford","Illinois/Cumberland","Illinois/De Witt","Illinois/DeKalb","Illinois/Douglas","Illinois/DuPage","Illinois/Edgar","Illinois/Edwards","Illinois/Effingham","Illinois/Fayette","Illinois/Ford","Illinois/Franklin","Illinois/Fulton","Illinois/Gallatin","Illinois/Greene","Illinois/Grundy","Illinois/Hamilton","Illinois/Hancock","Illinois/Hardin","Illinois/Henderson","Illinois/Henry","Illinois/Iroquois","Illinois/Jackson","Illinois/Jasper","Illinois/Jefferson","Illinois/Jersey","Illinois/Jo Daviess","Illinois/Johnson","Illinois/Kane","Illinois/Kankakee","Illinois/Kendall","Illinois/Knox","Illinois/LaSalle","Illinois/Lake","Illinois/Lawrence","Illinois/Lee","Illinois/Livingston","Illinois/Logan","Illinois/Macon","Illinois/Macoupin","Illinois/Madison","Illinois/Marion","Illinois/Marshall","Illinois/Mason","Illinois/Massac","Illinois/McDonough","Illinois/McHenry","Illinois/McLean","Illinois/Menard","Illinois/Mercer","Illinois/Monroe","Illinois/Montgomery","Illinois/Morgan","Illinois/Moultrie","Illinois/Ogle","Illinois/Out of IL","Illinois/Peoria","Illinois/Perry","Illinois/Piatt","Illinois/Pike","Illinois/Pope","Illinois/Pulaski","Illinois/Putnam","Illinois/Randolph","Illinois/Richland","Illinois/Rock Island","Illinois/Saline","Illinois/Sangamon","Illinois/Schuyler","Illinois/Scott","Illinois/Shelby","Illinois/St. Clair","Illinois/Stark","Illinois/Stephenson","Illinois/Tazewell","Illinois/Unassigned","Illinois/Union","Illinois/Vermilion","Illinois/Wabash","Illinois/Warren","Illinois/Washington","Illinois/Wayne","Illinois/White","Illinois/Whiteside","Illinois/Will","Illinois/Williamson","Illinois/Winnebago","Illinois/Woodford"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","117","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","61","0","0","0","0","0","0","0","0","3","0","1","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","272","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","-63","0","0","0","0","0","0","0","0","4","-1","0","1"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","224","0","0","0","0","1","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","2","2","0","0","28","0","0","0","1","0","0","1","0","1","0","0","0","5","0","0","0","1","0","0","0","0","","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","12","0","2","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","666","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-27","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","821","0","0","0","3","0","68","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","37","11","2","0","-3","91","0","0","1","-1","0","0","5","0","0","0","0","0","26","2","0","0","1","0","1","0","0","","2","0","0","0","0","0","0","0","0","1","0","2","0","0","0","8","0","1","2","","0","0","0","0","0","0","0","1","64","1","1","0"
"2020-03-28","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","374","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","15","10","3","0","3","11","0","0","0","0","1","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","1","-660","0","0","0","0","0","0","0","0","23","0","1","0"
"2020-03-29","1","0","1","0","0","0","0","0","0","10","5","0","0","1","0","832","0","0","0","4","0","72","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","10","6","4","1","1","59","0","0","0","0","1","0","2","0","0","0","0","0","5","4","1","0","0","1","2","0","0","","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","13","0","1","1","0","0","0","0","0","0","0","0","1","55","0","3","1"
"2020-03-30","0","0","0","0","0","0","0","0","0","2","6","1","0","0","0","282","1","0","0","-4","0","46","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","13","0","3","0","1","43","0","0","0","0","0","0","1","2","0","0","0","0","0","3","0","0","0","0","1","0","0","","0","0","0","0","0","0","0","2","0","3","1","3","0","0","0","5","0","0","0","5","0","0","0","0","0","0","0","1","41","0","1","-1"
"2020-03-31","0","","1","","","0","","1","","3","1","0","","1","","769","0","0","","5","2","36","","","","0","1","0","","","","1","","","","","0","1","1","","","","0","","15","9","1","0","0","46","","","1","","0","","3","0","0","","","","11","2","0","","0","1","0","","","","0","","","","","","","1","","3","0","2","","","","7","","0","0","5","","","","","0","","","1","5","0","2","0"
