"date","Lakshadweep/Lakshadweep"
"2021-01-18",""
"2021-01-19",""
"2021-01-20",""
"2021-01-21",""
"2021-01-22",""
"2021-01-23",""
"2021-01-25",""
"2021-01-26",""
"2021-01-29",""
"2021-01-30","16"
"2021-01-31","19"
"2021-02-01","7"
"2021-02-02","0"
"2021-02-03","5"
"2021-02-04","0"
"2021-02-05","2"
"2021-02-06","0"
"2021-02-07","0"
"2021-02-08","11"
"2021-02-09","16"
"2021-02-10","25"
"2021-02-11","1"
"2021-02-12","0"
"2021-02-13","15"
"2021-02-14","2"
"2021-02-15","7"
"2021-02-16","15"
"2021-02-17","6"
"2021-02-18","3"
"2021-02-21","12"
"2021-02-22","11"
"2021-02-23","21"
"2021-02-24","0"
"2021-02-25","7"
"2021-02-26","8"
"2021-02-27","8"
"2021-02-28","1"
"2021-03-01","7"
"2021-03-02","1"
"2021-03-03","16"
"2021-03-04","24"
"2021-03-05","2"
"2021-03-06","2"
"2021-03-07","14"
"2021-03-08","2"
"2021-03-09","12"
"2021-03-10","14"
