"date","New Hampshire/Belknap","New Hampshire/Carroll","New Hampshire/Cheshire","New Hampshire/Coos","New Hampshire/Grafton","New Hampshire/Hillsborough","New Hampshire/Merrimack","New Hampshire/Nashua","New Hampshire/Rockingham","New Hampshire/Strafford","New Hampshire/Sullivan","New Hampshire/Unassigned"
"2020-03-22","0","6","1","0","15","15","4","1","28","3","1",""
"2020-03-23","4","6","1","0","15","16","4","","28","3","1","23"
"2020-03-24","7","7","1","0","20","19","4","","38","4","1",""
"2020-03-25","7","7","1","0","21","20","4","","42","5","1",""
"2020-03-26","8","7","1","0","22","30","5","","56","7","1",""
"2020-03-27","8","7","2","0","23","31","7","","67","7","2","4"
"2020-03-28","9","8","2","0","26","43","11","","75","11","2",""
"2020-03-29","9","8","2","0","28","53","14","","86","12","2",""
"2020-03-30","9","10","3","0","29","69","18","","100","17","3","56"
"2020-03-31","12","12","4","","34","99","27","","137","28","4","0"
"2020-04-01","12","12","4","","34","109","27","","137","28","4","0"
"2020-04-02","13","14","8","","38","","33","","170","35","5","0"
"2020-04-03","13","14","8","","38","163","33","","170","35","5","0"
"2020-04-04","14","17","9","1","38","194","36","","190","36","5","0"
"2020-04-05","17","17","10","1","41","231","39","","213","43","5","4"
"2020-04-06","18","19","13","1","41","272","52","","246","46","6","1"
"2020-04-07","18","19","13","1","41","272","52","","246","46","6","1"
"2020-04-08","21","19","13","1","41","288","56","","255","46","6","1"
"2020-04-09","21","23","14","1","43","303","60","","268","48","6","32"
"2020-04-10","21","23","14","1","43","303","60","","268","48","6","32"
"2020-04-11","21","28","17","2","43","344","66","","305","53","6","0"
"2020-04-12","21","28","18","2","43","367","71","","314","58","6","1"
"2020-04-13","22","28","19","2","45","385","73","","345","59","6","1"
"2020-04-14","24","29","21","2","45","271","75","","378","69","7","1"
"2020-04-15","24","29","26","2","44","458","81","","399","69","7","0"
"2020-04-16","24","29","26","2","44","458","81","","399","69","7","0"
"2020-04-17","25","32","27","2","44","525","88","","449","84","9","2"
"2020-04-18","25","30","28","2","45","552","92","","466","92","10","0"
"2020-04-19","26","30","29","2","45","581","94","","479","94","10","0"
"2020-04-20","26","30","30","2","45","604","96","","489","111","10","4"
"2020-04-21","28","30","30","2","45","626","101","","493","111","10","14"
"2020-04-22","28","30","33","2","45","681","105","","519","118","10","17"
"2020-04-23","28","30","35","2","46","721","113","","551","123","10","11"
"2020-04-24","30","30","35","2","47","753","115","","568","126","11","3"
"2020-04-25","31","30","36","2","47","780","129","","593","129","11","9"
"2020-04-26","31","30","36","2","48","824","126","","619","132","11","5"
"2020-04-27","35","31","38","2","48","859","128","","643","132","11","11"
"2020-04-28","34","31","40","2","48","896","144","","664","133","11","7"
"2020-04-29","34","31","40","2","48","931","145","","670","139","11","7"
"2020-04-30","34","31","40","2","50","964","177","","692","141","12","3"
"2020-05-01","37","32","40","2","51","1012","185","","779","145","12","15"
"2020-05-02","38","32","40","2","51","1058","185","","828","149","12","34"
"2020-05-03","39","32","40","2","53","1109","195","","862","155","12","19"
"2020-05-04","40","33","40","2","53","1157","200","","878","158","12","15"
"2020-05-05","40","34","41","2","54","1181","206","","888","163","12","15"
"2020-05-06","41","34","41","2","54","1252","213","","903","168","13","20"
"2020-05-07","42","35","41","2","55","1308","220","","933","172","14","21"
"2020-05-08","42","36","43","2","56","1375","227","","949","175","14","28"
"2020-05-09","44","36","43","2","55","1404","234","","964","183","14","32"
"2020-05-10","46","37","43","2","56","1438","237","","978","192","14","28"
