"date","Montana/Beaverhead","Montana/Big Horn","Montana/Blaine","Montana/Broadwater","Montana/Carbon","Montana/Carter","Montana/Cascade","Montana/Chouteau","Montana/Custer","Montana/Daniels","Montana/Dawson","Montana/Deer Lodge","Montana/Fallon","Montana/Fergus","Montana/Flathead","Montana/Gallatin","Montana/Garfield","Montana/Glacier","Montana/Golden Valley","Montana/Granite","Montana/Hill","Montana/Jefferson","Montana/Judith Basin","Montana/Lake","Montana/Lewis and Clark","Montana/Liberty","Montana/Lincoln","Montana/Madison","Montana/McCone","Montana/Meagher","Montana/Mineral","Montana/Missoula","Montana/Musselshell","Montana/Park","Montana/Petroleum","Montana/Phillips","Montana/Pondera","Montana/Powder River","Montana/Powell","Montana/Prairie","Montana/Ravalli","Montana/Richland","Montana/Roosevelt","Montana/Rosebud","Montana/Sanders","Montana/Sheridan","Montana/Silver Bow","Montana/Stillwater","Montana/Sweet Grass","Montana/Teton","Montana/Toole","Montana/Treasure","Montana/Unassigned","Montana/Valley","Montana/Wheatland","Montana/Wibaux","Montana/Yellowstone"
"2020-03-22","0","0","0","1","0","0","3","0","0","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","0","0","0","1","0","0","0","6"
"2020-03-23","0","0","0","1","0","0","3","0","0","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","0","0","0","1","0","0","0","6"
"2020-03-24","0","0","0","1","0","0","3","0","0","0","0","0","0","0","4","16","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","0","0","0","6","0","0","0","7"
"2020-03-25","0","0","0","2","0","0","3","0","0","0","0","0","0","0","5","24","0","0","0","0","1","1","0","0","3","0","0","2","0","0","0","6","0","0","0","0","0","0","0","0","1","0","1","0","0","0","4","0","0","0","0","0","","0","0","0","12"
"2020-03-26","0","0","0","2","0","0","5","0","0","0","0","0","0","0","5","38","0","0","0","0","1","1","0","0","5","0","1","2","0","1","0","7","0","0","0","0","0","0","0","0","1","0","1","0","0","0","5","0","0","0","1","0","","0","0","0","14"
"2020-03-27","0","0","0","2","0","0","6","0","0","0","0","0","0","0","6","39","0","0","0","0","1","1","0","1","8","0","1","2","0","1","0","8","0","1","0","0","0","0","0","0","1","0","1","0","0","0","8","0","0","0","2","0","0","0","0","0","20"
"2020-03-28","0","0","0","2","0","0","7","0","0","0","0","0","0","0","6","46","0","0","0","0","1","2","0","1","9","0","3","3","0","1","0","9","0","1","0","0","0","0","0","0","1","0","1","0","0","0","8","0","0","0","5","0","","0","0","0","23"
"2020-03-29","0","0","0","3","0","0","7","0","0","0","0","1","0","0","7","58","0","0","0","0","1","2","0","2","10","0","3","4","0","1","0","11","0","2","0","0","0","0","0","0","1","0","1","0","0","0","9","0","0","0","5","0","","0","0","0","26"
"2020-03-30","0","0","0","3","0","0","7","0","0","0","0","2","0","0","9","67","0","0","0","0","1","2","0","3","11","0","4","4","0","1","0","12","0","2","0","0","0","0","0","0","1","0","1","0","0","0","9","0","0","0","6","0","","0","0","0","26"
"2020-03-31","","","","3","","","9","","","","","3","","","11","74","","","","","1","2","","3","12","","5","6","","1","","14","1","3","","","","","","","1","","1","","","","10","","","","7","","","","","","31"
