"date","Jammu and Kashmir/Anantnag","Jammu and Kashmir/Bandipora","Jammu and Kashmir/Baramulla","Jammu and Kashmir/Budgam","Jammu and Kashmir/Doda","Jammu and Kashmir/Ganderbal","Jammu and Kashmir/Jammu","Jammu and Kashmir/Kathua","Jammu and Kashmir/Kishtwar","Jammu and Kashmir/Kulgam","Jammu and Kashmir/Kupwara","Jammu and Kashmir/Pulwama","Jammu and Kashmir/Punch","Jammu and Kashmir/Rajouri","Jammu and Kashmir/Ramban","Jammu and Kashmir/Reasi","Jammu and Kashmir/Samba","Jammu and Kashmir/Shopiyan","Jammu and Kashmir/Srinagar","Jammu and Kashmir/Udham Singh Nagar","Jammu and Kashmir/Udhampur","Jammu and Kashmir/Unknown"
"2020-03-09","","","","","","","1","","","","","","","","","","","","","","",""
"2020-03-13","","","","","","","2","","","","","","","","","","","","","","",""
"2020-03-16","","","","","","","3","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","1","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","2","","",""
"2020-03-25","","4","","","","","","","","","","","","","","","","","3","","",""
"2020-03-26","","","","","","","","","","","","","","1","","","","","5","","",""
"2020-03-27","","","","","","","","","","","","","","3","","","","","9","","",""
"2020-03-28","","8","","","","","6","","","","","","","","","","","","15","","",""
"2020-03-29","","","1","2","","","","","","","","","","","","","","","17","","",""
"2020-03-30","","11","","","","","9","","","","","","","","","","","2","20","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","26","","",""
"2020-04-01","","18","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","26","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","29","","","","","10","","","","","","","","","","","","","","1",""
"2020-04-04","","38","6","","","","","","","","","","","","","","","","","","4",""
"2020-04-05","","","20","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","23","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","24","","","","16","","","","","","","","","","","","35","","",""
"2020-04-08","","","29","11","","","19","","","","","3","","","","","","4","46","","",""
"2020-04-09","","","","","","1","","","","","15","","","","","","","14","","","",""
"2020-04-10","","","","","","2","","","1","3","","","","","","","3","","","","19",""
"2020-04-11","","41","33","12","","","","","","","","","","","","","","","55","","",""
"2020-04-12","","","37","","","5","21","","","4","23","","","","","","4","","57","","",""
"2020-04-13","","50","40","","","","","","","5","","","","","","","","","69","","",""
"2020-04-14","","52","","","","","23","","","","","","","","","","","","73","","",""
"2020-04-15","","55","42","","","13","26","","","","25","","","","","","","","76","","20",""
"2020-04-16","","65","","13","","14","","","","","","","","","","","","","78","","",""
"2020-04-17","","74","","","","","","","","","27","","","","","","","17","","","",""
