"date","Wyoming/Albany","Wyoming/Big Horn","Wyoming/Campbell","Wyoming/Carbon","Wyoming/Converse","Wyoming/Crook","Wyoming/Fremont","Wyoming/Goshen","Wyoming/Hot Springs","Wyoming/Johnson","Wyoming/Laramie","Wyoming/Lincoln","Wyoming/Natrona","Wyoming/Niobrara","Wyoming/Park","Wyoming/Platte","Wyoming/Sheridan","Wyoming/Sublette","Wyoming/Sweetwater","Wyoming/Teton","Wyoming/Uinta","Wyoming/Unassigned","Wyoming/Washakie","Wyoming/Weston","Wyoming/unassigned"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0",""
"2020-03-24","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","","0","0",""
"2020-03-25","1","0","0","1","0","0","3","0","0","0","4","0","2","0","0","0","0","0","1","3","0","","0","0",""
"2020-03-26","0","0","0","0","0","0","1","0","0","1","3","0","2","0","0","0","0","0","0","2","0","","0","0",""
"2020-03-27","0","0","0","0","0","0","3","1","0","3","3","0","2","0","0","0","1","0","0","3","0","","1","0",""
"2020-03-28","0","0","0","0","1","0","3","0","0","1","2","0","0","0","0","0","1","1","0","3","0","","0","0",""
"2020-03-29","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","0","0",""
"2020-03-30","0","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","2","0","0","2","0","","0","0",""
"2020-03-31","0","","1","0","0","","1","0","","2","2","","2","","0","","2","0","1","4","","","0","",""
"2020-04-01","2","","2","0","1","","0","0","","0","7","","3","","0","","0","0","0","6","","","0","",""
"2020-04-02","0","","2","0","0","","1","0","","1","7","","4","","0","","0","0","1","3","1","","0","",""
"2020-04-03","1","","0","0","1","","1","1","","0","1","1","2","","0","","0","0","0","3","0","","1","","0"
"2020-04-04","0","","1","1","0","","9","0","","0","5","0","2","","0","","1","0","1","4","1","","0","","0"
"2020-04-05","0","","0","0","0","","1","0","","0","1","1","0","","0","","1","0","1","3","0","","2","","0"
"2020-04-06","0","","2","0","1","1","1","1","","0","1","2","2","","0","","0","0","0","1","1","","0","","0"
"2020-04-07","0","","0","0","0","0","0","0","","0","3","0","1","","0","1","0","0","0","1","0","","0","",""
"2020-04-08","0","","0","0","0","0","0","0","","0","1","0","0","","0","-1","0","0","1","3","0","0","1","",""
"2020-04-09","0","","0","0","0","2","0","0","","0","5","0","1","","0","0","0","0","0","1","0","0","0","",""
"2020-04-10","0","","0","0","0","0","0","0","","1","1","0","0","1","0","0","0","0","0","5","1","0","0","",""
"2020-04-11","1","","2","0","2","0","1","0","1","1","4","1","5","0","0","0","0","0","1","3","0","0","0","",""
"2020-04-12","0","1","0","0","2","0","1","0","0","1","0","0","1","0","0","0","0","0","0","3","0","0","0","",""
"2020-04-13","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","",""
"2020-04-14","0","0","2","0","0","0","1","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","",""
"2020-04-15","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","",""
"2020-04-16","0","0","0","0","0","0","1","0","0","0","3","0","3","0","0","0","0","0","0","1","0","0","1","",""
"2020-04-17","1","0","0","0","0","0","2","0","0","0","2","0","1","0","0","0","0","0","0","2","2","0","-1","",""
"2020-04-18","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","",""
"2020-04-19","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-04-20","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-04-21","0","2","5","0","6","1","7","1","2","4","37","4","10","1","0","0","4","2","6","30","1","0","3","",""
"2020-04-22","0","-1","0","0","1","0","-1","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","",""
"2020-04-23","0","0","0","0","0","0","2","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","",""
"2020-04-24","0","0","2","0","0","0","13","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","",""
"2020-04-25","0","0","3","0","0","0","11","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-04-26","0","0","0","2","0","0","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-04-27","1","0","0","-2","1","0","15","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","",""
"2020-04-28","1","0","0","0","4","0","3","0","0","0","6","0","0","0","0","0","0","0","0","1","1","0","0","",""
