"date","Massachusetts/Barnstable","Massachusetts/Berkshire","Massachusetts/Bristol","Massachusetts/Brockton","Massachusetts/Dukes","Massachusetts/Dukes and Nantucket","Massachusetts/Essex","Massachusetts/Franklin","Massachusetts/Hampden","Massachusetts/Hampshire","Massachusetts/Middlesex","Massachusetts/Nantucket","Massachusetts/Norfolk","Massachusetts/Plymouth","Massachusetts/Suffolk","Massachusetts/Unassigned","Massachusetts/Worcester"
"2020-03-22","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.00 %","   .00 %"," 20.00 %","   .00 %"," 20.00 %"," 32.38 %"," 10.00 %"
"2020-03-27"," 20.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 65.00 %","   .00 %"," 60.00 %","   .00 %"," 20.00 %"," 32.38 %"," 10.00 %"
"2020-03-28"," 20.00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 10.00 %"," 20.00 %"," 60.00 %","   .00 %"," 65.00 %","   .00 %"," 66.67 %","   .00 %"," 30.00 %","  5.71 %"," 23.33 %"
"2020-03-29"," 20.00 %"," 10.00 %","   .00 %","","   .00 %","   .00 %"," 16.67 %"," 20.00 %"," 60.00 %","   .00 %"," 69.00 %","   .00 %"," 69.17 %","   .00 %"," 30.00 %","   .00 %"," 23.33 %"
"2020-03-30"," 20.00 %"," 10.00 %"," 20.00 %","","   .00 %","   .00 %"," 26.67 %"," 20.00 %"," 60.00 %","   .00 %"," 75.67 %","   .00 %"," 71.39 %","   .00 %"," 43.33 %","   .00 %"," 23.33 %"
"2020-03-31"," 20.00 %"," 16.67 %"," 20.00 %","","","   .00 %"," 46.67 %"," 40.00 %"," 95.00 %","   .00 %"," 38.17 %",""," 55.39 %","   .00 %"," 27.33 %","   .00 %"," 21.33 %"
"2020-04-01"," 10.00 %"," 16.67 %"," 30.00 %","","","   .00 %"," 55.00 %"," 35.00 %"," ##.## %","   .00 %"," 36.70 %",""," 20.39 %"," 30.00 %"," 50.67 %","   .00 %"," 27.05 %"
"2020-04-02"," 10.00 %"," 21.67 %"," 30.00 %","","","   .00 %"," 46.18 %"," 37.86 %"," 47.84 %"," 20.00 %"," 44.70 %",""," 21.72 %"," 34.00 %"," 49.90 %","   .00 %"," 22.60 %"
"2020-04-03"," 30.00 %"," 11.67 %"," 36.67 %","","","   .00 %"," 45.07 %"," 45.36 %"," 56.26 %"," 30.00 %"," 47.84 %",""," 22.08 %"," 37.33 %"," 52.00 %","   .00 %"," 24.14 %"
"2020-04-04"," 30.00 %"," 23.67 %"," 21.67 %","","","   .00 %"," 36.80 %"," 47.18 %"," 61.45 %"," 30.00 %"," 41.17 %",""," 20.69 %"," 40.19 %"," 43.43 %","   .00 %"," 28.43 %"
"2020-04-05"," 30.00 %"," 24.50 %"," 33.67 %","","","   .00 %"," 18.40 %"," 27.18 %"," 26.45 %"," 30.00 %"," 20.25 %",""," 17.49 %"," 45.19 %"," 40.20 %","   .00 %"," 20.43 %"
"2020-04-06"," 23.33 %"," 24.50 %"," 23.67 %","","","   .00 %"," 11.55 %"," 13.84 %"," 19.71 %"," 30.00 %"," 19.65 %",""," 14.80 %"," 25.19 %"," 19.83 %","  2.22 %"," 15.89 %"
"2020-04-07"," 31.90 %"," 28.59 %"," 43.67 %","","","   .00 %"," 14.51 %"," 17.14 %"," 24.91 %"," 10.00 %"," 20.58 %",""," 10.94 %"," 35.86 %"," 16.41 %","  4.22 %"," 12.56 %"
"2020-04-08"," 13.90 %"," 31.09 %"," 45.75 %","","","   .00 %"," 17.53 %"," 14.34 %"," 19.03 %","   .00 %"," 16.97 %",""," 11.51 %"," 37.91 %"," 18.30 %","  7.86 %"," 16.24 %"
"2020-04-09"," 13.90 %"," 19.09 %"," 40.75 %","","","   .00 %"," 15.79 %"," 12.53 %"," 13.85 %","   .00 %"," 16.97 %",""," 10.67 %"," 35.05 %"," 13.54 %"," ##.## %"," 11.95 %"
"2020-04-10"," 13.90 %"," 11.59 %"," 28.75 %","","","   .00 %"," 14.19 %"," 12.53 %"," 13.85 %","   .00 %"," 15.39 %","","  9.87 %"," 30.05 %"," 12.77 %"," ##.## %"," 11.95 %"
"2020-04-11"," 17.84 %"," 13.81 %"," 42.66 %","","","   .00 %"," 29.11 %"," 12.76 %"," 21.17 %"," 13.33 %"," 26.72 %",""," 26.10 %"," 30.96 %"," 22.72 %"," ##.## %"," 19.05 %"
"2020-04-12"," 10.61 %","  4.72 %"," 24.71 %","","","   .00 %"," 27.17 %","  8.35 %"," 14.40 %"," 17.33 %"," 19.53 %",""," 25.00 %"," 17.86 %"," 18.69 %"," ##.## %"," 17.40 %"
"2020-04-13","  8.61 %","  2.22 %"," 15.96 %","","","   .00 %"," 18.60 %","  3.64 %"," 11.85 %"," 17.33 %"," 16.00 %",""," 21.57 %"," 12.48 %"," 14.69 %"," ##.## %"," 12.18 %"
"2020-04-14","  8.61 %","  2.22 %"," 15.96 %","","","   .00 %"," 18.60 %","  3.64 %"," 11.85 %"," 17.33 %"," 16.00 %",""," 21.57 %"," 12.48 %"," 14.69 %"," ##.## %"," 12.18 %"
"2020-04-15"," 11.11 %","  3.22 %"," 22.01 %","","","   .00 %"," 26.32 %","  3.64 %"," 21.46 %"," 17.33 %"," 25.67 %",""," 33.88 %"," 24.84 %"," 28.41 %"," ##.## %"," 22.38 %"
"2020-04-16","  3.83 %","  1.00 %","  8.10 %","","","   .00 %","  9.92 %","  1.74 %"," 11.78 %","  4.00 %"," 11.42 %",""," 15.35 %"," 13.93 %"," 15.49 %"," ##.## %"," 14.11 %"
"2020-04-17","  2.50 %","  3.86 %","  8.55 %","","","   .00 %"," 10.44 %","   .00 %"," 10.93 %","   .00 %"," 13.01 %",""," 15.85 %"," 13.26 %"," 16.34 %"," ##.## %"," 12.91 %"
"2020-04-18","  4.72 %","  3.86 %"," 12.36 %","","","   .00 %"," 12.83 %","   .00 %"," 13.42 %","  3.33 %"," 15.80 %",""," 18.39 %"," 15.84 %"," 19.27 %","-10.59 %"," 14.81 %"
"2020-04-19","  5.72 %","  6.36 %"," 15.56 %","","","   .00 %"," 16.31 %","   .80 %"," 16.73 %","  3.33 %"," 21.11 %",""," 23.41 %"," 20.80 %"," 24.37 %"," -9.54 %"," 19.59 %"
"2020-04-20","  3.22 %","  5.36 %","  9.51 %","","","   .00 %","  8.59 %","   .80 %","  7.12 %","  3.33 %"," 11.45 %",""," 11.11 %","  8.43 %"," 10.65 %","  7.66 %","  9.39 %"
"2020-04-21","  4.17 %","  6.84 %"," 11.58 %","","","   .00 %"," 12.03 %","  3.11 %"," 10.25 %"," 11.90 %"," 14.46 %",""," 14.88 %","  9.96 %"," 14.81 %"," -4.34 %"," 12.72 %"
