"date","Jharkhand/Bokara","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-04-02","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-04-05","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-04-09",""," ##.## %","","","","","","","","","","","","","","","","","",""," ##.## %","","","","",""
"2020-04-10",""," 20.00 %","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","",""," ##.## %","","","   .00 %","","","","",""," 16.67 %","","","","",""
"2020-04-12",""," 33.33 %","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13",""," 12.50 %","","","","","","","   .00 %","","","","","","","","","","",""," 42.86 %","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","",""," 20.00 %","","","","   .00 %",""
"2020-04-15","","","","","","","","","","","","","","","","","","","","","  8.33 %","","","","",""
"2020-04-16","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","","","","",""," 23.08 %","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","  6.25 %","","","","",""
"2020-04-19","","","",""," ##.## %","","","","","","","","","","","","","","",""," 35.29 %","","",""," ##.## %",""
"2020-04-20",""," 11.11 %","","   .00 %","","","","","","",""," 50.00 %","","","","","","","","","  4.35 %","","","","",""
"2020-04-23","","","","","","","","   .00 %","","","","","","","","","","","",""," 25.00 %","","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","",""," 20.00 %","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","   .00 %",""," 13.89 %","","","","",""
"2020-04-26","","","","","","",""," ##.## %","","","","","","","","","","","",""," 31.71 %","","","","",""
"2020-04-27","","","","","","","","","","","","","   .00 %","","","","","","",""," 37.04 %","","","","",""
"2020-04-28","","","","","   .00 %","","","","","","","","","","","","","","","","  2.70 %","","","","",""
"2020-04-29","","","","","","","","","","","",""," ##.## %","","","","","","","","  1.32 %","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","","  3.90 %","","","","",""
"2020-05-01","","   .00 %","","","","","","","","   .00 %","","","","","","","","","","","  2.50 %","","","","",""
"2020-05-02","","",""," ##.## %","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-05-03","","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-05-05","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","  9.76 %","","","","",""
"2020-05-06","","","","","","","","","","","","","","","","","","","","","  2.22 %","","","","",""
"2020-05-07","","   .00 %","","","","","","","   .00 %","","","","","","","","",""," ##.## %","","","","","","",""
"2020-05-08","","","","","   .00 %","",""," ##.## %","","","","","",""," ##.## %","","","","","","","","","","",""
"2020-05-09","","","",""," ##.## %","","","   .00 %","","","","","","","","","","","   .00 %","","   .00 %","","","","   .00 %",""
"2020-05-10","","","","","","","","","","",""," 33.33 %","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","",""," ##.## %","","","","","","","","","","","","  1.09 %","","","","",""
"2020-05-12","","","","","","","   .00 %",""," 75.00 %","",""," ##.## %","","","","","","","","","  1.08 %","","","","",""
"2020-05-13","","","","","",""," ##.## %","   .00 %","-14.29 %","","","","",""," 66.67 %","   .00 %","","","","","  2.13 %","","","","",""
"2020-05-14","","","","","",""," 50.00 %",""," 66.67 %","",""," 80.00 %","",""," 20.00 %","","",""," 87.50 %","","  5.21 %","","","","",""
"2020-05-15","","","",""," 25.00 %","",""," 17.39 %","","",""," 16.67 %","","","","","","","","","   .00 %","","","","",""
"2020-05-16","","","","   .00 %","","   .00 %"," 33.33 %","  3.70 %","","",""," 14.29 %","","","","","","","","","   .99 %","","","","",""
"2020-05-17","","",""," 25.00 %","","","","","","","","  4.17 %","","","","","   .00 %","","","   .00 %","   .98 %","","","","",""
"2020-05-18","","","",""," 20.00 %",""," 25.00 %","  3.57 %","","   .00 %","","  4.00 %","   .00 %","","","","","","   .00 %","","   .00 %","","","","","   .00 %"
"2020-05-19","","","","","",""," 20.00 %","","","","   .00 %"," 23.08 %","",""," 50.00 %"," ##.## %"," ##.## %","",""," 50.00 %","   .97 %","","","   .00 %"," 50.00 %",""
"2020-05-20","","","   .00 %",""," 16.67 %",""," ##.## %"," 62.07 %"," 50.00 %",""," 50.00 %","  3.12 %","",""," 55.56 %","","","","","","   .00 %","",""," ##.## %","",""
"2020-05-21","","","","","","","  6.67 %","","  6.67 %","","","","",""," 14.29 %","","","","   .00 %","","  6.73 %","",""," ##.## %","",""
"2020-05-22",""," 50.00 %","","","","","  6.25 %","","","",""," 24.24 %","","","","","","",""," ##.## %","","","","",""," ##.## %"
"2020-05-23","",""," ##.## %","   .00 %","",""," 17.65 %","","",""," ##.## %","","",""," 62.50 %","","","","","","  1.80 %","","",""," ##.## %",""
"2020-05-24","","","","","",""," 20.00 %","  6.38 %","   .00 %","","","  9.76 %","",""," 11.54 %","","","",""," 50.00 %","   .88 %","","","",""," 50.00 %"
"2020-05-25",""," 13.33 %","","","","","  4.17 %","  4.00 %","","","","","","","","","","",""," 11.11 %","  8.77 %","","","","",""
"2020-05-26","","","-50.00 %",""," 57.14 %",""," 12.00 %","  5.77 %","",""," 10.00 %","  6.67 %","","   .00 %","  6.90 %"," ##.## %","","   .00 %"," 13.33 %"," 10.00 %","   .81 %","","",""," 42.86 %"," ##.## %"
