"date","New Jersey/Atlantic","New Jersey/Bergen","New Jersey/Burlington","New Jersey/Camden","New Jersey/Cape May","New Jersey/Cumberland","New Jersey/Essex","New Jersey/Gloucester","New Jersey/Hudson","New Jersey/Hunterdon","New Jersey/Mercer","New Jersey/Middlesex","New Jersey/Monmouth","New Jersey/Morris","New Jersey/Ocean","New Jersey/Passaic","New Jersey/Salem","New Jersey/Somerset","New Jersey/Sussex","New Jersey/Unassigned","New Jersey/Union","New Jersey/Warren"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0"
"2020-03-27","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","7","0","0","0","19","0","0"
"2020-03-28","0","7","0","0","0","0","3","1","2","0","0","4","3","2","3","0","0","3","0","4","0","0"
"2020-03-29","0","10","2","0","0","0","6","0","2","0","0","8","2","5","2","3","0","2","1","-30","7","1"
"2020-03-30","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","35","0","0"
"2020-03-31","0","-19","-2","2","0","0","-9","-1","-5","0","0","-12","-6","-7","-5","-9","0","-5","-1","156","-7","-1"
"2020-04-01","0","71","5","0","0","0","65","2","27","0","3","27","22","24","22","14","1","14","6","-247","29","3"
"2020-04-02","1","45","3","3","0","0","30","0","15","0","1","21","14","15","15","7","0","2","1","4","5","0"
"2020-04-03","0","12","1","1","0","0","19","1","15","0","1","8","10","3","7","12","1","6","1","0","11","0"
"2020-04-04","0","47","1","1","0","1","37","0","19","1","8","20","6","8","11","4","0","1","1","10","21","3"
"2020-04-05","0","10","1","0","2","0","17","0","9","1","3","4","4","4","6","4","0","2","0","-1","5","0"
"2020-04-06","0","11","0","0","1","0","14","0","5","0","3","7","4","5","9","11","0","5","2","1","7","1"
"2020-04-07","3","63","2","4","-1","0","46","2","11","0","5","13","9","27","14","9","1","9","4","-9","17","0"
"2020-04-08","0","51","4","10","1","0","44","2","19","0","4","39","15","15","16","9","0","6","6","-1","30","2"
"2020-04-09","0","31","4","1","0","1","45","1","10","2","8","13","12","15","18","11","0","13","0","0","20","0"
"2020-04-10","2","45","1","6","2","0","31","0","31","3","3","16","9","18","2","19","0","10","5","-2","16","6"
"2020-04-11","1","45","0","0","0","0","60","1","20","4","10","9","8","17","11","18","0","9","1","0","34","3"
"2020-04-12","1","18","1","3","4","0","16","0","43","0","1","16","8","10","6","12","1","1","8","0","14","4"
"2020-04-13","0","29","1","3","0","0","5","0","10","0","3","11","4","0","3","5","0","6","3","0","8","2"
"2020-04-14","3","68","4","6","1","0","102","2","41","0","18","12","18","30","8","20","0","6","1","0","21","1"
"2020-04-15","2","58","17","8","0","0","55","3","35","3","5","32","22","20","17","26","0","10","2","0","31","5"
"2020-04-16","0","60","7","11","0","0","52","4","53","1","11","30","23","4","19","29","0","20","2","1","32","3"
"2020-04-17","4","46","2","4","4","0","42","4","55","1","14","31","16","16","16","10","0","14","11","0","29","3"
"2020-04-18","2","27","3","9","0","1","48","1","14","1","9","4","15","23","11","22","0","11","1","-1","26","3"
"2020-04-19","0","26","1","1","0","0","8","1","178","1","3","16","5","2","5","7","0","12","7","-2","16","5"
"2020-04-20","0","20","3","7","1","0","11","1","0","0","9","16","4","12","5","13","0","12","2","0","15","3"
"2020-04-21","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","233","0","0"
"2020-04-22","5","89","7","13","1","1","137","4","21","3","23","24","21","40","48","64","2","13","12","-233","94","8"
"2020-04-23","6","31","8","10","0","0","44","1","9","1","18","27","9","15","16","23","0","13","6","0","34","5"
"2020-04-24","-1","27","5","2","0","0","43","0","40","0","15","17","13","16","15","33","0","2","2","0","27","1"
"2020-04-25","0","20","7","12","2","1","44","0","0","1","5","18","14","7","16","33","0","21","7","0","21","2"
"2020-04-26","0","1","6","3","0","0","4","1","-45","0","5","11","4","4","5","10","0","4","1","0","8","2"
"2020-04-27","1","5","4","1","0","2","5","2","12","0","6","13","11","4","8","12","1","4","1","0","12","2"
"2020-04-28","5","42","8","2","2","2","62","5","49","1","18","60","3","22","12","37","1","15","4","0","44","4"
"2020-04-29","2","55","11","12","1","0","49","2","36","0","8","16","12","10","25","41","1","10","2","0","26","10"
"2020-04-30","4","79","13","11","1","2","47","6","40","5","11","40","24","26","30","57","1","18","4","0","37","1"
"2020-05-01","4","51","14","8","0","1","54","2","21","2","8","20","14","17","23","26","1","12","7","0","24","1"
"2020-05-02","3","15","2","6","1","3","25","2","15","4","13","27","17","10","6","25","1","7","4","0","17","1"
"2020-05-03","1","8","3","2","1","1","17","1","11","2","3","21","10","9","14","8","1","6","1","0","7","2"
"2020-05-04","2","5","0","0","0","2","10","0","0","0","1","3","3","0","7","1","1","3","1","0","-1","1"
"2020-05-05","0","46","15","17","2","4","27","10","25","1","24","25","13","25","22","30","1","8","4","0","31","4"
"2020-05-06","3","28","13","9","2","2","30","2","33","1","18","39","19","17","14","27","2","9","2","0","32","3"
"2020-05-07","8","30","8","4","3","0","26","3","32","4","15","31","11","12","17","13","1","5","1","0","29","5"
"2020-05-08","6","10","5","6","0","3","27","6","10","1","9","11","1","3","16","12","0","8","2","0","15","2"
"2020-05-09","4","19","4","18","1","6","12","7","9","2","8","11","10","5","6","19","0","3","2","0","8","2"
"2020-05-10","0","7","4","8","0","2","9","2","15","0","4","34","4","5","18","10","0","2","0","0","15","1"
"2020-05-11","5","3","2","2","0","4","8","2","27","-1","6","1","2","2","7","3","0","2","1","0","8","0"
"2020-05-12","2","30","8","9","3","3","17","7","4","0","9","7","15","5","15","18","0","4","7","0","24","4"
"2020-05-13","9","21","6","10","2","0","34","2","7","2","11","18","6","8","9","20","0","1","2","0","9","6"
"2020-05-14","11","14","14","10","2","5","14","6","25","1","14","22","14","8","24","17","0","8","0","0","22","1"
"2020-05-15","8","20","10","6","1","0","24","8","10","1","12","24","15","11","15","14","0","11","0","0","9","3"
"2020-05-16","3","7","1","6","1","1","14","7","3","0","10","7","8","11","7","15","1","4","0","0","7","0"
"2020-05-17","2","5","0","4","0","2","1","3","12","3","11","12","5","0","9","7","0","12","1","0","11","2"
"2020-05-18","0","5","6","3","0","2","15","1","11","0","1","4","5","8","7","1","1","0","0","0","5","1"
"2020-05-19","9","14","2","4","1","3","16","8","14","1","14","15","7","3","10","3","1","7","1","0","15","0"
"2020-05-20","5","26","2","7","0","1","5","2","24","2","9","10","11","9","13","13","2","2","1","0","17","1"
"2020-05-21","2","8","0","4","2","3","8","2","15","0","7","8","6","2","5","9","1","3","0","0","11","1"
"2020-05-22","2","7","12","9","2","1","6","3","13","0","5","14","6","4","17","17","2","5","1","0","13","0"
"2020-05-23","13","6","5","4","2","1","4","2","4","2","4","7","8","3","8","7","1","5","4","0","4","3"
"2020-05-24","1","4","4","4","0","1","11","0","1","0","2","13","5","2","0","2","1","2","0","0","3","0"
"2020-05-25","0","0","1","1","0","0","-2","4","-2","0","1","0","0","1","4","1","1","0","0","0","-1","0"
"2020-05-26","5","3","2","-1","0","0","10","0","6","0","2","4","3","2","2","1","0","0","0","0","6","2"
"2020-05-27","6","19","2","6","0","2","16","2","15","0","6","5","16","5","12","7","3","9","1","0","12","1"
"2020-05-28","1","6","2","5","0","0","12","3","3","1","4","4","3","5","7","4","2","2","1","0","5","0"
"2020-05-29","2","14","9","9","0","4","11","4","7","0","4","4","9","5","10","14","0","1","0","0","13","2"
"2020-05-30","1","6","4","7","1","3","10","0","5","2","4","17","9","3","5","8","3","6","2","0","7","0"
"2020-05-31","0","6","1","4","0","1","7","0","10","0","2","5","1","2","13","3","1","2","0","0","6","0"
"2020-06-01","0","1","3","0","0","2","3","1","0","0","3","2","2","1","1","1","3","0","0","0","1","1"
"2020-06-02","3","4","3","1","1","3","5","0","5","0","2","1","9","1","3","2","1","0","0","0","4","0"
"2020-06-03","1","11","5","7","0","1","15","1","4","1","8","7","11","2","12","9","2","4","0","0","8","0"
"2020-06-04","1","8","5","6","0","0","7","1","7","0","7","11","8","3","8","14","2","0","0","0","2","0"
"2020-06-05","3","8","4","5","0","7","8","1","6","1","7","10","3","3","2","3","3","1","0","0","4","0"
"2020-06-06","0","1","3","7","0","4","-1","1","5","1","1","7","6","1","2","12","3","1","0","0","3","0"
