"date","North Dakota/Adams","North Dakota/Barnes","North Dakota/Benson","North Dakota/Billings","North Dakota/Bottineau","North Dakota/Bowman","North Dakota/Burke","North Dakota/Burleigh","North Dakota/Cass","North Dakota/Cavalier","North Dakota/Dickey","North Dakota/Divide","North Dakota/Dunn","North Dakota/Eddy","North Dakota/Emmons","North Dakota/Foster","North Dakota/Golden Valley","North Dakota/Grand Forks","North Dakota/Grant","North Dakota/Griggs","North Dakota/Hettinger","North Dakota/Kidder","North Dakota/LaMoure","North Dakota/Logan","North Dakota/McHenry","North Dakota/McIntosh","North Dakota/McKenzie","North Dakota/McLean","North Dakota/Mercer","North Dakota/Morton","North Dakota/Mountrail","North Dakota/Nelson","North Dakota/Oliver","North Dakota/Pembina","North Dakota/Pierce","North Dakota/Ramsey","North Dakota/Ransom","North Dakota/Renville","North Dakota/Richland","North Dakota/Rolette","North Dakota/Sargent","North Dakota/Sheridan","North Dakota/Sioux","North Dakota/Slope","North Dakota/Stark","North Dakota/Steele","North Dakota/Stutsman","North Dakota/Towner","North Dakota/Traill","North Dakota/Unassigned","North Dakota/Walsh","North Dakota/Ward","North Dakota/Wells","North Dakota/Williams"
"2020-03-22","0","0","0","0","0","0","0","15","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","3","0","0"
"2020-03-23","0","0","0","0","0","0","0","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","3","0","0"
"2020-03-24","0","0","0","0","0","0","0","18","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","3","0","0"
"2020-03-25","0","0","0","0","0","0","0","18","6","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","2","3","0","0","0","0","0","0","0","0","2","0","0","0","0","","1","3","0","0"
"2020-03-26","0","0","0","0","0","0","0","22","6","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","8","0","0","0","0","2","3","0","0","0","0","0","0","0","0","3","0","0","0","0","","1","3","0","0"
"2020-03-27","0","0","0","0","0","0","0","25","11","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","11","0","0","0","0","2","3","0","0","0","0","0","0","0","0","7","0","0","0","0","","1","4","0","0"
"2020-03-28","0","2","0","0","0","0","0","28","18","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","2","1","13","2","0","0","0","2","3","0","0","0","0","0","0","1","0","9","0","0","0","0","","1","7","0","0"
"2020-03-29","0","2","0","0","0","0","0","28","20","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","2","1","14","2","0","0","0","2","3","0","0","0","0","0","0","1","0","10","0","0","0","0","","1","7","0","0"
"2020-03-30","0","2","0","0","0","0","0","29","24","0","0","1","1","0","0","1","0","2","0","0","0","0","0","0","1","1","0","2","0","14","4","0","1","0","2","3","0","0","0","0","0","0","1","0","10","0","0","0","0","0","1","9","0","0"
"2020-03-31","","2","","","","","","29","32","","","1","1","","","1","","2","1","","","","","","1","1","","2","0","14","5","","1","","2","3","","","","","","","1","","11","","","","","","1","9","","2"
"2020-04-01","","2","","","","","2","32","34","","","1","1","","","1","","5","1","","","","","","1","1","1","2","0","14","6","","1","","2","3","","","","1","","","1","","14","","","","","","1","12","","3"
"2020-04-02","","2","","","","","2","32","43","","","1","1","","","1","","5","1","","","","","","1","1","2","2","0","14","8","","1","","2","3","","","","0","","","1","","18","","","","","0","1","13","","4"
"2020-04-03","","2","","","","","2","32","46","","","1","1","1","","1","","6","1","","","","","","1","1","2","2","","16","11","","1","","2","3","","","","","","","1","1","19","","","","","0","1","14","","5"
"2020-04-04","","2","","","","","2","34","48","","","1","1","1","","1","","10","1","","","","","","1","1","2","2","","16","13","","1","","2","3","","","","","","","1","1","22","","","","","0","1","14","","5"
"2020-04-05","","2","","","","","2","37","54","","","1","1","1","1","1","","11","1","","","","","","1","1","3","2","0","16","19","","1","","2","3","","","","0","","","1","1","25","","","","","0","1","14","","5"
"2020-04-06","","2","","","","","2","38","65","","","1","1","1","1","1","","11","1","","","","","","1","1","3","2","0","17","19","","1","","2","3","","","","0","","","1","2","25","","","","","0","3","16","","5"
"2020-04-07","","2","","","","1","2","39","70","","","1","1","1","1","1","","11","1","","","","","","1","1","5","2","0","18","20","","1","","2","3","","","","0","","","1","3","25","","","","","0","3","16","","5"
"2020-04-08","","2","","","","1","2","42","77","","","1","1","1","1","1","","11","1","","","","","","1","1","5","2","0","18","20","","1","","2","3","","","","0","","","1","3","28","","1","","","0","3","16","","5"
