"date","Haryana/Ambala","Haryana/Bhiwani","Haryana/Charkhi Dadri","Haryana/Faridabad","Haryana/Fatehabad","Haryana/Foreign Evacuees","Haryana/Gurugram","Haryana/Hisar","Haryana/Italians","Haryana/Jhajjar","Haryana/Jind","Haryana/Kaithal","Haryana/Karnal","Haryana/Kurukshetra","Haryana/Mahendragarh","Haryana/Nuh","Haryana/Palwal","Haryana/Panchkula","Haryana/Panipat","Haryana/Rewari","Haryana/Rohtak","Haryana/Sirsa","Haryana/Sonipat","Haryana/Yamunanagar"
"2020-03-17","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","",""," ##.## %","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","   .00 %","","","","","   .00 %",""
"2020-03-23","","","","","",""," 50.00 %","","","","","","","","","","   .00 %","","","","","","",""
"2020-03-24","","","","-50.00 %","","","","","","","","","","","","","","","-50.00 %","","","","",""
"2020-03-25","","","","","","","-83.33 %","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","   .00 %","","","","",""
"2020-03-28","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","",""," ##.## %","","","","   .00 %","","","","","","","","","","-50.00 %","","","","   .00 %","",""
"2020-04-02"," ##.## %","","","","","","","","","","","","","","",""," ##.## %","","","","   .00 %","","",""
"2020-04-03","","","","","",""," ##.## %","","","","","","   .00 %","","","   .00 %","","","","","","","",""
"2020-04-04","","   .00 %",""," ##.## %","","","-60.00 %","","","","","   .00 %","","","",""," ##.## %","","","","","","",""
"2020-04-05","","","","","","","-50.00 %","","","","","","","",""," 66.67 %","","","","","","","",""
"2020-04-06","","","   .00 %","","","","","","","","",""," ##.## %","",""," 20.00 %","-30.77 %","","","","","","",""
"2020-04-07","","","","-12.50 %","",""," ##.## %","","","","   .00 %","","","",""," ##.## %","","","","","","","",""
"2020-04-08","","","","   .00 %","   .00 %",""," ##.## %","","","","","","","","","-95.65 %","-77.78 %","","","","","","-50.00 %",""
"2020-04-09","","","","","","","","","","","","   .00 %","","","","",""," ##.## %","","","","","",""
"2020-04-10"," ##.## %","","","","","","","","","","","","","","","","","-50.00 %","","","","","   .00 %",""
"2020-04-11","","","","-85.71 %","","","","   .00 %","","","","","","","","","-50.00 %","","","","","","",""
"2020-04-12","","",""," ##.## %","","","","","","","   .00 %","","-75.00 %","   .00 %",""," ##.## %","","","","","","","","   .00 %"
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","-66.67 %","",""
"2020-04-14","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","-57.14 %","","   .00 %","   .00 %","","","","   .00 %",""
"2020-04-16","","","","","","","","","","","","","","","","-33.33 %","   .00 %"," ##.## %","","","","","",""
"2020-04-17","","","","","","","","","","","","","","",""," ##.## %","","-75.00 %","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","-83.33 %"," ##.## %","-50.00 %","","","",""," ##.## %",""
"2020-04-19","   .00 %","-50.00 %",""," ##.## %","","","-66.67 %","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-04-21","","","","-88.89 %","","","-75.00 %","","","","","","","","","","","","","","","","-33.33 %",""
"2020-04-22","-75.00 %","","","","",""," ##.## %","","","","","","","","","","","","","","",""," ##.## %",""
"2020-04-23","","","","","","","   .00 %","","","","","","","","","","","","",""," ##.## %","","",""
"2020-04-24","","","","","","","-50.00 %","","","","","","","","","","",""," ##.## %","","-50.00 %","","",""
"2020-04-25","   .00 %","","","","",""," ##.## %","","","","","","","","","","","","-50.00 %","","",""," 50.00 %",""
"2020-04-26","","",""," ##.## %","","",""," ##.## %","","","","","","","","","",""," ##.## %","","","","-83.33 %",""
"2020-04-27","   .00 %","","","-50.00 %","","","","","","   .00 %","","","","","","","","","","","",""," ##.## %",""
"2020-04-28","","","","","","","","",""," ##.## %","","","","","","   .00 %","","","-75.00 %","","","","   .00 %",""
"2020-04-29","","","","   .00 %","","","","","","-75.00 %","","","","","","   .00 %","","","","","","","-50.00 %",""
"2020-04-30","","","","   .00 %","","","   .00 %","",""," ##.## %","","","","","","","","   .00 %","","","","","",""
"2020-05-01","","",""," 14.29 %","","","   .00 %","","","-77.78 %","","","","","","   .00 %","","","","",""," ##.## %","   .00 %",""
"2020-05-02","   .00 %","","","","",""," ##.## %","",""," ##.## %","","","","","","   .00 %","","","","","","","","-66.67 %"
"2020-05-03","","",""," 50.00 %"," ##.## %",""," 50.00 %","","","-83.33 %"," ##.## %","","","","","","   .00 %",""," ##.## %","","",""," ##.## %"," ##.## %"
"2020-05-04","   .00 %","","","-83.33 %","","","-88.89 %","",""," ##.## %","-66.67 %","","","","","   .00 %","","","-72.73 %","","",""," 61.11 %",""
"2020-05-05","","","","-50.00 %","",""," ##.## %","","","-42.86 %","",""," ##.## %","","","","","","-66.67 %","","","","-82.76 %","   .00 %"
"2020-05-06","-82.61 %","",""," ##.## %","",""," 81.82 %","","","-25.00 %","-50.00 %",""," 66.67 %","","","","",""," ##.## %","","","","-40.00 %",""
"2020-05-07","","",""," ##.## %","","","-35.00 %","","","-50.00 %"," ##.## %","","","","   .00 %","","","","-80.00 %","","","","   .00 %",""
"2020-05-08","","","","-33.33 %","-50.00 %","","-30.77 %","","","-66.67 %","   .00 %","","","","","","","","   .00 %","","","","-33.33 %",""
"2020-05-09","","","","","",""," 77.78 %","","","","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","-50.00 %"," 50.00 %",""
"2020-05-10","","   .00 %","   .00 %","   .00 %","","","","","","","","   .00 %","","","","   .00 %","-50.00 %","   .00 %","","","   .00 %",""," ##.## %",""
"2020-05-11","",""," ##.## %","   .00 %","","","-81.25 %","","","   .00 %","","","","","-50.00 %","","","","","","","","-54.55 %",""
"2020-05-12","   .00 %","",""," 85.71 %","",""," ##.## %","","","","-66.67 %","","-80.00 %","-50.00 %","","","","-50.00 %","","-66.67 %","",""," ##.## %",""
"2020-05-13","","","","-69.23 %","","","-68.75 %","","","-88.89 %","","","","","","","","","   .00 %","   .00 %"," ##.## %","","",""
"2020-05-14","","",""," ##.## %","","","-20.00 %","",""," ##.## %","   .00 %",""," ##.## %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %"
"2020-05-15","","","","-25.00 %","",""," ##.## %","","","",""," ##.## %","","","","   .00 %",""," ##.## %","","","-50.00 %","","   .00 %",""
"2020-05-16","   .00 %","","","-55.56 %","-50.00 %",""," 55.56 %","","","   .00 %","","","","",""," ##.## %","   .00 %","","   .00 %"," ##.## %","","","-83.33 %",""
"2020-05-17","","","","-25.00 %","","","-21.43 %","","","","","","   .00 %","-##.## %","   .00 %","","","   .00 %","   .00 %",""," ##.## %","   .00 %","",""
"2020-05-18","","","","   .00 %","","","-36.36 %","   .00 %","","","","","   .00 %","","   .00 %","","","","","","",""," 50.00 %",""
"2020-05-19","","","   .00 %"," ##.## %","",""," 28.57 %","-33.33 %","","   .00 %","   .00 %","","   .00 %",""," ##.## %","","   .00 %","   .00 %","   .00 %","","   .00 %","","-33.33 %",""
"2020-05-20","","","","-46.15 %","","","-33.33 %","","","   .00 %"," ##.## %","","","   .00 %","","","","","","","",""," ##.## %",""
"2020-05-21","","",""," 57.14 %","   .00 %",""," ##.## %","","","","","","   .00 %","-50.00 %","-50.00 %","","","   .00 %"," ##.## %","","   .00 %","","-77.78 %",""
"2020-05-22","","","","-63.64 %","","","-15.38 %","","","   .00 %","",""," ##.## %"," ##.## %"," ##.## %","","","","","-33.33 %","   .00 %","   .00 %","-50.00 %",""
