"date","New Jersey/Atlantic","New Jersey/Bergen","New Jersey/Burlington","New Jersey/Camden","New Jersey/Cape May","New Jersey/Cumberland","New Jersey/Essex","New Jersey/Gloucester","New Jersey/Hudson","New Jersey/Hunterdon","New Jersey/Mercer","New Jersey/Middlesex","New Jersey/Monmouth","New Jersey/Morris","New Jersey/Ocean","New Jersey/Passaic","New Jersey/Salem","New Jersey/Somerset","New Jersey/Sussex","New Jersey/Unassigned","New Jersey/Union","New Jersey/Warren"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23"," 20.00 %"," 33.26 %"," 38.46 %"," 50.00 %","   .00 %","   .00 %"," 58.72 %"," 62.50 %"," 50.79 %"," 12.50 %"," 25.00 %"," 42.86 %"," 50.63 %"," 48.74 %"," 41.18 %"," 48.42 %","   .00 %"," 31.37 %"," 25.00 %"," 89.59 %"," 52.42 %"," 33.33 %"
"2020-03-24","   .00 %"," 15.11 %"," 16.67 %"," 54.55 %"," 50.00 %"," ##.## %"," 25.27 %"," 46.15 %"," 23.16 %"," 38.89 %"," 16.00 %"," 31.90 %"," 21.01 %"," 15.25 %"," 25.00 %"," 53.19 %","   .00 %"," 52.24 %"," 20.00 %"," 53.94 %"," 30.16 %"," 25.00 %"
"2020-03-25"," ##.## %"," 16.83 %"," 14.29 %"," 19.61 %"," 33.33 %"," 50.00 %"," 11.40 %"," 21.05 %"," 11.11 %","   .00 %"," 41.38 %"," 14.08 %","  8.68 %","  9.31 %"," 23.33 %"," 18.06 %","   .00 %"," 14.71 %"," 50.00 %"," 44.19 %","  6.50 %"," 20.00 %"
"2020-03-26","-16.67 %"," 47.25 %"," 33.33 %"," 19.67 %"," 50.00 %"," 33.33 %"," 59.84 %"," 43.48 %"," 69.62 %"," 56.00 %"," 35.37 %"," 59.81 %"," 60.06 %"," 41.26 %"," 75.23 %"," 56.47 %"," ##.## %"," 52.99 %"," 81.48 %"," 58.92 %"," 64.89 %"," 72.22 %"
"2020-03-27"," 40.00 %"," 24.79 %"," 37.50 %"," 30.14 %"," 16.67 %"," ##.## %"," 35.63 %"," 21.21 %"," 34.69 %"," 33.33 %"," 18.02 %"," 26.73 %"," 26.55 %"," 24.13 %"," 24.42 %"," 21.30 %"," 50.00 %"," 24.02 %"," 32.65 %"," 34.24 %"," 20.14 %"," 22.58 %"
"2020-03-28"," 21.43 %"," 22.13 %"," 30.68 %"," 29.47 %","   .00 %"," 22.22 %"," 31.48 %"," 27.50 %"," 29.80 %"," 17.31 %"," 28.24 %"," 26.25 %"," 23.19 %"," 13.04 %"," 28.93 %"," 25.62 %","   .00 %"," 16.22 %"," 24.62 %"," 24.90 %"," 42.97 %"," 34.21 %"
"2020-03-29"," 41.18 %"," 18.01 %"," 23.48 %"," 32.52 %"," 28.57 %","   .00 %"," 12.98 %"," 41.18 %"," 26.33 %","  8.20 %"," 20.24 %"," 16.09 %"," 11.40 %"," 28.05 %"," 21.63 %"," 36.68 %","   .00 %"," 14.34 %"," 14.81 %"," 21.87 %"," 20.75 %","  9.80 %"
"2020-03-30"," 20.83 %"," 14.43 %"," 25.35 %"," 22.70 %","   .00 %","  9.09 %"," 27.47 %"," 23.61 %"," 34.91 %"," 19.70 %"," 23.27 %"," 19.72 %"," 18.39 %"," 27.21 %"," 15.15 %"," 31.29 %","   .00 %"," 18.31 %"," 21.51 %"," 27.38 %"," 35.38 %"," 21.43 %"
"2020-03-31","  6.90 %"," 17.20 %"," 13.48 %"," 14.00 %"," 33.33 %"," 50.00 %"," 21.48 %"," 28.09 %"," 22.22 %"," 22.78 %","  7.63 %"," 13.71 %"," 10.68 %"," 16.81 %"," 16.93 %"," 18.61 %"," ##.## %"," 18.34 %"," 16.81 %"," -4.19 %"," 16.90 %"," 11.76 %"
"2020-04-01"," 29.03 %"," 20.11 %"," 26.24 %"," 26.75 %"," 83.33 %"," 50.00 %"," 19.05 %"," 30.70 %"," 18.93 %"," 20.62 %"," 24.25 %"," 16.91 %"," 14.12 %"," 12.01 %"," 18.30 %"," 15.46 %"," 58.33 %"," 14.29 %"," 19.70 %"," 22.41 %"," 17.14 %"," 26.32 %"
"2020-04-02"," 25.00 %"," 17.32 %"," 15.29 %"," 18.69 %"," 54.55 %"," 14.81 %"," 15.69 %"," 13.42 %"," 18.85 %"," 11.11 %"," 15.92 %"," 18.29 %"," 12.07 %"," 14.86 %"," 13.40 %"," 17.14 %","  5.26 %"," 16.31 %"," 13.29 %","  7.85 %"," 21.01 %"," 20.83 %"
"2020-04-03"," 44.00 %"," 18.71 %"," 24.83 %"," 18.37 %"," 29.41 %"," 16.13 %"," 17.20 %","  8.28 %"," 24.89 %"," 13.85 %"," 25.39 %"," 20.33 %"," 19.55 %"," 19.96 %"," 22.90 %"," 26.63 %"," 25.00 %"," 16.76 %"," 17.32 %"," -1.19 %"," 23.73 %"," 28.45 %"
"2020-04-04"," 36.11 %"," 18.37 %"," 27.79 %"," 18.47 %"," 13.64 %"," 11.11 %"," 16.86 %"," 17.49 %"," 23.14 %"," 15.54 %"," 21.07 %"," 21.32 %"," 18.47 %"," 24.65 %"," 18.87 %"," 28.88 %","   .00 %"," 19.34 %"," 12.38 %","-18.16 %"," 17.25 %"," 22.15 %"
"2020-04-05"," 23.47 %","  7.41 %"," 16.63 %"," 15.59 %"," 54.00 %"," 35.00 %"," 13.90 %"," 15.35 %"," 12.40 %"," 10.53 %"," 11.60 %"," 14.43 %"," 14.00 %"," 11.25 %","  8.69 %"," 12.99 %","  4.00 %","  8.89 %"," 13.14 %"," -2.90 %"," 10.29 %","  7.14 %"
"2020-04-06","  9.09 %"," 10.91 %"," 18.10 %"," 16.01 %"," 10.39 %"," 18.52 %"," 10.07 %"," 12.50 %"," 12.00 %"," 11.64 %"," 13.15 %"," 10.61 %","  8.11 %","  8.67 %","  9.05 %"," 16.39 %"," 11.54 %","  8.28 %","  9.36 %"," -7.85 %"," 14.58 %"," 10.26 %"
"2020-04-07","  9.09 %","  9.78 %"," 13.47 %"," 14.11 %"," 10.59 %"," 10.94 %"," 13.02 %"," 11.47 %"," 12.61 %"," 10.90 %"," 13.11 %"," 13.91 %","  8.84 %"," 14.47 %"," 11.25 %","  9.27 %","  6.90 %"," 14.52 %"," 13.36 %","-37.32 %"," 18.53 %"," 18.60 %"
"2020-04-08"," 16.67 %","  4.53 %","  9.28 %"," 13.86 %","  6.38 %"," 12.68 %"," 10.24 %","  9.32 %","  9.86 %","  8.97 %"," 18.52 %"," 11.81 %","  9.68 %"," 10.23 %","  8.14 %","  6.53 %"," 16.13 %"," 12.29 %","  7.85 %","-36.97 %"," 10.60 %"," 13.33 %"
"2020-04-09"," 13.69 %","  5.96 %"," 10.24 %"," 18.14 %","  9.00 %"," 38.75 %","  8.41 %"," 21.47 %","  8.13 %"," 12.16 %"," 17.04 %"," 11.36 %","  6.91 %","  7.17 %","  8.30 %","  7.27 %"," 19.44 %"," 15.09 %","  9.80 %","-28.40 %","  7.70 %"," 10.38 %"
"2020-04-10"," 10.47 %","  7.01 %","  8.04 %","  8.28 %","  6.42 %"," 24.32 %","  8.42 %","  8.23 %","  9.05 %","  2.45 %"," 10.42 %","  9.33 %","  7.64 %","  4.76 %","  5.69 %","  6.97 %","  6.98 %"," 14.08 %","  5.36 %","-34.84 %","  7.15 %","  5.64 %"
"2020-04-11","  9.00 %","  4.86 %","  8.07 %"," 10.07 %"," 11.21 %"," 11.59 %","  6.49 %","  8.95 %","  6.86 %","  2.73 %"," 11.86 %","  6.84 %","  4.43 %","  5.56 %","  4.10 %","  5.54 %"," 21.74 %","  7.81 %"," 10.41 %"," 42.37 %","  5.20 %","  7.42 %"
