"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-03-17","","2","",""
"2020-04-01","","","2",""
"2020-04-02","","","4",""
"2020-04-10","","","6",""
"2020-04-25","","","7",""
"2020-04-27","","","7",""
"2020-05-02","","3","7",""
"2020-05-03","","","7",""
"2020-05-08","","3","8",""
"2020-05-10","1","","9",""
"2020-05-13","","","10",""
"2020-05-14","","","13",""
"2020-05-16","2","","",""
"2020-05-19","2","","18",""
"2020-05-20","","4","",""
"2020-05-22","","5","20",""
"2020-05-24","2","","35",""
"2020-05-25","","","41",""
"2020-05-28","","","47",""
"2020-05-29","","5","51",""
"2020-05-31","","","64",""
"2020-06-01","","","73",""
"2020-06-03","","","84",""
"2020-06-05","","","89",""
"2020-06-06","","","101",""
"2020-06-07","","","113",""
"2020-06-08","","6","121",""
"2020-06-09","","7","124",""
"2020-06-10","","","136",""
"2020-06-11","","9","147",""
"2020-06-12","3","","152",""
"2020-06-13","","9","165",""
"2020-06-14","4","10","181",""
"2020-06-15","","","189",""
"2020-06-16","6","","201",""
"2020-06-17","8","","228",""
"2020-06-18","","10","254",""
"2020-06-19","9","","269",""
"2020-06-20","10","10","319",""
"2020-06-21","","","346","1"
"2020-06-22","10","","363",""
"2020-06-23","14","","378",""
"2020-06-24","","11","436",""
"2020-06-25","21","","470",""
"2020-06-26","24","","499",""
"2020-06-27","39","","569",""
"2020-06-28","39","","597","2"
"2020-06-29","39","","639",""
"2020-06-30","","14","660",""
"2020-07-01","39","19","680",""
"2020-07-02","42","","740",""
"2020-07-03","43","","761",""
"2020-07-04","45","","837","4"
"2020-07-05","45","","869","14"
"2020-07-06","46","20","931","15"
"2020-07-07","46","21","960",""
"2020-07-08","71","21","1040","20"
"2020-07-09","","21","1089",""
"2020-07-10","76","","1156",""
"2020-07-11","86","22","1205","25"
"2020-07-12","96","","1276",""
"2020-07-13","97","22","1325",""
"2020-07-14","99","","1376","35"
"2020-07-15","","","1431","45"
"2020-07-16","111","","1559","52"
"2020-07-17","120","22","1636","55"
"2020-07-18","","","1687","62"
"2020-07-19","123","","1791","64"
"2020-07-20","134","","1873",""
"2020-07-21","135","","1959","64"
"2020-07-22","143","23","2053","82"
"2020-07-23","146","","2169","83"
"2020-07-24","147","24","2262",""
"2020-07-25","150","","2375","106"
"2020-07-26","153","","2503","108"
"2020-07-27","153","","2588",""
"2020-07-28","","","2716","119"
"2020-07-29","165","24","2870","119"
"2020-07-30","172","","2984",""
"2020-07-31","185","","3119","145"
"2020-08-01","188","24","3208","187"
"2020-08-02","195","","3369","219"
"2020-08-03","204","26","3492","261"
"2020-08-04","209","25","3653","261"
"2020-08-05","230","28","3835","341"
"2020-08-06","249","","4003","342"
"2020-08-07","259","","4233","343"
"2020-08-08","297","","4454","345"
"2020-08-09","334","28","4659","362"
"2020-08-10","340","","4848","409"
"2020-08-11","370","","5089","414"
"2020-08-12","","29","5502","481"
"2020-08-13","411","29","5751","490"
"2020-08-14","427","","6049","491"
"2020-08-15","479","","6356","491"
"2020-08-16","486","","6722","496"
"2020-08-17","486","","7016","499"
"2020-08-18","537","","7330","501"
"2020-08-19","541","29","7646","537"
"2020-08-20","576","","8116","572"
"2020-08-21","584","30","8404","577"
"2020-08-22","642","31","8842","598"
"2020-08-23","644","","9242","606"
"2020-08-24","675","","9538","616"
"2020-08-25","711","","10063","622"
"2020-08-26","739","36","10481","675"
"2020-08-27","770","42","10935","688"
"2020-08-28","816","","11396","771"
"2020-08-29","859","45","11812","841"
"2020-08-30","871","46","12328","883"
"2020-08-31","893","53","12582","884"
"2020-09-01","897","53","12890","927"
"2020-09-02","903","","13229","973"
"2020-09-03","936","57","13611","978"
"2020-09-04","954","61","14136","1022"
"2020-09-05","979","69","14465","1054"
"2020-09-06","1019","","14862","1083"
"2020-09-07","1036","78","15117","1086"
