"date","Andaman and Nicobar Islands/North and Middle Andaman","Andaman and Nicobar Islands/South Andaman"
"2020-03-26","",""
"2020-03-27","",""
"2020-03-28","",""
"2020-03-30","",""
"2020-04-08","","   .00 %"
"2020-04-17","","   .00 %"
"2020-04-18",""," 20.00 %"
"2020-04-19",""," 10.00 %"
"2020-04-20",""," 10.00 %"
"2020-04-21",""," 10.00 %"
"2020-04-22",""," 10.00 %"
"2020-04-23",""," 50.00 %"
"2020-04-24",""," 75.00 %"
"2020-04-25",""," 66.43 %"
"2020-04-28","",""
"2020-04-30","",""
"2020-05-02","",""
"2020-05-03","",""
"2020-05-07","",""
"2020-06-09","","   .00 %"
"2020-06-10","","   .00 %"
"2020-06-16",""," 40.00 %"
"2020-06-26",""," ##.## %"
