"date","Iowa/Adair","Iowa/Adams","Iowa/Allamakee","Iowa/Appanoose","Iowa/Audubon","Iowa/Benton","Iowa/Black Hawk","Iowa/Boone","Iowa/Bremer","Iowa/Buchanan","Iowa/Buena Vista","Iowa/Butler","Iowa/Calhoun","Iowa/Carroll","Iowa/Cass","Iowa/Cedar","Iowa/Cerro Gordo","Iowa/Cherokee","Iowa/Chickasaw","Iowa/Clarke","Iowa/Clay","Iowa/Clayton","Iowa/Clinton","Iowa/Crawford","Iowa/Dallas","Iowa/Davis","Iowa/Decatur","Iowa/Delaware","Iowa/Des Moines","Iowa/Dickinson","Iowa/Dubuque","Iowa/Emmet","Iowa/Fayette","Iowa/Floyd","Iowa/Franklin","Iowa/Fremont","Iowa/Greene","Iowa/Grundy","Iowa/Guthrie","Iowa/Hamilton","Iowa/Hancock","Iowa/Hardin","Iowa/Harrison","Iowa/Henry","Iowa/Howard","Iowa/Humboldt","Iowa/Ida","Iowa/Iowa","Iowa/Jackson","Iowa/Jasper","Iowa/Jefferson","Iowa/Johnson","Iowa/Jones","Iowa/Keokuk","Iowa/Kossuth","Iowa/Lee","Iowa/Linn","Iowa/Louisa","Iowa/Lucas","Iowa/Lyon","Iowa/Madison","Iowa/Mahaska","Iowa/Marion","Iowa/Marshall","Iowa/Mills","Iowa/Mitchell","Iowa/Monona","Iowa/Monroe","Iowa/Montgomery","Iowa/Muscatine","Iowa/O'Brien","Iowa/Osceola","Iowa/Page","Iowa/Palo Alto","Iowa/Plymouth","Iowa/Pocahontas","Iowa/Polk","Iowa/Pottawattamie","Iowa/Poweshiek","Iowa/Ringgold","Iowa/Sac","Iowa/Scott","Iowa/Shelby","Iowa/Sioux","Iowa/Story","Iowa/Tama","Iowa/Taylor","Iowa/Unassigned","Iowa/Union","Iowa/Van Buren","Iowa/Wapello","Iowa/Warren","Iowa/Washington","Iowa/Wayne","Iowa/Webster","Iowa/Winnebago","Iowa/Winneshiek","Iowa/Woodbury","Iowa/Worth","Iowa/Wright"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.38 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"
"2020-03-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.71 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 66.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-25","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.22 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," ##.## %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 13.95 %","   .00 %","   .00 %","   .00 %","   .00 %"," 71.43 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 50.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 28.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 18.37 %","   .00 %","   .00 %","   .00 %","   .00 %"," 83.33 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 37.50 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 50.00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","-14.29 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 66.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","  5.17 %","   .00 %","   .00 %","   .00 %","   .00 %"," 63.64 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 42.86 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 42.86 %","   .00 %"," 25.00 %","   .00 %","   .00 %"," 42.86 %","   .00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 33.33 %","   .00 %","  6.56 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.50 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 18.18 %","   .00 %","   .00 %","   .00 %"," 50.00 %"," 33.33 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 75.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"," 23.53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 31.25 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %"," 25.00 %","   .00 %","  7.69 %","   .00 %","   .00 %","   .00 %","   .00 %"," 69.05 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 22.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.00 %"," ##.## %","   .00 %","   .00 %"," 11.11 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 38.46 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-31","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","","   .00 %","","   .00 %","","   .00 %",""," 12.50 %","   .00 %","","","","","   .00 %"," ##.## %","   .00 %"," 19.05 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %"," 12.50 %","   .00 %","","",""," 33.33 %","   .00 %"," 20.00 %","","  4.29 %"," ##.## %"," ##.## %","   .00 %",""," 26.76 %","","","","","   .00 %",""," 33.33 %","","","   .00 %","","   .00 %"," 23.08 %","","","   .00 %","","",""," 24.59 %"," 33.33 %","   .00 %","",""," 12.50 %","   .00 %"," 50.00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," ##.## %"," 33.33 %","","   .00 %","","   .00 %","   .00 %","","   .00 %"
