"date","Puducherry/Karaikal","Puducherry/Mahe","Puducherry/Puducherry","Puducherry/Yanam"
"2020-07-20","   .00 %","","  4.00 %",""
"2020-07-21","   .00 %","","  3.85 %","   .00 %"
"2020-07-22","   .00 %","   .00 %","  3.70 %","   .00 %"
"2020-07-23","   .00 %",""," 10.71 %","   .00 %"
"2020-07-24","   .00 %","   .00 %","  3.23 %",""
"2020-07-25","   .00 %","","  6.25 %"," ##.## %"
"2020-07-26","   .00 %","","  5.88 %","   .00 %"
"2020-07-27","   .00 %","","  8.33 %",""
"2020-07-28","","","  7.69 %"," 50.00 %"
"2020-07-29","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-30","   .00 %","","  2.38 %",""
"2020-07-31","   .00 %","","  2.33 %","   .00 %"
"2020-08-01","   .00 %","   .00 %","  4.55 %","   .00 %"
"2020-08-02","   .00 %","","  2.17 %","   .00 %"
"2020-08-03","   .00 %","   .00 %","  8.51 %","   .00 %"
"2020-08-04","   .00 %","   .00 %","  3.92 %","   .00 %"
"2020-08-05","   .00 %","   .00 %","  7.55 %"," ##.## %"
"2020-08-06","   .00 %","","  8.77 %","   .00 %"
"2020-08-07","   .00 %","","  8.06 %","   .00 %"
"2020-08-08"," ##.## %","","  4.48 %","   .00 %"
"2020-08-09"," 50.00 %","   .00 %","  5.71 %"," 16.67 %"
"2020-08-10","   .00 %","","  1.35 %"," 14.29 %"
"2020-08-11","   .00 %","","  2.67 %","   .00 %"
"2020-08-12","","   .00 %","  5.19 %"," 12.50 %"
"2020-08-13","   .00 %","   .00 %","  6.17 %"," 11.11 %"
"2020-08-14","   .00 %","","  4.65 %","   .00 %"
"2020-08-15","   .00 %","","   .00 %","   .00 %"
"2020-08-16","   .00 %","","  2.22 %"," 20.00 %"
"2020-08-17","   .00 %","","  3.26 %","  8.33 %"
"2020-08-18","   .00 %","","  9.47 %","   .00 %"
"2020-08-19"," 16.67 %","   .00 %","  4.81 %","   .00 %"
"2020-08-20","   .00 %","","  6.42 %","  7.69 %"
"2020-08-21"," 14.29 %","   .00 %","  4.31 %","   .00 %"
"2020-08-22"," 12.50 %","   .00 %","  4.96 %","  7.14 %"
"2020-08-23","   .00 %","","  6.30 %","   .00 %"
"2020-08-24","   .00 %","","  3.70 %","   .00 %"
"2020-08-25"," 22.22 %","","  3.57 %","  6.67 %"
"2020-08-26","  9.09 %","   .00 %","  3.45 %"," 12.50 %"
"2020-08-27","   .00 %","   .00 %","  5.33 %"," 11.11 %"
"2020-08-28","  8.33 %","","  5.06 %","   .00 %"
"2020-08-29","   .00 %","   .00 %","  7.23 %","   .00 %"
"2020-08-30","   .00 %","   .00 %","  5.06 %","  5.00 %"
"2020-08-31","  7.69 %","   .00 %","  3.21 %","   .00 %"
"2020-09-01","   .00 %","   .00 %","  5.18 %","  9.52 %"
"2020-09-02","   .00 %","","  4.93 %"," 13.04 %"
"2020-09-03","  7.14 %","   .00 %","  2.82 %","   .00 %"
"2020-09-04","  6.67 %","   .00 %","  7.76 %","  7.69 %"
"2020-09-05","  6.25 %","   .00 %","  6.36 %","  7.14 %"
"2020-09-06"," 11.76 %","","  5.18 %","  3.33 %"
"2020-09-07","   .00 %","   .00 %","  4.17 %","   .00 %"
"2020-09-08","   .00 %","   .00 %","  3.64 %","  6.45 %"
"2020-09-09","  5.26 %","   .00 %","  3.16 %","   .00 %"
"2020-09-10","   .00 %","   .00 %","  1.70 %","  3.03 %"
"2020-09-11","   .00 %","   .00 %","  4.01 %","   .00 %"
"2020-09-12","   .00 %","","  1.61 %","   .00 %"
"2020-09-13","   .00 %","   .00 %","  4.75 %","   .00 %"
"2020-09-14","  5.00 %","   .00 %","  2.42 %","   .00 %"
"2020-09-15","   .00 %","   .00 %","  2.95 %","  2.94 %"
"2020-09-16","  9.52 %","   .00 %","  2.87 %","  2.86 %"
"2020-09-17"," 13.04 %","   .00 %","  2.79 %","   .00 %"
"2020-09-18","  3.85 %","   .00 %","  1.36 %","   .00 %"
"2020-09-19"," 11.11 %","   .00 %","  2.14 %","   .00 %"
"2020-09-20","   .00 %","   .00 %","  2.62 %","   .00 %"
"2020-09-21","  3.33 %","   .00 %","  1.53 %","  5.56 %"
"2020-09-22","   .00 %","   .00 %","  1.26 %","  2.63 %"
"2020-09-23","   .00 %","   .00 %","  1.74 %","  2.56 %"
"2020-09-24","  6.45 %","   .00 %","   .98 %","   .00 %"
"2020-09-25","  3.03 %","   .00 %","  1.21 %","  2.50 %"
"2020-09-26","   .00 %","   .00 %","  1.43 %","   .00 %"
"2020-09-27","  8.82 %","   .00 %","  2.35 %","   .00 %"
"2020-09-28","  2.70 %","   .00 %","   .23 %","   .00 %"
"2020-09-29","   .00 %","   .00 %","   .46 %","   .00 %"
"2020-09-30","  2.63 %","   .00 %","   .68 %","   .00 %"
"2020-10-01","   .00 %","   .00 %","   .91 %","   .00 %"
"2020-10-02","  2.56 %","   .00 %","  1.12 %","  2.44 %"
"2020-10-03","  2.50 %","   .00 %","   .22 %","   .00 %"
"2020-10-04","  9.76 %","   .00 %","   .22 %","   .00 %"
"2020-10-05","  2.22 %","   .00 %","   .66 %","   .00 %"
"2020-10-06","   .00 %","   .00 %","   .44 %","   .00 %"
"2020-10-07","   .00 %"," ##.## %","   .44 %","   .00 %"
"2020-10-08","  6.52 %","   .00 %","   .44 %","   .00 %"
"2020-10-09","   .00 %","   .00 %","   .43 %","   .00 %"
"2020-10-10","   .00 %","   .00 %","   .22 %","   .00 %"
"2020-10-11","   .00 %","   .00 %","   .86 %","   .00 %"
"2020-10-12","   .00 %","   .00 %","   .43 %","   .00 %"
"2020-10-13","  4.08 %","   .00 %","   .00 %","   .00 %"
"2020-10-14","   .00 %","   .00 %","   .21 %","   .00 %"
"2020-10-15","  1.96 %","   .00 %","   .21 %","   .00 %"
"2020-10-16","   .00 %","   .00 %","   .21 %","   .00 %"
"2020-10-17","   .00 %","   .00 %","   .63 %","   .00 %"
"2020-10-18","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-10-19","   .00 %","   .00 %","   .21 %","   .00 %"
"2020-10-20","   .00 %"," 25.00 %","   .21 %","   .00 %"
"2020-10-21","  1.92 %"," 20.00 %","   .21 %","   .00 %"
"2020-10-22","  1.89 %","   .00 %","   .21 %","   .00 %"
"2020-10-23","   .00 %","   .00 %","   .42 %","   .00 %"
"2020-10-24","   .00 %","   .00 %","   .41 %","   .00 %"
"2020-10-25","  1.85 %","   .00 %","   .21 %","   .00 %"
"2020-10-26","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-10-27","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-10-28","   .00 %","   .00 %","   .41 %","   .00 %"
"2020-10-29","   .00 %"," 16.67 %","   .21 %","   .00 %"
"2020-10-30","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-10-31","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-01","   .00 %","   .00 %","   .61 %","   .00 %"
"2020-11-02","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-03","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-11-04","   .00 %","   .00 %","   .00 %","  2.38 %"
"2020-11-05","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-11-06","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-07","   .00 %","   .00 %","   .20 %","  2.33 %"
"2020-11-08","  1.82 %","   .00 %","   .00 %","   .00 %"
"2020-11-09","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-11-10","  1.79 %","   .00 %","   .20 %","   .00 %"
"2020-11-11","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-11-12","  1.75 %","   .00 %","   .20 %","   .00 %"
"2020-11-13","  1.72 %","   .00 %","   .00 %","   .00 %"
"2020-11-14","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-15","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-16","","   .00 %","   .00 %","   .00 %"
"2020-11-17","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-18","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-19","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-11-20","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-21","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-22","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-23","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-24","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-25","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-26","","   .00 %","   .00 %","   .00 %"
"2020-11-27","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-28","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-29","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-11-30","   .00 %"," 14.29 %","   .00 %",""
"2020-12-01","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-12-26","   .00 %","   .00 %","   .20 %","   .00 %"
"2020-12-27","  1.69 %","   .00 %","   .00 %","   .00 %"
"2020-12-28","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-12-29","   .00 %","   .00 %","   .40 %","   .00 %"
"2020-12-30","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-12-31","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-01","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-02","   .00 %","   .00 %","   .00 %",""
"2021-01-03","   .00 %","   .00 %","   .00 %",""
"2021-01-04","   .00 %","   .00 %","   .40 %",""
"2021-01-05","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-06","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-07","  1.67 %","   .00 %","   .00 %","   .00 %"
"2021-01-08","   .00 %","   .00 %","   .00 %",""
"2021-01-09","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-10","  1.64 %","   .00 %","   .20 %","   .00 %"
"2021-01-11","   .00 %","   .00 %","   .00 %",""
"2021-01-12","   .00 %","   .00 %","   .20 %",""
"2021-01-13","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-14","   .00 %","   .00 %","   .20 %","   .00 %"
"2021-01-15","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-16","   .00 %"," 12.50 %","   .20 %",""
"2021-01-17","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-18","   .00 %","   .00 %","   .20 %",""
"2021-01-19","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-20","   .00 %","   .00 %","   .00 %",""
"2021-01-21","   .00 %","   .00 %","   .00 %",""
"2021-01-22","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-23","   .00 %","   .00 %","   .20 %","   .00 %"
"2021-01-24","   .00 %","   .00 %","   .20 %","   .00 %"
"2021-01-25","","   .00 %","   .00 %","   .00 %"
"2021-01-26","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-01-27","   .00 %","   .00 %","   .20 %","   .00 %"
"2021-01-28","  1.61 %","   .00 %","   .00 %","   .00 %"
"2021-01-29","   .00 %","   .00 %","   .00 %",""
"2021-01-30","   .00 %","   .00 %","   .00 %",""
"2021-01-31","   .00 %","   .00 %","   .19 %",""
"2021-02-01","   .00 %","   .00 %","   .58 %","   .00 %"
"2021-02-02","   .00 %","   .00 %","   .00 %",""
"2021-02-03","   .00 %"," 11.11 %","   .00 %",""
"2021-02-04","   .00 %","   .00 %","   .00 %",""
"2021-02-05","   .00 %","   .00 %","   .39 %","   .00 %"
"2021-02-06","   .00 %","   .00 %","   .00 %",""
"2021-02-07","   .00 %","   .00 %","   .00 %",""
"2021-02-08","  1.59 %","   .00 %","   .00 %",""
"2021-02-09","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-02-10","   .00 %","   .00 %","   .19 %","   .00 %"
"2021-02-11","   .00 %","   .00 %","   .00 %",""
"2021-02-12","   .00 %","   .00 %","   .00 %",""
"2021-02-13","   .00 %","   .00 %","   .00 %",""
"2021-02-14","   .00 %","   .00 %","   .19 %",""
"2021-02-15","   .00 %","   .00 %","   .19 %",""
"2021-02-16","   .00 %","   .00 %","   .00 %",""
"2021-02-17","  1.56 %","   .00 %","   .19 %",""
"2021-02-18","   .00 %","   .00 %","   .00 %",""
"2021-02-19","   .00 %","   .00 %","   .38 %",""
"2021-02-20","   .00 %","   .00 %","   .00 %",""
"2021-02-21","   .00 %","   .00 %","   .19 %",""
"2021-02-22","   .00 %","   .00 %","   .00 %",""
"2021-02-23","   .00 %","   .00 %","   .38 %","   .00 %"
"2021-02-24","   .00 %","   .00 %","   .19 %",""
"2021-02-25","   .00 %","   .00 %","   .19 %",""
"2021-02-26","   .00 %","   .00 %","   .00 %","   .00 %"
"2021-02-27","   .00 %","   .00 %","   .19 %","   .00 %"
"2021-02-28","   .00 %","   .00 %","   .00 %",""
"2021-03-01","   .00 %","   .00 %","   .19 %",""
"2021-03-02","   .00 %","   .00 %","   .00 %",""
"2021-03-03","   .00 %","   .00 %","   .00 %",""
