"date","Washington/Adams","Washington/Asotin","Washington/Benton","Washington/Chelan","Washington/Clallam","Washington/Clark","Washington/Columbia","Washington/Cowlitz","Washington/Douglas","Washington/Ferry","Washington/Franklin","Washington/Garfield","Washington/Garfield County","Washington/Grant","Washington/Grays Harbor","Washington/Island","Washington/Jefferson","Washington/King","Washington/Kitsap","Washington/Kittitas","Washington/Klickitat","Washington/Lewis","Washington/Lincoln","Washington/Mason","Washington/Okanogan","Washington/Pacific","Washington/Pend Oreille","Washington/Pierce","Washington/San Juan","Washington/Skagit","Washington/Skamania","Washington/Snohomish","Washington/Spokane","Washington/Stevens","Washington/Thurston","Washington/Unassigned","Washington/Wahkiakum","Washington/Walla Walla","Washington/Walla Walla County","Washington/Whatcom","Washington/Whitman","Washington/Yakima"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","1","0","2","3","0","3","0","0","1","0","2","","","5","0","4","0","130","0","0","0","0","0","0","0","0","0","19","0","0","0","39","0","0","0","-19","0","1","","34","1","0"
"2020-03-24","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","2","0","0","1","0","0","0","0","0","0","0","12","0","12","0","95","9","0","0","-33","0","0","","0","0","9"
"2020-03-25","0","0","3","4","0","3","0","0","1","0","2","0","","4","0","13","1","189","2","13","2","0","0","1","0","0","0","17","0","3","0","20","4","0","3","-61","0","1","","16","0","22"
"2020-03-26","2","0","7","0","1","32","0","4","3","1","0","0","","6","0","26","2","218","13","-10","1","3","0","0","1","0","0","31","1","30","0","144","34","1","10","18","0","0","","22","1","14"
"2020-03-27","0","0","23","2","0","28","0","0","0","0","5","0","","6","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","134","16","0","0","-2","0","0","","6","2","5"
"2020-03-28","2","0","0","1","0","6","0","3","0","0","0","0","","5","0","16","0","500","9","0","0","2","0","0","2","0","0","0","1","13","1","1","25","1","3","-67","0","2","","10","1","16"
"2020-03-29","0","0","14","0","0","8","0","0","0","0","4","0","","6","0","13","2","82","8","0","0","0","0","0","0","0","0","86","1","8","0","-1","0","0","6","125","0","1","","14","0","58"
"2020-03-30","2","0","46","1","1","0","0","4","0","0","21","0","","9","0","12","1","2","6","1","1","3","0","0","0","0","0","0","0","2","0","156","28","0","3","149","0","1","","0","2","7"
"2020-03-31","6","","-13","2","2","26","0","0","0","0","-4","","","4","1","1","2","169","18","0","1","0","0","3","0","","","60","0","20","0","161","0","1","12","0","","0","","23","0","14"
"2020-04-01","1","","19","1","0","14","0","0","0","0","0","","","0","0","3","1","0","0","0","0","0","0","1","0","","","0","0","7","0","75","22","0","0","29","","1","","0","2","0"
"2020-04-02","6","","22","1","0","1","0","4","1","0","8","","","10","0","5","2","326","9","1","0","0","0","5","0","","","121","2","15","0","72","24","1","3","41","","1","","36","1","63"
"2020-04-03","0","","6","2","0","6","0","0","0","0","4","","","2","0","5","0","131","12","0","0","2","0","2","1","","1","73","0","10","0","0","12","0","7","157","1","0","","7","0","16"
"2020-04-04","0","1","15","4","0","0","0","0","3","0","1","","","2","1","3","0","111","4","0","0","1","0","0","2","","0","49","0","8","0","127","15","0","6","-18","0","0","","17","0","49"
"2020-04-05","3","1","13","5","0","0","0","0","1","0","10","","","3","3","8","1","269","5","0","2","0","0","1","1","","0","68","1","0","1","56","10","0","3","50","0","1","","25","0","37"
"2020-04-06","3","1","11","0","0","31","0","0","0","0","8","","","8","0","11","2","164","0","2","0","3","0","1","2","","0","29","2","0","0","44","3","0","0","115","1","3","","4","1","37"
"2020-04-07","1","1","1","5","0","17","0","3","0","0","6","","","0","0","1","5","155","15","1","0","0","0","1","0","","0","43","1","5","0","56","0","0","7","29","0","1","","10","0","17"
