"date","Andhra Pradesh/Anantapur","Andhra Pradesh/Chittoor","Andhra Pradesh/East Godavari","Andhra Pradesh/Foreign Evacuees","Andhra Pradesh/Guntur","Andhra Pradesh/Krishna","Andhra Pradesh/Kurnool","Andhra Pradesh/Other State","Andhra Pradesh/Prakasam","Andhra Pradesh/S.P.S. Nellore","Andhra Pradesh/Srikakulam","Andhra Pradesh/Visakhapatnam","Andhra Pradesh/Vizianagaram","Andhra Pradesh/West Godavari","Andhra Pradesh/Y.S.R. Kadapa"
"2020-03-12","","","","","","","","","","   .00 %","","","","",""
"2020-03-19","","","","","","","","","   .00 %","","","   .00 %","","",""
"2020-03-21","","","   .00 %","","","   .00 %","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","   .00 %","","",""
"2020-03-23","","","","","","","","","","","","   .00 %","","",""
"2020-03-24","","   .00 %","","","","","","","","","","","","",""
"2020-03-25","","","","","   .00 %","-50.00 %","","","","","","","","",""
"2020-03-26","","","","","","   .00 %","","","","","","","","",""
"2020-03-27","","","","","   .00 %","","","","","","","   .00 %","","",""
"2020-03-28","","","",""," ##.## %","   .00 %","   .00 %","","   .00 %","","","","","",""
"2020-03-29","","","","","","","","","","",""," ##.## %","","",""
"2020-03-30","","","   .00 %","","","","","","","","","","","",""
"2020-03-31","   .00 %","","-50.00 %",""," ##.## %","   .00 %","",""," ##.## %","",""," ##.## %","","",""
"2020-04-01",""," ##.## %"," ##.## %",""," ##.## %"," ##.## %","","","-50.00 %","   .00 %","","-75.00 %","","   .00 %","   .00 %"
"2020-04-02","","-40.00 %","","","","-20.00 %","","","-50.00 %"," ##.## %","","","","-92.86 %","-80.00 %"
"2020-04-03","","","-60.00 %","","","","","","","-61.90 %",""," ##.## %","","","-66.67 %"
"2020-04-04","-50.00 %","-66.67 %","",""," -9.09 %","-37.50 %"," ##.## %",""," ##.## %","","","","",""," ##.## %"
"2020-04-05"," ##.## %"," ##.## %","","","",""," ##.## %","","-50.00 %","-75.00 %","","","","   .00 %",""
"2020-04-06","","","","","-80.00 %","-80.00 %","-59.18 %","","-50.00 %"," ##.## %",""," 25.00 %",""," ##.## %"," 25.00 %"
"2020-04-07","","-85.71 %","",""," ##.## %","","-95.00 %","","","","","","","",""
"2020-04-08"," ##.## %"," ##.## %","","","-11.11 %"," ##.## %","",""," ##.## %","-25.00 %","","","","-80.00 %",""
"2020-04-09","","","-50.00 %","","-75.00 %","","",""," ##.## %","","","","","","-80.00 %"
"2020-04-10","-71.43 %",""," ##.## %",""," ##.## %",""," ##.## %","","-81.82 %","","","","","",""
"2020-04-11","","","",""," ##.## %",""," ##.## %","","-50.00 %","","","","","","   .00 %"
"2020-04-12","","-50.00 %","","","-58.82 %","","-60.00 %","","","-33.33 %","","","","","   .00 %"
"2020-04-13",""," ##.## %","",""," 57.14 %","-83.33 %","","","","   .00 %","","","","   .00 %",""
"2020-04-14"," ##.## %","","",""," 90.91 %"," ##.## %"," ##.## %","","","-##.## %","","","","   .00 %"," ##.## %"
"2020-04-15","-80.00 %","","","","-61.90 %","-87.50 %"," ##.## %","","","   .00 %","","",""," ##.## %"," 50.00 %"
"2020-04-16","","","","",""," ##.## %","-84.21 %","","","","","","","-57.14 %",""
"2020-04-17"," ##.## %"," ##.## %","","","-62.50 %"," 33.33 %"," ##.## %","",""," ##.## %","","","","","-66.67 %"
"2020-04-18","","","-60.00 %","",""," ##.## %","-57.14 %",""," ##.## %","-50.00 %","","","","-66.67 %",""
"2020-04-19","-40.00 %",""," ##.## %","","   .00 %","-64.71 %"," ##.## %","","","","","-80.00 %","","",""
"2020-04-20"," 33.33 %"," ##.## %","-60.00 %",""," ##.## %","-16.67 %","-38.46 %","","","","","","",""," ##.## %"
"2020-04-21","-25.00 %","","","","-55.00 %","-40.00 %","-37.50 %","","","","","",""," ##.## %"," ##.## %"
"2020-04-22","","-76.00 %","",""," ##.## %","   .00 %"," 90.00 %",""," ##.## %","","","","","","-16.67 %"
"2020-04-23"," ##.## %"," ##.## %"," ##.## %",""," -5.26 %","-33.33 %"," 63.16 %","","-50.00 %","","","   .00 %","","",""
"2020-04-24","-33.33 %","","-66.67 %","","-38.89 %"," ##.## %","-12.90 %",""," 50.00 %","-66.67 %","","","","",""
"2020-04-25"," 25.00 %",""," 50.00 %","","-72.73 %"," 78.57 %","-48.15 %","",""," ##.## %","   .00 %","","","","-20.00 %"
"2020-04-26","-60.00 %","","-33.33 %",""," ##.## %"," ##.## %","-71.43 %","","   .00 %","","","",""," ##.## %","-25.00 %"
"2020-04-27","","","",""," ##.## %","-34.00 %"," ##.## %","",""," 75.00 %","-66.67 %","","","-75.00 %",""
"2020-04-28","-50.00 %","   .00 %","","","-26.09 %","-60.61 %"," ##.## %","","","-57.14 %","","","",""," ##.## %"
"2020-04-29"," ##.## %"," ##.## %","-50.00 %",""," 70.59 %","   .00 %","-72.50 %",""," 33.33 %","","   .00 %","   .00 %","","-33.33 %","-42.86 %"
"2020-04-30","-25.00 %","   .00 %"," ##.## %","","-86.21 %","-23.08 %"," ##.## %","","","   .00 %","","","","","   .00 %"
"2020-05-01"," ##.## %","","",""," ##.## %","","-41.86 %","","","","","   .00 %","","   .00 %"," 50.00 %"
"2020-05-02","-33.33 %","   .00 %","   .00 %","","-89.47 %","   .00 %","   .00 %","","-75.00 %","   .00 %",""," ##.## %","","-50.00 %","-33.33 %"
"2020-05-03"," 75.00 %","   .00 %","",""," ##.## %","-33.33 %"," 20.00 %","","","-83.33 %","","","","",""
"2020-05-04","","   .00 %","   .00 %",""," 72.73 %"," 50.00 %","-16.67 %","","","",""," 50.00 %","","","   .00 %"
"2020-05-05","-71.43 %","","","","-31.58 %","-33.33 %","   .00 %","   .00 %","","   .00 %","","-66.67 %","","   .00 %","-50.00 %"
"2020-05-06","","   .00 %","   .00 %",""," -7.69 %"," 75.00 %","-32.00 %"," -7.14 %","   .00 %","","","   .00 %","","   .00 %","-50.00 %"
"2020-05-07","   .00 %","","","","-16.67 %"," 14.29 %","-58.82 %","",""," ##.## %",""," ##.## %","   .00 %",""," ##.## %"
"2020-05-08"," ##.## %","   .00 %","","","-90.00 %","-62.50 %","   .00 %","","   .00 %","",""," 57.14 %","-66.67 %","   .00 %",""
"2020-05-09","-81.25 %"," ##.## %","",""," ##.## %"," ##.## %","-14.29 %","","","   .00 %","","-54.55 %","","",""
"2020-05-10"," 66.67 %"," 45.45 %","   .00 %",""," ##.## %","-93.75 %"," ##.## %","","   .00 %","   .00 %","","-80.00 %","","","   .00 %"
"2020-05-11"," 60.00 %","-43.75 %","","","-16.67 %"," ##.## %","-30.77 %","","","-80.00 %",""," ##.## %","","",""
"2020-05-12",""," 11.11 %","   .00 %","",""," 33.33 %","   .00 %"," ##.## %",""," ##.## %","","","","","   .00 %"
