"date","Connecticut/Fairfield","Connecticut/Hartford","Connecticut/Litchfield","Connecticut/Middlesex","Connecticut/New Haven","Connecticut/New London","Connecticut/Tolland","Connecticut/Unassigned","Connecticut/Windham"
"2020-03-22","","","","","","","","",""
"2020-03-23","","","","","","","","",""
"2020-03-24","","","","","","","","",""
"2020-03-25","","","","","","","","",""
"2020-03-26"," 25.08 %"," 21.60 %"," 32.18 %"," 28.17 %"," 44.80 %"," 35.56 %"," 19.47 %",""," 30.00 %"
"2020-03-27"," 29.86 %"," 28.99 %"," 35.82 %"," 35.94 %"," 53.26 %"," 38.63 %"," 19.47 %",""," 30.00 %"
"2020-03-28"," 28.04 %"," 30.53 %"," 39.15 %"," 31.68 %"," 46.24 %"," 37.30 %"," 19.04 %",""," 10.00 %"
"2020-03-29"," 27.02 %"," 25.89 %"," 32.07 %"," 38.82 %"," 26.56 %"," 28.35 %"," 16.91 %",""," 36.67 %"
"2020-03-30"," 21.80 %"," 23.43 %"," 28.05 %"," 27.64 %"," 24.66 %"," 22.35 %"," 13.49 %",""," 45.24 %"
"2020-03-31"," 25.44 %"," 23.46 %"," 22.80 %"," 26.04 %"," 27.82 %"," 15.96 %"," 11.45 %",""," 37.24 %"
"2020-04-01"," 21.91 %"," 19.94 %"," 20.82 %"," 21.83 %"," 22.99 %"," 14.37 %"," 13.23 %",""," 51.78 %"
"2020-04-02"," 19.23 %"," 18.79 %"," 17.34 %"," 21.85 %"," 22.91 %","  9.03 %"," 12.77 %",""," 53.89 %"
"2020-04-03"," 17.28 %"," 19.78 %"," 15.11 %"," 19.31 %"," 26.72 %"," 15.57 %"," 14.74 %"," 20.67 %"," 32.94 %"
"2020-04-04"," 14.87 %"," 17.25 %"," 10.18 %"," 14.97 %"," 23.06 %"," 20.07 %"," 12.77 %"," 22.78 %"," 27.33 %"
"2020-04-05"," 10.59 %"," 14.12 %"," 10.41 %"," 14.57 %"," 18.04 %"," 17.57 %"," 11.03 %"," 32.45 %"," 25.97 %"
"2020-04-06"," 13.73 %"," 13.74 %"," 12.10 %"," 15.54 %"," 19.67 %"," 18.89 %"," 11.16 %","  8.19 %"," 16.43 %"
"2020-04-07"," 14.50 %"," 14.45 %"," 12.75 %"," 15.34 %"," 21.16 %"," 25.05 %"," 10.75 %"," 11.50 %"," 15.82 %"
"2020-04-08","  9.03 %","  9.26 %","  8.21 %"," 10.75 %"," 13.62 %"," 17.46 %","  7.17 %","  6.44 %"," 10.11 %"
"2020-04-09"," 11.84 %"," 16.03 %"," 11.88 %"," 16.10 %"," 16.87 %"," 21.67 %"," 10.25 %"," 11.18 %"," 11.33 %"
"2020-04-10"," 11.46 %"," 17.30 %"," 12.20 %"," 17.52 %"," 16.01 %"," 24.11 %"," 10.56 %"," 13.52 %"," 13.38 %"
"2020-04-11","  7.95 %"," 16.49 %"," 11.28 %"," 17.14 %"," 13.53 %"," 25.02 %"," 11.15 %"," 12.14 %"," 10.75 %"
"2020-04-12","  6.17 %"," 13.69 %","  9.88 %"," 15.54 %"," 12.56 %"," 19.41 %"," 10.88 %"," 12.00 %","  9.25 %"
"2020-04-13","  7.87 %"," 17.13 %"," 12.01 %"," 18.21 %"," 15.36 %"," 22.78 %"," 12.31 %"," 11.60 %"," 14.40 %"
"2020-04-14","  4.96 %"," 10.11 %","  7.93 %"," 11.82 %"," 10.22 %"," 10.52 %","  6.80 %","  6.46 %"," 11.18 %"
"2020-04-15","  4.60 %","  9.84 %","  7.27 %","  9.76 %","  9.60 %","  8.87 %","  7.32 %","  5.84 %","  8.95 %"
"2020-04-16","  4.76 %","  9.40 %","  6.68 %","  6.38 %","  8.97 %","  6.76 %","  7.14 %","  3.32 %","  6.13 %"
"2020-04-17","  5.26 %","  9.60 %","  7.17 %","  7.18 %","  8.98 %","  9.12 %","  7.26 %","  -.11 %","  7.28 %"
"2020-04-18","  4.17 %","  7.36 %","  5.88 %","  5.74 %","  7.17 %","  7.33 %","  6.76 %","  1.50 %","  3.21 %"
"2020-04-19","  3.67 %","  7.20 %","  5.49 %","  5.42 %","  6.61 %","  8.40 %","  6.59 %","  -.06 %","  2.87 %"
"2020-04-20","  5.19 %","  8.33 %","  5.49 %","  5.02 %","  7.04 %","  8.61 %","  6.77 %","  -.78 %","  4.01 %"
"2020-04-21","  4.52 %","  6.75 %","  3.78 %","  5.39 %","  5.73 %","  7.73 %","  4.85 %"," -1.09 %","  5.20 %"
"2020-04-22","  6.88 %","  6.55 %","  4.96 %","  4.47 %","  5.17 %","  6.35 %","  5.15 %","  2.24 %","  5.83 %"
"2020-04-23","  6.53 %","  6.20 %","  4.92 %","  4.00 %","  5.05 %","  5.88 %","  5.91 %","   .01 %","  5.89 %"
"2020-04-24","  6.77 %","  6.47 %","  6.20 %","  3.97 %","  5.25 %","  5.74 %","  6.36 %","  -.14 %","  6.82 %"
"2020-04-25","  4.67 %","  4.49 %","  5.55 %","  3.55 %","  4.31 %","  5.86 %","  5.17 %","   .42 %","  6.95 %"
"2020-04-26","  4.61 %","  4.78 %","  6.14 %","  2.81 %","  4.10 %","  6.18 %","  5.97 %","   .85 %","  7.00 %"
"2020-04-27","  1.72 %","  4.56 %","  4.33 %","  3.01 %","  3.77 %","  5.39 %","  4.85 %"," -2.47 %","  6.11 %"
"2020-04-28","  1.67 %","  3.97 %","  3.71 %","  2.55 %","  3.18 %","  4.82 %","  3.30 %"," -1.17 %","  4.96 %"
"2020-04-29","  1.44 %","  3.35 %","  2.61 %","  2.38 %","  2.77 %","  3.82 %","  2.65 %","  -.51 %","  3.53 %"
"2020-04-30","  1.72 %","  3.31 %","  2.93 %","  2.67 %","  2.98 %","  3.59 %","  2.64 %"," -2.29 %","  4.35 %"
"2020-05-01","  1.98 %","  3.53 %","  3.27 %","  3.17 %","  3.31 %","  3.91 %","  1.85 %"," -6.23 %","  5.06 %"
"2020-05-02","  1.86 %","  3.47 %","  3.05 %","  3.04 %","  2.80 %","  3.86 %","  1.93 %"," -7.95 %","  5.27 %"
"2020-05-03","  1.66 %","  3.21 %","  2.87 %","  2.74 %","  2.53 %","  3.31 %","  1.79 %"," -8.24 %","  5.27 %"
"2020-05-04","  2.20 %","  2.78 %","  2.66 %","  2.49 %","  2.41 %","  3.51 %","  1.68 %"," -5.63 %","  5.72 %"
"2020-05-05","  1.83 %","  2.57 %","  2.05 %","  2.25 %","  2.05 %","  3.87 %","  2.85 %"," -3.58 %","  3.73 %"
"2020-05-06","  1.42 %","  1.95 %","  1.37 %","  1.56 %","  1.28 %","  3.16 %","  2.88 %"," -3.06 %","  3.93 %"
"2020-05-07","  1.45 %","  2.01 %","  1.47 %","  1.57 %","  1.59 %","  3.58 %","  2.56 %"," -1.19 %","  3.49 %"
"2020-05-08","  1.77 %","  2.47 %","  1.75 %","  1.86 %","  2.07 %","  3.93 %","  2.86 %","   .00 %","  3.41 %"
"2020-05-09","  1.25 %","  2.85 %","  1.75 %","  2.05 %","  2.31 %","  3.88 %","  3.11 %"," -6.98 %","  4.20 %"
