"date","Arizona/Apache","Arizona/Cochise","Arizona/Coconino","Arizona/Gila","Arizona/Graham","Arizona/Greenlee","Arizona/La Paz","Arizona/Maricopa","Arizona/Mohave","Arizona/Navajo","Arizona/Pima","Arizona/Pinal","Arizona/Santa Cruz","Arizona/Unassigned","Arizona/Yavapai","Arizona/Yuma"
"2020-03-22","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %"
"2020-03-31","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %"," 38.89 %","   .00 %","   .00 %"
"2020-04-01","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 56.58 %","   .00 %","   .00 %"
"2020-04-02","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 28.00 %","   .00 %","   .00 %"," 35.00 %","   .00 %","   .00 %"," 19.91 %","   .00 %","   .00 %"
"2020-04-03","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 28.00 %","   .00 %","   .00 %"," 35.00 %","   .00 %","   .00 %"," 69.91 %","   .00 %","   .00 %"
"2020-04-04","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 54.67 %","   .00 %","   .00 %"," 35.00 %","   .00 %","   .00 %"," 43.25 %","   .00 %","   .00 %"
"2020-04-05","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 56.81 %","   .00 %","   .00 %"," 36.82 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"
"2020-04-06","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 56.81 %","   .00 %","   .00 %"," 38.48 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"
"2020-04-07","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 31.39 %","   .00 %","   .00 %","  3.48 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"
"2020-04-08","   .00 %","   .00 %"," 28.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 32.53 %","   .00 %","   .00 %","  8.10 %","   .00 %","   .00 %"," 68.48 %","   .00 %","   .00 %"
"2020-04-09","   .00 %","   .00 %","  9.43 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.95 %","   .00 %","   .00 %","  8.10 %","   .00 %","   .00 %"," 95.14 %","   .00 %","   .00 %"
"2020-04-10","   .00 %","   .00 %","  9.43 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.80 %","   .00 %","   .00 %","  6.28 %","   .00 %","   .00 %"," 24.03 %","   .00 %","   .00 %"
"2020-04-11","   .00 %","   .00 %","  9.43 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.91 %","   .00 %","   .00 %","  4.62 %","   .00 %","   .00 %"," 26.34 %","   .00 %","   .00 %"
"2020-04-12","   .00 %","   .00 %","  9.43 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.33 %","   .00 %","   .00 %"," 20.87 %","   .00 %","   .00 %"," 13.51 %","   .00 %","   .00 %"
"2020-04-13","   .00 %","   .00 %","  9.43 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.31 %","   .00 %","   .00 %"," 16.25 %","   .00 %","   .00 %"," 12.73 %","   .00 %","   .00 %"
"2020-04-14","   .00 %","   .00 %","  8.95 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.00 %","   .00 %","   .00 %"," 16.25 %","   .00 %","   .00 %","  9.40 %","   .00 %","   .00 %"
"2020-04-15","   .00 %","   .00 %"," 10.77 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.22 %","   .00 %","   .00 %"," 16.25 %","   .00 %","   .00 %","  3.01 %","   .00 %","   .00 %"
"2020-04-16","   .00 %","   .00 %"," 12.44 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.45 %","   .00 %","   .00 %"," 16.25 %","   .00 %","   .00 %","  1.44 %","   .00 %","   .00 %"
"2020-04-17","   .00 %","   .00 %"," 12.44 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.01 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.27 %","   .00 %","   .00 %"
"2020-04-18","   .00 %","   .00 %","  6.74 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.18 %","   .00 %"," ##.## %"," 18.62 %","   .00 %","   .00 %","  -.09 %","   .00 %","   .00 %"
"2020-04-19","   .00 %","   .00 %","  3.72 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.84 %","   .00 %"," ##.## %"," 18.62 %","  3.33 %","   .00 %"," -6.76 %","   .00 %","   .00 %"
"2020-04-20","   .00 %","   .00 %","  5.75 %","   .00 %","   .00 %","   .00 %","   .00 %","  4.61 %","   .00 %"," ##.## %"," 19.33 %","  3.33 %","   .00 %"," -9.26 %","   .00 %","   .00 %"
"2020-04-21","  5.00 %","   .00 %","  4.08 %","   .00 %","   .00 %","   .00 %","   .00 %","  5.41 %"," 40.00 %"," ##.## %"," 21.75 %","  3.33 %","   .00 %","-30.00 %","   .00 %","   .00 %"
"2020-04-22","  5.00 %","   .00 %","  6.67 %","   .00 %","   .00 %","   .00 %","   .00 %","  7.23 %"," 40.00 %"," ##.## %"," 22.67 %","  6.19 %","   .00 %","-40.00 %","   .00 %","   .00 %"
"2020-04-23","  5.00 %","   .00 %","  2.64 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.65 %"," 40.00 %","  3.48 %","  4.64 %","  6.19 %","   .00 %","-20.00 %","   .00 %","   .00 %"
