"date","New Jersey/Atlantic","New Jersey/Bergen","New Jersey/Burlington","New Jersey/Camden","New Jersey/Cape May","New Jersey/Cumberland","New Jersey/Essex","New Jersey/Gloucester","New Jersey/Hudson","New Jersey/Hunterdon","New Jersey/Mercer","New Jersey/Middlesex","New Jersey/Monmouth","New Jersey/Morris","New Jersey/Ocean","New Jersey/Passaic","New Jersey/Salem","New Jersey/Somerset","New Jersey/Sussex","New Jersey/Unassigned","New Jersey/Union","New Jersey/Warren"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","1","152","10","11","0","0","101","5","64","2","10","63","80","58","42","46","0","16","3","198","65","3"
"2020-03-24","0","92","6","18","1","1","69","6","44","7","8","67","50","27","36","75","0","35","3","226","57","3"
"2020-03-25","6","118","6","10","1","1","39","4","26","0","24","39","25","19","42","39","0","15","9","285","16","3"
"2020-03-26","-2","387","16","12","2","1","228","10","181","14","29","189","188","92","167","144","1","62","22","548","170","13"
"2020-03-27","4","299","24","22","1","5","217","7","153","13","20","135","133","76","95","85","1","43","16","506","87","7"
"2020-03-28","3","333","27","28","0","2","260","11","177","9","37","168","147","51","140","124","0","36","16","494","223","13"
"2020-03-29","7","331","27","40","2","0","141","21","203","5","34","130","89","124","135","223","0","37","12","542","154","5"
"2020-03-30","5","313","36","37","0","1","337","17","340","13","47","185","160","154","115","260","0","54","20","827","317","12"
"2020-03-31","2","427","24","28","3","6","336","25","292","18","19","154","110","121","148","203","9","64","19","-161","205","8"
"2020-04-01","9","585","53","61","10","9","362","35","304","20","65","216","161","101","187","200","7","59","26","826","243","20"
"2020-04-02","10","605","39","54","12","4","355","20","360","13","53","273","157","140","162","256","1","77","21","354","349","20"
"2020-04-03","22","767","73","63","10","5","450","14","565","18","98","359","285","216","314","466","5","92","31","-58","477","33"
"2020-04-04","26","894","102","75","6","4","517","32","656","23","102","453","322","320","318","640","0","124","26","-873","429","33"
"2020-04-05","23","427","78","75","27","14","498","33","433","18","68","372","289","182","174","371","1","68","31","-114","300","13"
"2020-04-06","11","675","99","89","8","10","411","31","471","22","86","313","191","156","197","529","3","69","25","-300","469","20"
"2020-04-07","12","671","87","91","9","7","585","32","554","23","97","454","225","283","267","348","2","131","39","-1314","683","40"
"2020-04-08","24","341","68","102","6","9","520","29","488","21","155","439","268","229","215","268","5","127","26","-816","463","34"
"2020-04-09","23","469","82","152","9","31","471","73","442","31","169","472","210","177","237","318","7","175","35","-395","372","30"
"2020-04-10","20","585","71","82","7","27","511","34","532","7","121","432","248","126","176","327","3","188","21","-347","372","18"
"2020-04-11","19","434","77","108","13","16","427","40","440","8","152","346","155","154","134","278","10","119","43","275","290","25"
"2020-04-12","23","422","64","90","16","11","403","45","618","13","133","287","134","174","151","295","5","90","27","350","315","33"
"2020-04-13","14","308","60","131","19","22","224","34","410","11","79","294","90","126","39","360","5","77","25","-71","456","21"
"2020-04-14","17","334","52","76","5","14","578","21","363","24","85","326","128","199","240","488","7","102","27","499","629","26"
"2020-04-15","38","422","54","110","9","9","367","15","269","7","125","263","119","101","183","312","11","90","16","-513","173","26"
"2020-04-16","22","561","65","147","8","13","505","22","654","17","181","418","177","176","256","567","11","102","27","-141","466","33"
"2020-04-17","26","454","40","73","3","40","588","40","471","12","86","314","115","121","152","287","7","92","13","-329","525","20"
"2020-04-18","12","300","90","111","10","9","229","19","320","6","92","316","114","162","124","332","3","88","35","29","530","22"
"2020-04-19","16","476","131","213","7","36","403","54","530","16","180","393","141","152","100","352","11","101","33","-163","650","49"
"2020-04-20","12","372","76","124","6","30","425","33","664","12","196","329","118","100","220","191","4","104","21","0","363","21"
"2020-04-21","59","345","102","124","5","22","399","38","71","4","0","0","0","0","0","0","0","0","8","2488","0","0"
"2020-04-22","36","330","113","149","10","22","259","48","867","11","254","701","299","320","366","913","14","200","55","-2028","512","76"
"2020-04-23","39","363","91","155","9","42","424","43","593","30","146","483","152","124","210","482","30","110","41","63","451","30"
"2020-04-24","22","314","85","67","11","42","299","24","330","26","95","259","130","36","168","417","5","123","11","-576","273","10"
"2020-04-25","30","375","99","120","14","38","410","26","356","15","159","286","153","105","199","447","8","109","17","0","315","21"
"2020-04-26","42","227","180","113","20","16","343","27","341","31","110","567","150","155","151","399","4","114","43","149","330","28"
"2020-04-27","111","139","74","141","0","75","184","135","217","28","78","125","88","54","62","212","31","60","9","137","158","32"
"2020-04-28","119","147","136","161","18","64","143","68","384","9","172","335","67","98","127","406","7","74","18","-100","177","38"
"2020-04-29","40","195","63","100","6","28","255","29","287","10","120","334","81","85","102","430","8","94","18","0","192","32"
"2020-04-30","56","164","84","134","18","36","237","43","320","20","212","279","126","74","122","264","4","92","21","-240","198","23"
"2020-05-01","48","220","79","127","11","23","312","31","232","5","140","232","99","67","130","365","6","73","15","105","201","17"
"2020-05-02","38","144","110","127","3","63","254","52","253","14","194","266","66","52","187","268","24","68","13","93","217","21"
"2020-05-03","25","211","164","200","7","72","273","50","368","39","233","384","92","111","179","282","9","98","20","-35","229","16"
"2020-05-04","60","97","57","100","11","59","100","49","112","4","90","171","88","32","103","132","42","50","10","6","132","20"
"2020-05-05","55","178","107","178","14","45","219","34","218","14","149","374","112","76","86","301","35","67","8","-97","146","5"
"2020-05-06","56","60","28","56","9","74","111","32","98","3","117","112","62","30","65","174","6","40","8","44","101","11"
"2020-05-07","56","89","132","172","23","31","264","49","945","3","126","157","97","47","84","162","5","54","11","-594","177","11"
"2020-05-08","121","100","64","140","23","34","135","45","223","16","125","206","103","65","68","147","5","54","9","0","136","30"
"2020-05-09","71","95","100","139","18","121","194","38","0","5","122","142","63","66","89","148","37","28","8","0","67","6"
"2020-05-10","16","125","43","112","16","42","102","23","148","8","84","178","79","21","96","115","11","58","3","0","73","4"
"2020-05-11","23","99","91","89","4","76","81","36","288","9","76","99","94","22","107","102","0","39","7","0","107","3"
"2020-05-12","25","63","32","84","9","64","99","20","-124","6","33","85","53","32","64","71","7","22","13","0","39","14"
"2020-05-13","26","59","29","56","8","20","79","18","-226","3","73","120","49","18","55","41","10","12","-4","89","103","5"
"2020-05-14","65","-70","56","73","4","24","0","28","151","32","113","91","74","28","54","130","10","32","4","164","79","2"
"2020-05-15","29","115","67","83","4","17","198","32","446","13","61","97","60","36","87","43","8","22","4","-253","107","4"
"2020-05-16","38","51","26","126","13","104","48","23","0","18","46","85","73","22","49","101","11","31","3","155","77","5"
"2020-05-17","42","115","62","74","3","16","53","21","450","13","106","154","42","24","35","174","2","43","7","-155","133","1"
"2020-05-18","49","98","49","118","3","71","508","75","0","38","125","84","69","56","81","73","6","23","1","0","201","8"
"2020-05-19","31","63","14","71","12","80","35","28","181","39","68","82","62","8","73","93","5","34","4","0","128","5"
"2020-05-20","37","-4","58","94","13","71","205","31","201","35","144","120","71","39","98","55","11","37","4","0","91","9"
"2020-05-21","20","65","39","80","3","39","28","36","0","5","43","103","96","16","49","71","3","41","8","0","54","11"
"2020-05-22","24","70","120","105","11","52","34","29","0","13","90","108","58","16","71","107","39","26","-2","0","15","7"
"2020-05-23","17","15","35","30","13","3","146","13","79","0","56","50","25","21","31","6","12","9","4","0","-5","1"
