"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-24","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-25","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %"
"2020-03-31","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-01","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %"
"2020-04-02","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"
"2020-04-03","   .00 %","   .00 %","   .00 %","   .00 %"," -8.33 %","   .00 %"
"2020-04-04","   .00 %","   .00 %","   .00 %","   .00 %"," 27.27 %","   .00 %"
"2020-04-05","   .00 %","   .00 %","   .00 %","   .00 %"," 57.14 %","   .00 %"
"2020-04-06","   .00 %","   .00 %","   .00 %","   .00 %","  9.09 %","   .00 %"
"2020-04-07","   .00 %","   .00 %","   .00 %","   .00 %"," 12.50 %","   .00 %"
"2020-04-08","   .00 %","   .00 %","   .00 %","   .00 %"," 18.52 %","   .00 %"
"2020-04-09","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %"
"2020-04-10","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-11","   .00 %","   .00 %","   .00 %","   .00 %"," 32.50 %","   .00 %"
"2020-04-12","   .00 %","   .00 %","   .00 %","   .00 %"," 13.21 %","   .00 %"
"2020-04-13","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-14","   .00 %","   .00 %","   .00 %","   .00 %"," 28.33 %","   .00 %"
"2020-04-15","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-16","   .00 %","   .00 %","   .00 %","   .00 %","  9.09 %","   .00 %"
"2020-04-17","   .00 %","   .00 %","   .00 %","   .00 %"," 36.90 %","   .00 %"
"2020-04-18","   .00 %","   .00 %","   .00 %","   .00 %"," 16.52 %","   .00 %"
"2020-04-19","   .00 %","   .00 %","   .00 %","   .00 %","  9.70 %","   .00 %"
"2020-04-20","   .00 %","   .00 %","   .00 %","   .00 %","  3.40 %","   .00 %"
"2020-04-21","   .00 %","   .00 %","   .00 %","   .00 %"," 10.53 %","   .00 %"
"2020-04-22","   .00 %","   .00 %","   .00 %","   .00 %","  5.95 %","   .00 %"
"2020-04-23","   .00 %","   .00 %","   .00 %","-##.## %","  6.18 %","   .00 %"
"2020-04-24","   .00 %","   .00 %","   .00 %","   .00 %","  6.88 %","   .00 %"
