"date","Goa/North Goa","Goa/Other State","Goa/South Goa"
"2020-03-25","3","",""
"2020-04-04","4","",""
"2020-05-14","","","8"
"2020-05-16","","","13"
"2020-05-17","","","22"
"2020-05-18","","","31"
"2020-05-19","","","39"
"2020-05-20","","","43"
"2020-05-21","","","45"
"2020-05-22","","","47"
"2020-05-23","","","48"
"2020-05-24","","","59"
"2020-05-25","","","59"
"2020-05-30","","","60"
"2020-05-31","","","61"
"2020-06-01","","","63"
"2020-06-02","","","69"
"2020-06-03","","","116"
"2020-06-04","","","156"
"2020-06-05","","","186"
"2020-06-06","","","248"
"2020-06-07","","","278"
"2020-06-08","","","323"
"2020-06-09","","","352"
"2020-06-10","","4","376"
"2020-06-11","","55","355"
"2020-06-12","","60","394"
"2020-06-13","","65","448"
"2020-06-14","4","67","483"
"2020-06-15","","68","500"
"2020-06-16","4","76","530"
"2020-06-17","5","","546"
"2020-06-18","8","76","586"
"2020-06-19","15","77","590"
"2020-06-20","","78","607"
"2020-06-21","22","82","654"
"2020-06-22","25","89","678"
"2020-06-23","27","","691"
"2020-06-24","37","89","693"
"2020-06-25","41","96","712"
"2020-06-26","47","100","726"
"2020-06-27","58","100","757"
"2020-06-28","61","106","779"
"2020-06-29","84","113","793"
"2020-06-30","102","116","794"
"2020-07-01","120","125","798"
"2020-07-02","141","","832"
"2020-07-03","174","","861"
"2020-07-04","230","125","924"
"2020-07-05","281","126","931"
"2020-07-06","307","130","956"
"2020-07-07","347","133","965"
"2020-07-08","369","133","1057"
"2020-07-09","393","133","1111"
"2020-07-10","430","133","1123"
"2020-07-11","458","137","1145"
"2020-07-12","497","149","1162"
"2020-07-13","552","151","1274"
"2020-07-14","601","152","1349"
"2020-07-15","641","155","1481"
"2020-07-16","702","155","1497"
"2020-07-17","769","158","1543"
"2020-07-18","769","161","1687"
"2020-07-19","778","167","1687"
"2020-07-20","783","174","1725"
"2020-07-21","807","174","1797"
"2020-07-22","824","174","1848"
"2020-07-23","855","177","1874"
"2020-07-24","855","177","1874"
"2020-07-25","855","177","1914"
"2020-07-26","855","177","1914"
"2020-07-27","917","186","1968"
"2020-07-28","917","186","1973"
"2020-07-29","917","186","2011"
"2020-07-30","925","186","2025"
"2020-07-31","944","186","2031"
"2020-08-01","991","186","2043"
"2020-08-02","1053","186","2099"
"2020-08-03","1105","186","2126"
"2020-08-04","1129","186","2132"
"2020-08-05","1201","187","2234"
"2020-08-06","1249","","2234"
"2020-08-07","1249","188","2430"
"2020-08-08","1373","188","2430"
"2020-08-09","1448","188","2669"
"2020-08-10","1448","188","2669"
"2020-08-11","1603","","2765"
"2020-08-12","1770","189","2916"
"2020-08-13","1988","190","2996"
"2020-08-14","2131","","3084"
"2020-08-15","2192","","3084"
"2020-08-16","2239","","3084"
"2020-08-17","2255","190","3142"
"2020-08-18","2282","191","3155"
"2020-08-19","2330","192","3155"
"2020-08-20","2332","194","3225"
"2020-08-21","2332","195","3225"
"2020-08-22","2332","","3225"
"2020-08-23","2332","196","3225"
"2020-08-24","2332","197","3225"
"2020-08-25","2332","","3316"
"2020-08-26","2484","","3374"
"2020-08-27","2502","","3456"
"2020-08-28","2549","197","3505"
"2020-08-29","2666","198","3505"
"2020-08-30","2666","200","3510"
"2020-08-31","2666","200","3510"
