"date","Minnesota/Aitkin","Minnesota/Anoka","Minnesota/Becker","Minnesota/Beltrami","Minnesota/Benton","Minnesota/Big Stone","Minnesota/Blue Earth","Minnesota/Brown","Minnesota/Carlton","Minnesota/Carver","Minnesota/Cass","Minnesota/Chippewa","Minnesota/Chisago","Minnesota/Clay","Minnesota/Clearwater","Minnesota/Cook","Minnesota/Cottonwood","Minnesota/Crow Wing","Minnesota/Dakota","Minnesota/Dodge","Minnesota/Douglas","Minnesota/Faribault","Minnesota/Fillmore","Minnesota/Freeborn","Minnesota/Goodhue","Minnesota/Grant","Minnesota/Hennepin","Minnesota/Houston","Minnesota/Hubbard","Minnesota/Isanti","Minnesota/Itasca","Minnesota/Jackson","Minnesota/Kanabec","Minnesota/Kandiyohi","Minnesota/Kittson","Minnesota/Koochiching","Minnesota/Lac qui Parle","Minnesota/Lake","Minnesota/Lake of the Woods","Minnesota/Le Sueur","Minnesota/LeSeur","Minnesota/Lincoln","Minnesota/Lyon","Minnesota/Mahnomen","Minnesota/Marshall","Minnesota/Martin","Minnesota/McLeod","Minnesota/Meeker","Minnesota/Mille Lacs","Minnesota/Morrison","Minnesota/Mower","Minnesota/Murray","Minnesota/Nicollet","Minnesota/Nobles","Minnesota/Norman","Minnesota/Olmsted","Minnesota/Otter Tail","Minnesota/Pennington","Minnesota/Pine","Minnesota/Pipestone","Minnesota/Polk","Minnesota/Pope","Minnesota/Ramsey","Minnesota/Red Lake","Minnesota/Redwood","Minnesota/Renville","Minnesota/Rice","Minnesota/Rock","Minnesota/Roseau","Minnesota/Scott","Minnesota/Sherburne","Minnesota/Sibley","Minnesota/St. Louis","Minnesota/Stearns","Minnesota/Steele","Minnesota/Stevens","Minnesota/Swift","Minnesota/Todd","Minnesota/Traverse","Minnesota/Unassigned","Minnesota/Wabasha","Minnesota/Wadena","Minnesota/Waseca","Minnesota/Washington","Minnesota/Watonwan","Minnesota/Wilkin","Minnesota/Winona","Minnesota/Wright","Minnesota/Yellow Medicine"
"2020-04-01",""," 13.04 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","","   .00 %"," 16.67 %","   .00 %",""," 50.00 %","   .00 %","  2.13 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","","  6.86 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","","   .00 %"," ##.## %","   .00 %",""," 16.00 %","","   .00 %","","","  7.69 %","","   .00 %","",""," 15.09 %","   .00 %","","","","",""," 17.86 %","","","   .00 %"," 33.33 %","","","   .00 %","   .00 %","   .00 %","  8.33 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %"," 12.82 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-02",""," 15.38 %","","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %"," 50.00 %","   .00 %","   .00 %","","   .00 %"," 14.29 %","   .00 %",""," 66.67 %"," ##.## %","  8.33 %","   .00 %","   .00 %","   .00 %"," 12.50 %"," ##.## %","   .00 %","","  7.80 %","","","   .00 %"," ##.## %","   .00 %","","   .00 %","","   .00 %","   .00 %","",""," 20.00 %","","   .00 %"," 50.00 %","   .00 %","","   .00 %","","   .00 %","","","  7.14 %","","   .00 %","","","  8.20 %","   .00 %","","","","","","  1.52 %","",""," ##.## %","-25.00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","  4.55 %"," 50.00 %","   .00 %"," 10.00 %"," 16.67 %","   .00 %"
"2020-04-03",""," 13.33 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 66.67 %","   .00 %","   .00 %",""," 33.33 %","   .00 %","   .00 %","","   .00 %"," 50.00 %","  3.85 %","   .00 %","   .00 %"," 50.00 %","   .00 %"," 40.00 %"," 25.00 %","","  2.98 %","","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","  5.56 %","","   .00 %","   .00 %","   .00 %",""," 10.34 %","","   .00 %","","","   .00 %","","   .00 %","",""," 15.15 %","   .00 %","","","","","","  5.97 %","","","   .00 %","   .00 %","",""," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %"," 10.87 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"
"2020-04-04","","  5.88 %",""," 25.00 %","   .00 %","   .00 %"," 40.00 %"," 50.00 %"," 60.00 %","   .00 %","   .00 %","","   .00 %"," 62.50 %","   .00 %","","   .00 %"," 66.67 %","  3.70 %","   .00 %","   .00 %","   .00 %","   .00 %"," 42.86 %"," 60.00 %","","  4.13 %","",""," 50.00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","  5.26 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","",""," 13.33 %",""," 33.33 %","",""," 15.79 %","   .00 %","","","","   .00 %",""," 11.27 %","","","   .00 %"," 33.33 %","","","  9.09 %"," 12.50 %","   .00 %","   .00 %"," 20.00 %"," 33.33 %","","","","   .00 %","   .00 %","   .00 %","","   .00 %","  5.88 %","   .00 %","   .00 %"," 18.18 %"," 14.29 %","   .00 %"
"2020-04-05","","   .00 %",""," 20.00 %","   .00 %","   .00 %","  7.14 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"," 20.00 %"," 12.50 %","   .00 %","   .00 %","   .00 %"," 11.11 %","   .00 %"," 25.00 %","","  5.95 %","   .00 %",""," 33.33 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","  7.95 %","   .00 %","","","   .00 %","   .00 %",""," 15.19 %","","","   .00 %","   .00 %","","","  8.33 %"," 11.11 %","   .00 %"," 15.38 %","   .00 %","   .00 %","","","","   .00 %"," ##.## %","   .00 %","","   .00 %"," 14.81 %"," 33.33 %","   .00 %","  7.69 %"," 12.50 %","   .00 %"
"2020-04-06",""," 11.11 %","","   .00 %","   .00 %","   .00 %","  6.67 %"," 66.67 %"," 25.00 %","   .00 %","   .00 %",""," 25.00 %"," 46.15 %","   .00 %","","   .00 %","   .00 %","  6.35 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","","  4.87 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %",""," ##.## %"," 33.33 %","   .00 %","","  3.12 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","","","  1.05 %"," ##.## %","","","   .00 %","   .00 %","","  5.49 %","","   .00 %","   .00 %","   .00 %","",""," 15.38 %","   .00 %","   .00 %","  6.67 %","   .00 %","   .00 %","","","","   .00 %","-14.29 %","   .00 %","","   .00 %","  4.84 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-07","","  5.00 %","","   .00 %","   .00 %","   .00 %"," 37.50 %"," 40.00 %"," 30.00 %","   .00 %"," ##.## %","","   .00 %","   .00 %","   .00 %","","   .00 %"," 50.00 %","  5.97 %"," 10.00 %","   .00 %","   .00 %","   .00 %"," 27.27 %"," 20.00 %",""," 10.71 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","  3.03 %","   .00 %","   .00 %","","","  5.88 %","   .00 %","   .00 %","","","  7.29 %","   .00 %","","","   .00 %","   .00 %","","  5.21 %","","   .00 %","   .00 %","   .00 %","","","  6.67 %","   .00 %","   .00 %","  6.25 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","  4.62 %","   .00 %","   .00 %"," 14.29 %"," 33.33 %","   .00 %"
"2020-04-08","","  9.52 %","","   .00 %","   .00 %","   .00 %"," -4.55 %","   .00 %","  7.69 %","   .00 %","   .00 %","","   .00 %","  5.26 %","   .00 %","","   .00 %"," 11.11 %","  5.63 %"," 18.18 %","   .00 %","   .00 %","   .00 %"," 21.43 %","  8.33 %",""," 10.97 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %"," 25.00 %","","","  4.85 %","   .00 %","","","   .00 %","   .00 %",""," 10.89 %","","   .00 %","   .00 %","   .00 %","","   .00 %","  6.25 %","   .00 %","   .00 %"," 64.71 %"," 16.67 %","   .00 %","","   .00 %","","   .00 %","-33.33 %","   .00 %","","   .00 %","  2.94 %","   .00 %","   .00 %"," 18.75 %","   .00 %"," ##.## %"
"2020-04-09",""," 15.22 %","","-16.67 %","   .00 %","   .00 %","  4.76 %","   .00 %","  7.14 %","   .00 %","   .00 %","","   .00 %"," 15.00 %","   .00 %","","   .00 %"," 30.00 %","  5.33 %","   .00 %","   .00 %"," 33.33 %","   .00 %"," 17.65 %","  7.69 %","","  9.01 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %"," 25.00 %","   .00 %","","  2.94 %"," ##.## %"," ##.## %","",""," 11.11 %","   .00 %","   .00 %","","","  5.56 %"," 50.00 %","","","   .00 %","   .00 %","","  8.04 %","","   .00 %","   .00 %","   .00 %","","   .00 %"," 11.76 %","-10.00 %","   .00 %"," 17.86 %","   .00 %","   .00 %","","   .00 %","","   .00 %","-50.00 %","   .00 %","","   .00 %","  2.86 %","   .00 %"," ##.## %","  5.26 %","   .00 %","   .00 %"
"2020-04-10","","  3.77 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %","   .00 %",""," 20.00 %"," 26.09 %","   .00 %","","   .00 %","   .00 %","  7.59 %","  7.69 %","   .00 %","   .00 %","   .00 %","  5.00 %","   .00 %",""," 10.67 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","","  2.86 %","   .00 %","   .00 %","",""," 10.00 %","   .00 %"," 20.00 %","   .00 %",""," 10.53 %","   .00 %","","   .00 %","   .00 %","   .00 %","","  2.48 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","  3.03 %","   .00 %"," 12.50 %","","   .00 %","","   .00 %","-50.00 %","   .00 %","","   .00 %","  1.39 %","   .00 %"," 20.00 %"," 30.00 %"," 16.67 %","   .00 %"
