"date","Alaska/Aleutians East","Alaska/Aleutians West","Alaska/Anchorage","Alaska/Bethel","Alaska/Bristol Bay","Alaska/Denali","Alaska/Dillingham","Alaska/Fairbanks North Star","Alaska/Haines","Alaska/Hoonah-Angoon","Alaska/Juneau","Alaska/Kenai Peninsula","Alaska/Ketchikan Gateway","Alaska/Kodiak Island","Alaska/Kusilvak","Alaska/Lake and Peninsula","Alaska/Matanuska-Susitna","Alaska/Nome","Alaska/North Slope","Alaska/Northwest Arctic","Alaska/Petersburg","Alaska/Prince of Wales-Hyder","Alaska/Sitka","Alaska/Skagway","Alaska/Soldotna","Alaska/Southeast Fairbanks","Alaska/Sterling","Alaska/Unassigned","Alaska/Valdez-Cordova","Alaska/Wrangell","Alaska/Yakutat","Alaska/Yukon-Koyukuk"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-31","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","",""," 20.00 %","","","",""
"2020-04-01","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","",""," 20.00 %","","","",""
"2020-04-02","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","","","","","","",""," 20.00 %","","","",""
"2020-04-03","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %",""," 20.00 %","","","","   .00 %"
"2020-04-04","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %",""," 20.00 %","","","","   .00 %"
"2020-04-05","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %",""," 25.00 %","","","","   .00 %"
"2020-04-06","","","   .00 %","","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %",""," 25.00 %","","","","   .00 %"
"2020-04-07","",""," 60.00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %","","  9.00 %","","","","   .00 %"
"2020-04-08","",""," 60.00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %",""," 29.00 %","","","","   .00 %"
"2020-04-09","",""," 60.00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %","","  9.00 %","","","","   .00 %"
"2020-04-10","",""," 60.00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","","","","","   .00 %","","  4.00 %","","","","   .00 %"
"2020-04-11","",""," 60.00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %",""," 14.00 %","","","","   .00 %"
"2020-04-12","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %",""," 30.00 %","","","","   .00 %"
"2020-04-13","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %",""," 10.00 %","","","","   .00 %"
"2020-04-14","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %","   .00 %","","","","   .00 %",""," 16.67 %","","","","   .00 %"
"2020-04-15","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %",""," 16.67 %","","","","   .00 %"
"2020-04-16","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","  6.67 %","","","","   .00 %"
"2020-04-17","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","  6.67 %","","","","   .00 %"
"2020-04-18","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","  6.67 %","","","","   .00 %"
"2020-04-19","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-20","","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","","","   .00 %","   .00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
