"date","Nevada/Carson City","Nevada/Churchill","Nevada/Clark","Nevada/Douglas","Nevada/Elko","Nevada/Elko County","Nevada/Esmeralda","Nevada/Eureka","Nevada/Humboldt","Nevada/Lander","Nevada/Lincoln","Nevada/Lyon","Nevada/Mineral","Nevada/Nye","Nevada/Pershing","Nevada/Storey","Nevada/Unassigned","Nevada/Washoe","Nevada/White Pine"
"2020-03-22","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %"," 43.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %"," 23.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %"," 31.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %"," 21.33 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","   .00 %","   .00 %"
"2020-03-31","   .00 %",""," 34.19 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","-20.00 %"," 40.00 %","   .00 %"
"2020-04-01","   .00 %",""," 25.20 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," 40.00 %","   .00 %"
"2020-04-02","   .00 %",""," 29.49 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," 46.67 %","   .00 %"
"2020-04-03","   .00 %",""," 24.43 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," 46.67 %","   .00 %"
"2020-04-04","   .00 %",""," 25.46 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %"," 46.67 %","   .00 %"
"2020-04-05","   .00 %",""," 12.60 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","  6.67 %","   .00 %"
"2020-04-06","   .00 %","","  8.25 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","  6.67 %","   .00 %"
"2020-04-07","   .00 %",""," 10.31 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","   .00 %","  5.00 %","   .00 %"
"2020-04-08","   .00 %",""," 11.44 %","   .00 %","   .00 %","","","","   .00 %","","","   .00 %","","   .00 %","","","-20.00 %","  9.00 %","   .00 %"
"2020-04-09","   .00 %",""," 12.26 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-20.00 %"," 15.67 %","   .00 %"
"2020-04-10","   .00 %",""," 13.39 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""," 40.00 %"," 20.67 %","   .00 %"
"2020-04-11","   .00 %",""," 13.39 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""," ##.## %"," 20.67 %","   .00 %"
"2020-04-12","   .00 %",""," 13.71 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""," 80.00 %"," 17.67 %","   .00 %"
"2020-04-13","   .00 %","","  9.84 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""," ##.## %"," 15.48 %","   .00 %"
"2020-04-14","   .00 %","","  8.98 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""," ##.## %","  8.82 %","   .00 %"
"2020-04-15","   .00 %","","  9.55 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","",""," 20.00 %","  7.15 %","   .00 %"
"2020-04-16","   .00 %","   .00 %","  9.55 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-40.00 %","  7.15 %","   .00 %"
"2020-04-17","   .00 %","   .00 %","  4.45 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-36.67 %","  6.58 %","   .00 %"
"2020-04-18","   .00 %","   .00 %","  5.71 %","   .00 %","   .00 %","","","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","-56.67 %","  6.10 %","   .00 %"
"2020-04-19","   .00 %","   .00 %","  5.32 %","   .00 %","   .00 %","","",""," 20.00 %","","   .00 %","   .00 %","","   .00 %","","","-56.67 %","  8.60 %","   .00 %"
"2020-04-20","   .00 %","   .00 %","  3.62 %","   .00 %","   .00 %","","",""," 20.00 %","","   .00 %","   .00 %","","   .00 %","","","-36.67 %","  5.26 %","   .00 %"
"2020-04-21","   .00 %","   .00 %","  4.20 %","   .00 %","   .00 %","","",""," 20.00 %","","   .00 %","   .00 %","","   .00 %","","","-36.67 %","  5.26 %","   .00 %"
"2020-04-22","   .00 %","   .00 %","  3.91 %","   .00 %","   .00 %","","",""," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","","-20.00 %","  3.83 %","   .00 %"
"2020-04-23","   .00 %","   .00 %","  4.20 %","   .00 %","   .00 %","","","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.94 %","   .00 %"
"2020-04-24","   .00 %","   .00 %","  4.21 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-12.00 %","  4.44 %","   .00 %"
"2020-04-25","   .00 %","-20.00 %","  4.92 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-32.00 %","  8.99 %","   .00 %"
"2020-04-26","   .00 %","-20.00 %","  4.34 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-32.00 %","  8.99 %","   .00 %"
"2020-04-27","   .00 %","-20.00 %","  3.06 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-32.00 %","  8.99 %","   .00 %"
