"date","Assam/.","Assam/Airport","Assam/Airport Quarantine","Assam/Baksa","Assam/Barpeta","Assam/Biswanath","Assam/Bongaigaon","Assam/Cachar","Assam/Charaideo","Assam/Chirang","Assam/Darrang","Assam/Dhemaji","Assam/Dhubri","Assam/Dibrugarh","Assam/Dima Hasao","Assam/Goalpara","Assam/Golaghat","Assam/Hailakandi","Assam/Hojai","Assam/Jorhat","Assam/Kamrup","Assam/Kamrup Metropolitan","Assam/Karbi Anglong","Assam/KarimganJ","Assam/Karimganj","Assam/Kishanganj","Assam/KokraJhar","Assam/Kokrajhar","Assam/LakhImpur","Assam/Lakhimpur","Assam/Majuli","Assam/Morigaon","Assam/Nagaon","Assam/Nalbari","Assam/Other State","Assam/Others","Assam/Sarusajai Quarantine Centre","Assam/Sivasagar","Assam/Sonitpur","Assam/South Salmara Mankachar","Assam/Tinsukia","Assam/Tinsukla","Assam/Udalguri","Assam/West Karbi Anglong","Assam/cachar"
"2020-03-31","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","","   .00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","","   .00 %"," 25.00 %","","","","","","","","","","   .00 %","","   .00 %","","","","","","   .00 %","","","","",""
"2020-04-04","","","","","","",""," ##.## %","","","","","","","","","   .00 %","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","","","","","","","","","","","","","","","","",""," 20.00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","",""," 50.00 %","",""," 33.33 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","",""," 33.33 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","",""
"2020-04-28","","","","","","","   .00 %","","","","","","","",""," 25.00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","   .00 %","","","   .00 %","","","","","","","","","",""
"2020-05-05","","","","","","","","","","","","","","",""," 20.00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","",""
"2020-05-06","","","","","","",""," 50.00 %","","","","","   .00 %","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","",""
"2020-05-07","","","","","","",""," ##.## %","","","","","","","","","","","","",""," 66.67 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-08","","","","","","",""," 71.43 %","","","","","","","","","","","","",""," 10.00 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","","","","","","","","","",""," 37.50 %",""," -9.09 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-10","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","","","   .00 %","","","","","","","","","","","","","",""," 10.00 %","","","","","","","","",""," 33.33 %","","","","","","","","","","","","",""
"2020-05-13","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","","","","","","","","","","","","","","","","",""," 30.77 %","","","","","","","","","","-25.00 %","","","","","","","","","","","","",""
"2020-05-15","","","","","","","","   .00 %","","","","","","","","","","","","","","  8.82 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-16","","","","","","","","","","","","","","","","","","","","","","  5.41 %","","","","","","","","","","","","","","","","","   .00 %","","","","","",""
"2020-05-17","","","","","","","","  8.33 %","","","","","","","","","","","","  9.09 %",""," 12.82 %","","","","","","","","","","","","","","","","   .00 %","","","","","","",""
"2020-05-18","","","","","","",""," 15.38 %","","","","","","","",""," ##.## %","",""," 16.67 %",""," 15.91 %","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","","   .00 %","","","","","","","","","",""," 40.00 %","","   .00 %","  7.14 %"," ##.## %"," 39.22 %","",""," ##.## %","",""," ##.## %","","","","","   .00 %"," 66.67 %","","","","","","","","","","",""
"2020-05-20","","","","","","","","   .00 %","","","","","","","","","",""," ##.## %","   .00 %"," 11.11 %"," 21.13 %","",""," 33.33 %","","","","","","",""," 33.33 %","","","","",""," ##.## %","","","","","",""
"2020-05-21","","","","","","","","   .00 %","","","   .00 %",""," 50.00 %","   .00 %","","","","","","","","   .00 %","","","","",""," ##.## %",""," ##.## %","","","","","","","   .00 %"," ##.## %"," ##.## %","","","","   .00 %","   .00 %",""
"2020-05-22","","","","","","",""," 46.67 %","","","","","","","","",""," ##.## %","","","","","","","","","","",""," 33.33 %","",""," 25.00 %","","","",""," ##.## %"," 75.00 %","","   .00 %",""," ##.## %","",""
