"date","Pennsylvania/Adams","Pennsylvania/Allegheny","Pennsylvania/Armstrong","Pennsylvania/Beaver","Pennsylvania/Bedford","Pennsylvania/Berks","Pennsylvania/Blair","Pennsylvania/Bradford","Pennsylvania/Bucks","Pennsylvania/Butler","Pennsylvania/Cambria","Pennsylvania/Cameron","Pennsylvania/Carbon","Pennsylvania/Centre","Pennsylvania/Chester","Pennsylvania/Clarion","Pennsylvania/Clearfield","Pennsylvania/Clinton","Pennsylvania/Columbia","Pennsylvania/Crawford","Pennsylvania/Cumberland","Pennsylvania/Dauphin","Pennsylvania/Delaware","Pennsylvania/Elk","Pennsylvania/Erie","Pennsylvania/Fayette","Pennsylvania/Forest","Pennsylvania/Franklin","Pennsylvania/Fulton","Pennsylvania/Greene","Pennsylvania/Huntingdon","Pennsylvania/Indiana","Pennsylvania/Jefferson","Pennsylvania/Juniata","Pennsylvania/Lackawanna","Pennsylvania/Lancaster","Pennsylvania/Lawrence","Pennsylvania/Lebanon","Pennsylvania/Lehigh","Pennsylvania/Luzerne","Pennsylvania/Lycoming","Pennsylvania/McKean","Pennsylvania/Mercer","Pennsylvania/Mifflin","Pennsylvania/Monroe","Pennsylvania/Montgomery","Pennsylvania/Montour","Pennsylvania/Northampton","Pennsylvania/Northumberland","Pennsylvania/Perry","Pennsylvania/Philadelphia","Pennsylvania/Pike","Pennsylvania/Potter","Pennsylvania/Schuylkill","Pennsylvania/Snyder","Pennsylvania/Somerset","Pennsylvania/Sullivan","Pennsylvania/Susquehanna","Pennsylvania/Tioga","Pennsylvania/Unassigned","Pennsylvania/Union","Pennsylvania/Venango","Pennsylvania/Warren","Pennsylvania/Washington","Pennsylvania/Wayne","Pennsylvania/Westmoreland","Pennsylvania/Wyoming","Pennsylvania/York"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 30.00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 30.00 %","   .00 %"," 30.00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 30.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 43.33 %","   .00 %"," 16.67 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 20.00 %","   .00 %","   .00 %"," 30.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %"," 43.33 %","   .00 %"," 16.67 %","   .00 %","   .00 %"," 62.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %"," 30.00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 56.67 %"," 23.33 %","   .00 %"," 11.67 %","   .00 %","   .00 %"," 62.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-31","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 55.00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 21.67 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %"," 10.00 %"," 30.00 %"," 20.00 %","   .00 %"," 36.67 %"," 36.67 %","   .00 %","   .00 %","   .00 %","   .00 %"," 36.67 %"," 17.33 %","   .00 %"," 11.67 %","   .00 %","   .00 %"," 67.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
