"date","New Mexico/Bernalillo","New Mexico/Catron","New Mexico/Chaves","New Mexico/Cibola","New Mexico/Colfax","New Mexico/Curry","New Mexico/De Baca","New Mexico/Dona Ana","New Mexico/Doña Ana","New Mexico/Eddy","New Mexico/Grant","New Mexico/Guadalupe","New Mexico/Harding","New Mexico/Hidalgo","New Mexico/Lea","New Mexico/Lincoln","New Mexico/Los Alamos","New Mexico/Luna","New Mexico/McKinley","New Mexico/Mora","New Mexico/Otero","New Mexico/Quay","New Mexico/Rio Arriba","New Mexico/Roosevelt","New Mexico/San Juan","New Mexico/San Miguel","New Mexico/Sandoval","New Mexico/Santa Fe","New Mexico/Sierra","New Mexico/Socorro","New Mexico/Taos","New Mexico/Torrance","New Mexico/Unassigned","New Mexico/Union","New Mexico/Valencia"
"2020-04-05"," 21.78 %","   .00 %","   .00 %"," 63.64 %","","   .00 %",""," 31.82 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %",""," 19.57 %",""," 50.00 %",""," 20.00 %","   .00 %"," 16.67 %","   .00 %"," 56.06 %"," 19.23 %",""," 50.00 %","   .00 %"," ##.## %","-##.## %",""," 40.00 %"
"2020-04-06","  6.50 %","   .00 %","  7.69 %"," 16.67 %","","   .00 %","","  3.45 %","","   .00 %"," ##.## %","","","","   .00 %","   .00 %","   .00 %",""," 10.91 %","","   .00 %","","   .00 %","   .00 %"," 52.38 %","   .00 %"," 10.68 %","  3.23 %",""," 16.67 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-07"," 17.18 %","   .00 %","  7.14 %","  9.52 %",""," 33.33 %",""," 16.67 %","","   .00 %"," 33.33 %","","","","   .00 %","   .00 %","   .00 %",""," 27.87 %","","   .00 %","","   .00 %","   .00 %"," 21.88 %","   .00 %"," 12.28 %","  3.12 %","","   .00 %","  7.69 %"," 16.67 %","   .00 %","","   .00 %"
"2020-04-08","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %",""," 11.54 %","","   .00 %","","   .00 %","   .00 %"," 10.90 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-09","  5.86 %","   .00 %","  6.67 %","-30.43 %","","   .00 %",""," 11.43 %",""," 50.00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-19.54 %","","   .00 %",""," 16.67 %","   .00 %","-32.95 %","   .00 %"," 11.72 %","  3.03 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," 14.29 %"
"2020-04-10"," 25.23 %","   .00 %"," 12.50 %"," 50.00 %","   .00 %"," 12.50 %",""," 12.82 %","","   .00 %"," 75.00 %","","","","   .00 %","   .00 %"," ##.## %",""," 61.43 %","","   .00 %","","   .00 %","   .00 %"," 22.41 %","   .00 %"," 23.78 %","  2.94 %",""," 28.57 %","  7.14 %"," 14.29 %","   .00 %",""," 37.50 %"
"2020-04-11","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.86 %",""," 11.11 %","   .00 %"," 12.50 %","   .00 %",""," 27.27 %"
"2020-04-12","  8.11 %","   .00 %","  5.56 %","  4.17 %","   .00 %"," 11.11 %",""," 11.36 %",""," 16.67 %"," 28.57 %","","","-##.## %","   .00 %","   .00 %"," 25.00 %","   .00 %"," 27.43 %",""," 33.33 %","   .00 %","   .00 %","   .00 %","  6.34 %","   .00 %"," 32.77 %","  4.17 %",""," 20.00 %","   .00 %"," 11.11 %","   .00 %",""," 28.57 %"
"2020-04-13","  3.41 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","","  2.04 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-14","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %"," 11.11 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 32.64 %","","-25.00 %","   .00 %","   .00 %","   .00 %"," 14.57 %","   .00 %","  3.83 %","  1.33 %",""," 16.67 %","   .00 %","   .00 %","   .00 %",""," 11.11 %"
"2020-04-15","  4.84 %","   .00 %","   .00 %"," 16.00 %","   .00 %","   .00 %","","  8.00 %","","   .00 %"," 10.00 %","","","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 26.70 %","","   .00 %","   .00 %"," 42.86 %","   .00 %"," 15.61 %"," ##.## %","  7.38 %","  2.63 %",""," 14.29 %","   .00 %"," 20.00 %","   .00 %","","  5.00 %"
"2020-04-16","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-17","  2.94 %","   .00 %","   .00 %","  3.45 %"," 50.00 %","   .00 %","","  7.41 %","","   .00 %","  9.09 %","","","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","  9.50 %","","   .00 %","   .00 %","   .00 %","   .00 %"," 14.50 %","   .00 %"," 11.83 %","  1.28 %",""," 25.00 %","   .00 %","   .00 %","   .00 %",""," 14.29 %"
"2020-04-18","  7.33 %","   .00 %"," 10.53 %"," 10.00 %"," 33.33 %","   .00 %",""," 15.52 %",""," 28.57 %","  8.33 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 34.34 %","","   .00 %"," ##.## %","   .00 %","   .00 %"," 13.54 %","   .00 %","  6.14 %","  3.80 %","","   .00 %","   .00 %","   .00 %","   .00 %","","  8.33 %"
"2020-04-19","  2.85 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","  2.99 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.97 %","","   .00 %","   .00 %","   .00 %","   .00 %","  5.77 %","   .00 %","  1.29 %","  1.22 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," 11.54 %"
"2020-04-20","  4.43 %","   .00 %","   .00 %","   .00 %"," 25.00 %","   .00 %","","  5.80 %",""," 11.11 %","  7.69 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.60 %","","   .00 %"," 50.00 %"," 10.00 %","   .00 %","  6.55 %","   .00 %","   .63 %","  3.61 %",""," 55.00 %","  6.67 %","  8.33 %","   .00 %",""," 13.79 %"
"2020-04-21","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
