"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi","Uttarakhand/lmora"
"2020-03-15","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","",""
"2020-04-03","","","",""," 66.67 %","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","","",""
"2020-04-05","","","",""," 72.67 %","","","","","","","","",""
"2020-04-06","","","",""," 55.74 %","","","","","","","","",""
"2020-04-08","","","",""," 47.08 %","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","",""
"2020-04-17","","","",""," 42.91 %","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","",""
"2020-04-19","","","",""," 15.13 %","","","","","","","","",""
"2020-04-20","","","",""," 11.13 %","","","","","","","","",""
"2020-04-23","","","","","  8.96 %","","","","","","","","",""
"2020-04-24","","","","","",""," 15.39 %","","","","","","",""
"2020-04-28","","","",""," 10.24 %","","","","","","","","",""
"2020-04-29","","","","","  7.74 %","","","","","","","","",""
"2020-04-30","","","","","  5.52 %"," 61.33 %"," 15.39 %","","","","","","",""
"2020-05-01","","","","","  3.52 %","","","","","","","","",""
"2020-05-02","","","","","  4.15 %","","","","","","","","",""
"2020-05-03","","","","","","","","","","",""," 22.52 %","",""
"2020-05-05","","","","","  2.25 %","","","","","","","","",""
"2020-05-08","","","","","  2.25 %"," 64.19 %","","","","",""," 25.02 %","",""
"2020-05-09","","","","",""," 21.69 %"," 11.39 %","","","",""," 27.25 %","",""
"2020-05-10","","","","","  2.94 %","","","","","","","","",""
"2020-05-12","","","","","","","  6.72 %","","","","","","",""
"2020-05-13","","","","","  3.61 %","","  6.04 %","","","","","","",""
"2020-05-14","","","","","  4.01 %","  8.36 %","  3.82 %","","","",""," 26.86 %","",""
"2020-05-15","","","","","  3.88 %","","  7.15 %","","","",""," 18.86 %","",""
"2020-05-16","","","","","  6.17 %","","  8.58 %","","","",""," 21.00 %","",""
"2020-05-17","","","","","  5.99 %","   .36 %","","","","","","","",""
"2020-05-18","","","","","  6.32 %","","  7.91 %","","","","","","",""
"2020-05-19","","","","","",""," 14.85 %","","","",""," 21.50 %","",""
"2020-05-20","","","","","  4.39 %","  3.21 %"," 16.58 %","","","",""," 16.09 %","",""
"2020-05-21","","","","","","  5.36 %"," 14.85 %","","","",""," 12.96 %","",""
"2020-05-22","","","","","  7.13 %"," 11.86 %"," 14.16 %","","","",""," 14.34 %"," 53.33 %",""
"2020-05-23"," 51.67 %","","","","  8.52 %"," 15.19 %"," 53.54 %","","","",""," 11.27 %"," 61.90 %",""
"2020-05-24"," 65.95 %","","",""," 12.14 %",""," 52.32 %"," 53.33 %","","",""," 13.57 %"," 41.90 %",""
"2020-05-25","","","",""," 11.43 %"," 28.05 %"," 52.12 %"," 61.90 %","","",""," 12.42 %","",""
"2020-05-26"," 50.95 %","","",""," 12.28 %"," 29.54 %"," 52.11 %","","","",""," 11.77 %","",""
"2020-05-27"," 48.95 %","","",""," 10.02 %"," 29.54 %"," 51.66 %"," 67.90 %","",""," 61.50 %"," 13.19 %","",""
"2020-05-28"," 45.14 %","","","","  8.66 %"," 30.11 %"," 11.09 %","","",""," 65.35 %","","",""
"2020-05-29"," 47.64 %"," ##.## %","",""," 21.07 %"," 29.10 %"," 15.80 %"," 52.25 %"," ##.## %",""," 57.93 %"," 13.01 %"," 39.90 %",""
"2020-05-30","","","",""," 23.43 %"," 17.49 %"," 14.70 %","","",""," 54.62 %","","",""
"2020-05-31"," 41.36 %","","",""," 28.03 %"," 19.81 %"," 15.82 %"," 46.54 %","",""," 29.98 %"," 14.16 %"," 29.90 %",""
"2020-06-01",""," ##.## %","",""," 27.73 %"," 17.17 %"," 15.76 %"," 43.20 %"," ##.## %","",""," 11.84 %"," 26.57 %",""
"2020-06-02"," 36.36 %"," 23.83 %"," ##.## %"," 47.86 %"," 28.45 %"," 12.86 %"," 17.29 %"," 36.40 %","",""," 12.02 %"," 11.01 %","",""
