"date","North Dakota/Adams","North Dakota/Barnes","North Dakota/Benson","North Dakota/Billings","North Dakota/Bottineau","North Dakota/Bowman","North Dakota/Burke","North Dakota/Burleigh","North Dakota/Cass","North Dakota/Cavalier","North Dakota/Dickey","North Dakota/Divide","North Dakota/Dunn","North Dakota/Eddy","North Dakota/Emmons","North Dakota/Foster","North Dakota/Golden Valley","North Dakota/Grand Forks","North Dakota/Grant","North Dakota/Griggs","North Dakota/Hettinger","North Dakota/Kidder","North Dakota/LaMoure","North Dakota/Logan","North Dakota/McHenry","North Dakota/McIntosh","North Dakota/McKenzie","North Dakota/McLean","North Dakota/Mercer","North Dakota/Morton","North Dakota/Mountrail","North Dakota/Nelson","North Dakota/Oliver","North Dakota/Pembina","North Dakota/Pierce","North Dakota/Ramsey","North Dakota/Ransom","North Dakota/Renville","North Dakota/Richland","North Dakota/Rolette","North Dakota/Sargent","North Dakota/Sheridan","North Dakota/Sioux","North Dakota/Slope","North Dakota/Stark","North Dakota/Steele","North Dakota/Stutsman","North Dakota/Towner","North Dakota/Traill","North Dakota/Unassigned","North Dakota/Walsh","North Dakota/Ward","North Dakota/Wells","North Dakota/Williams"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.28 %"," 60.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  2.86 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 11.01 %"," 76.67 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.36 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 36.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","  6.67 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.07 %"," 89.39 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.99 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 42.38 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 21.67 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  9.57 %"," 51.62 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 15.53 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 44.60 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 21.67 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.29 %"," 35.62 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %"," 12.67 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 44.60 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"," 27.38 %","   .00 %","   .00 %"
"2020-03-31","","   .00 %","","","","","","  5.84 %"," 42.28 %","","","   .00 %","   .00 %","","","   .00 %","","   .00 %","   .00 %","","","","","","   .00 %","   .00 %","","   .00 %","-20.00 %"," 12.67 %"," 25.00 %","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %",""," 36.60 %","","","","","","   .00 %"," 27.38 %","","   .00 %"
"2020-04-01","","   .00 %","","","","","   .00 %","  5.18 %"," 26.87 %","","","   .00 %","   .00 %","","","   .00 %",""," 30.00 %","   .00 %","","","","","","   .00 %","   .00 %","   .00 %","   .00 %","-20.00 %","  5.17 %"," 29.00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","","   .00 %",""," 15.39 %","","","","","","   .00 %"," 27.38 %",""," 10.00 %"
"2020-04-02","","   .00 %","","","","","   .00 %","  2.78 %"," 19.43 %","","","   .00 %","   .00 %","","","   .00 %",""," 30.00 %","   .00 %","","","","","","   .00 %","   .00 %"," 20.00 %","   .00 %","-20.00 %","  1.54 %"," 35.67 %","","   .00 %","","   .00 %","   .00 %","","","","-20.00 %","","","   .00 %",""," 15.39 %","","","","","","   .00 %"," 14.05 %",""," 16.67 %"
"2020-04-03","","   .00 %","","","","","   .00 %","  2.78 %"," 18.61 %","","","   .00 %","   .00 %","   .00 %","","   .00 %",""," 34.00 %","   .00 %","","","","","","   .00 %","   .00 %"," 20.00 %","   .00 %","","  2.86 %"," 43.17 %","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %"," 14.28 %","","","","","","   .00 %"," 15.59 %",""," 21.67 %"
"2020-04-04","","   .00 %","","","","","   .00 %","  3.32 %"," 15.48 %","","","   .00 %","   .00 %","   .00 %","","   .00 %",""," 47.33 %","   .00 %","","","","","","   .00 %","   .00 %"," 20.00 %","   .00 %","","  2.86 %"," 26.80 %","","   .00 %","","   .00 %","   .00 %","","","","","","","   .00 %","   .00 %"," 17.44 %","","","","","","   .00 %","  9.87 %",""," 21.67 %"
