"date","Hawaii/Hawaii","Hawaii/Honolulu","Hawaii/Kalawao","Hawaii/Kauai","Hawaii/Maui","Hawaii/Out of HI","Hawaii/Unassigned"
"2020-03-22","","","","","","",""
"2020-03-23","","","","","","",""
"2020-03-24","","","","","","",""
"2020-03-25","","","","","","",""
"2020-03-26"," 13.33 %"," 11.74 %","   .00 %","  6.67 %","  8.89 %","",""
"2020-03-27"," 18.33 %"," 14.09 %","   .00 %"," 36.67 %"," 10.43 %","",""
"2020-03-28"," 38.33 %"," 22.51 %","   .00 %"," 60.67 %"," 13.28 %","","-23.05 %"
"2020-03-29"," 45.00 %"," 14.22 %","   .00 %"," 74.00 %"," 13.28 %","","-23.05 %"
"2020-03-30"," 49.00 %"," 17.00 %","   .00 %"," 75.82 %"," 18.28 %",""," -4.05 %"
"2020-03-31"," 34.00 %"," 16.15 %",""," 55.82 %"," 14.40 %",""," 20.83 %"
"2020-04-01"," 29.00 %"," 16.39 %",""," 25.82 %"," 12.86 %",""," 28.91 %"
"2020-04-02"," 13.00 %"," 11.15 %","","  1.82 %"," 10.80 %",""," 39.58 %"
"2020-04-03"," 15.22 %"," 17.20 %","","  3.48 %"," 18.49 %",""," 31.80 %"
"2020-04-04"," 13.22 %"," 16.87 %","","  4.74 %"," 14.60 %","","  6.34 %"
"2020-04-05","  8.22 %"," 15.39 %","","  6.08 %"," 12.23 %",""," -8.66 %"
"2020-04-06","  9.13 %"," 13.59 %","","  7.33 %"," 12.70 %",""," -6.02 %"
"2020-04-07","  5.13 %"," 11.77 %","","  8.50 %"," 13.72 %","   .00 %","-14.46 %"
"2020-04-08","  2.91 %","  5.73 %","","  6.84 %","  6.03 %","   .00 %"," -6.68 %"
"2020-04-09","  5.26 %","  4.69 %","","  3.76 %","  8.66 %","   .00 %","-12.66 %"
"2020-04-10","  5.26 %","  3.56 %","","  2.43 %","  6.03 %","   .00 %","-10.16 %"
"2020-04-11","  6.49 %","  3.32 %","","  2.29 %","  8.73 %","   .00 %"," -9.21 %"
"2020-04-12"," 11.65 %","  2.36 %","","  3.22 %"," 12.36 %","   .00 %"," -9.76 %"
"2020-04-13"," 12.16 %","  2.47 %","","  3.22 %"," 12.84 %","   .00 %"," -9.76 %"
"2020-04-14","  8.32 %","  1.40 %","","  3.22 %","  9.55 %","","  1.67 %"
"2020-04-15","  8.32 %","  2.02 %","","  3.22 %"," 10.46 %","","-11.67 %"
"2020-04-16","  6.17 %","  1.48 %","","  2.11 %","  7.30 %"," 40.00 %","-18.33 %"
"2020-04-17","  1.01 %","  1.29 %","","   .00 %","  2.50 %"," 40.00 %"," 66.67 %"
"2020-04-18"," 10.26 %","  1.65 %","","   .00 %","  3.92 %"," 40.00 %"," 46.67 %"
"2020-04-19"," 10.08 %","  1.47 %","","   .00 %","  3.84 %"," 40.00 %"," 46.67 %"
"2020-04-20"," 10.73 %","   .86 %","","   .00 %","  3.31 %"," 40.00 %"," 60.00 %"
"2020-04-21"," 10.73 %","   .86 %","","   .00 %","  3.68 %","   .00 %"," 60.00 %"
"2020-04-22"," 11.67 %","   .80 %","","   .00 %","  3.03 %","   .00 %","-20.00 %"
"2020-04-23","  2.21 %","   .36 %","","   .00 %","  1.50 %","   .00 %","   .00 %"
"2020-04-24","  2.18 %","   .36 %","","   .00 %","  1.29 %","   .00 %","   .00 %"
"2020-04-25","  1.53 %","   .51 %","","   .00 %","   .91 %","  3.33 %","   .00 %"
"2020-04-26","  1.82 %","   .57 %","","   .00 %","   .37 %","  3.33 %","   .00 %"
"2020-04-27","   .88 %","   .41 %","","   .00 %","   .54 %","  3.33 %","   .00 %"
"2020-04-28","   .58 %","   .36 %","","   .00 %","   .53 %","  3.33 %","   .00 %"
"2020-04-29","   .29 %","   .36 %","","   .00 %","   .36 %","  6.19 %","   .00 %"
"2020-04-30","  1.15 %","   .20 %","","   .00 %","   .53 %","  5.36 %","   .00 %"
"2020-05-01","   .86 %","   .20 %","","   .00 %","   .71 %","  5.36 %","   .00 %"
"2020-05-02","   .86 %","   .20 %","","   .00 %","   .70 %","  5.36 %","   .00 %"
"2020-05-03","  1.13 %","   .20 %","","   .00 %","   .18 %","  5.36 %","   .00 %"
"2020-05-04","  1.40 %","   .05 %","","   .00 %","   .18 %","  2.50 %","   .00 %"
"2020-05-05","   .28 %","   .25 %","","   .00 %","   .00 %","  2.22 %","   .00 %"
"2020-05-06","   .28 %","   .25 %","","   .00 %","   .00 %","  2.22 %","   .00 %"
"2020-05-07","   .28 %","   .40 %","","   .00 %","  -.17 %","  2.22 %","   .00 %"
"2020-05-08","   .00 %","   .40 %","","   .00 %","   .00 %","  2.22 %","   .00 %"
"2020-05-09","   .00 %","   .35 %","","   .00 %","   .17 %","  4.22 %","   .00 %"
"2020-05-10","   .27 %","   .20 %","","   .00 %","   .17 %","  2.00 %","   .00 %"
"2020-05-11","   .27 %","   .25 %","","   .00 %","   .17 %","  2.00 %","   .00 %"
"2020-05-12","   .27 %","   .15 %","","   .00 %","   .17 %","  2.00 %","   .00 %"
"2020-05-13","   .27 %","   .29 %","","   .00 %","   .17 %","  2.00 %","   .00 %"
"2020-05-14","   .00 %","   .34 %","","   .00 %","   .00 %"," -1.82 %","   .00 %"
"2020-05-15","   .27 %","   .29 %","","   .00 %","   .00 %"," -1.82 %","   .00 %"
"2020-05-16","   .27 %","   .24 %","","   .00 %","   .00 %"," -1.82 %","   .00 %"
"2020-05-17","   .53 %","   .19 %","","   .00 %","   .00 %"," -1.82 %","   .00 %"
"2020-05-18","   .53 %","   .05 %","","   .00 %","   .00 %"," -1.82 %","   .00 %"
"2020-05-19","   .79 %","   .05 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-20","   .78 %","   .10 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-21","  1.54 %","   .05 %","","   .00 %","   .17 %","   .00 %","   .00 %"
"2020-05-22","  1.03 %","  -.05 %","","  -.95 %","   .00 %","   .00 %","   .00 %"
"2020-05-23","  1.03 %","  -.05 %","","  -.95 %","   .17 %","   .00 %","   .00 %"
"2020-05-24","   .77 %","  -.05 %","","  -.95 %","   .17 %","   .00 %","   .00 %"
"2020-05-25","   .52 %","  -.10 %","","  -.95 %","   .17 %","   .00 %","   .00 %"
"2020-05-26","  -.24 %","  -.10 %","","  -.95 %","   .00 %","   .00 %","   .00 %"
"2020-05-27","   .25 %","   .00 %","","   .00 %","   .17 %","   .00 %","   .00 %"
"2020-05-28","   .25 %","   .14 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-29","   .25 %","   .24 %","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-05-30","   .00 %","   .34 %","","   .00 %","   .17 %","   .00 %","   .00 %"
"2020-05-31","   .00 %","   .34 %","","   .00 %","   .34 %","   .00 %","   .00 %"
"2020-06-01","  -.24 %","   .34 %","","   .00 %","   .34 %","   .00 %","   .00 %"
"2020-06-02","  -.24 %","   .24 %","","   .00 %","   .34 %","   .00 %","   .00 %"
"2020-06-03","  -.24 %","   .19 %","","   .00 %","   .17 %","   .00 %","   .00 %"
