"date","Andhra Pradesh/Anantapur","Andhra Pradesh/Chittoor","Andhra Pradesh/East Godavari","Andhra Pradesh/Foreign Evacuees","Andhra Pradesh/Guntur","Andhra Pradesh/Krishna","Andhra Pradesh/Kurnool","Andhra Pradesh/Other State","Andhra Pradesh/Prakasam","Andhra Pradesh/S.P.S. Nellore","Andhra Pradesh/Srikakulam","Andhra Pradesh/Visakhapatnam","Andhra Pradesh/Vizianagaram","Andhra Pradesh/West Godavari","Andhra Pradesh/Y.S.R. Kadapa"
"2020-03-12","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","0","","",""
"2020-03-24","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","-1","","","","","","","","",""
"2020-03-26","","","","","","0","","","","","","","","",""
"2020-03-27","","","","","0","","","","","","","0","","",""
"2020-03-28","","","","","1","0","","","0","","","","","",""
"2020-03-29","","","","","","","","","","","","1","","",""
"2020-03-30","","","0","","","","","","","","","","","",""
"2020-03-31","","","-1","","3","0","","","6","","","2","","",""
"2020-04-01","","4","4","","6","9","","","-4","","","-3","","",""
"2020-04-02","","-2","","","","-2","","","-2","19","","","","-13","-12"
"2020-04-03","","","-3","","","","","","","-13","","3","","","-2"
"2020-04-04","-1","-2","","","-1","-3","2","","2","","","","","","3"
"2020-04-05","2","6","","","","","46","","-2","-6","","","","0",""
"2020-04-06","","","","","-8","-4","-29","","-1","6","","1","","4","1"
"2020-04-07","","-6","","","7","","-19","","","","","","","",""
"2020-04-08","4","1","","","-1","5","","","3","-2","","","","-4",""
"2020-04-09","","","-1","","-6","","","","7","","","","","","-4"
"2020-04-10","-5","","4","","5","","1","","-9","","","","","",""
"2020-04-11","","","","","10","","3","","-1","","","","","","0"
"2020-04-12","","-1","","","-10","","-3","","","-2","","","","","0"
"2020-04-13","","1","","","4","-5","","","","0","","","","0",""
"2020-04-14","3","","","","10","7","5","","","-4","","","","0","1"
"2020-04-15","-4","","","","-13","-7","12","","","2","","","","6","1"
"2020-04-16","","","","","","2","-16","","","","","","","-4",""
"2020-04-17","4","3","","","-5","1","11","","","4","","","","","-2"
"2020-04-18","","","-3","","","13","-8","","1","-3","","","","-2",""
"2020-04-19","-2","","3","","0","-11","20","","","","","-4","","",""
"2020-04-20","1","20","-3","","17","-1","-10","","","","","","","","2"
"2020-04-21","-1","","","","-11","-2","-6","","","","","","","3","3"
"2020-04-22","","-19","","","10","0","9","","2","","","","","","-1"
"2020-04-23","3","8","4","","-1","-1","12","","-2","","","0","","",""
"2020-04-24","-2","","-4","","-7","12","-4","","1","-2","","","","",""
"2020-04-25","1","","1","","-8","11","-13","","","3","","","","","-1"
"2020-04-26","-3","","-1","","3","25","-10","","0","","","","","8","-1"
"2020-04-27","","","","","17","-17","9","","","3","-2","","","-9",""
"2020-04-28","-1","","","","-6","-20","27","","","-4","","","","","4"
"2020-04-29","3","2","-1","","12","0","-29","","1","","0","0","","-1","-3"
"2020-04-30","-1","0","1","","-25","-3","32","","","","","","","","0"
"2020-05-01","3","","","","15","","-18","","","","","","","0","2"
"2020-05-02","-2","","","","-17","","0","","-3","","","2","","-1","-2"
"2020-05-03","3","","","","9","-4","5","","","-5","","","","",""
"2020-05-04","","0","","","8","4","-5","","","","","2","","","0"
"2020-05-05","-5","","","","-6","-4","0","","","","","-4","","","-2"
"2020-05-06","","","","","-1","6","-8","-1","","","","0","","","-1"
"2020-05-07","","","","","-2","2","-10","","","3","","5","","","5"
"2020-05-08","13","","","","-9","-10","0","","","","","4","-2","",""
"2020-05-09","-13","8","","","1","10","-1","","","","","-6","","",""
"2020-05-10","2","5","","","4","-15","7","","","","","-4","","",""
"2020-05-11","3","-7","","","-1","2","-4","","","-4","","2","","",""
"2020-05-12","","1","","","","1","0","25","","8","","","","",""
"2020-05-13","","1","3","","7","-1","-2","-30","","","","","","",""
"2020-05-14","","-2","","","-7","-1","","24","","","","","","",""
"2020-05-15","","5","-3","","","7","","13","","-1","","-1","2","","0"
"2020-05-16","","-6","","","","-2","1","","","-5","","2","","","-1"
"2020-05-17","","-4","","","-5","","-6","","","-8","5","-1","","",""
"2020-05-18","","11","","","","","1","","","6","","-2","-2","",""
"2020-05-19","","","","","","","","","","","","","","",""
"2020-05-20","","","-3","","","-1","","","-2","18","-5","4","7","1","1"
"2020-05-21","","","","","","","","","","","","","","",""
"2020-05-23","","","","","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","","","","","",""
"2020-05-26","","","","-13","","","","","","","","","","",""
"2020-05-27","56","10","86","","17","","12","","4","","3","7","-2","5","-2"
"2020-05-28","-67","-22","-81","","-13","","-20","8","-2","-47","","-6","","","0"
"2020-05-29","","4","-5","","","","-8","-22","","3","","","","","1"
"2020-05-30","","-1","32","","","-7","2","9","","-4","","","","","0"
"2020-05-31","","-3","-18","","-2","12","10","-49","1","","","","-4","","1"
"2020-06-01","-3","1","2","-48","-4","-7","-18","16","-3","","","2","0","-8","0"
"2020-06-02","-1","-3","1","","16","-3","3","5","","-10","3","","","8",""
"2020-06-03","5","6","-12","6","-15","1","8","61","0","","-4","","","-4",""
"2020-06-04","-1","1","-5","","0","6","-7","-51","2","16","","1","","-2","-1"
