"date","Louisiana/Acadia","Louisiana/Allen","Louisiana/Ascension","Louisiana/Assumption","Louisiana/Avoyelles","Louisiana/Beauregard","Louisiana/Bienville","Louisiana/Bossier","Louisiana/Caddo","Louisiana/Calcasieu","Louisiana/Caldwell","Louisiana/Cameron","Louisiana/Catahoula","Louisiana/Claiborne","Louisiana/Concordia","Louisiana/De Soto","Louisiana/East Baton Rouge","Louisiana/East Carroll","Louisiana/East Feliciana","Louisiana/Evangeline","Louisiana/Franklin","Louisiana/Grant","Louisiana/Iberia","Louisiana/Iberville","Louisiana/Jackson","Louisiana/Jefferson","Louisiana/Jefferson Davis","Louisiana/LaSalle","Louisiana/Lafayette","Louisiana/Lafourche","Louisiana/Lincoln","Louisiana/Livingston","Louisiana/Madison","Louisiana/Morehouse","Louisiana/Natchitoches","Louisiana/Orleans","Louisiana/Ouachita","Louisiana/Out of LA","Louisiana/Plaquemines","Louisiana/Pointe Coupee","Louisiana/Rapides","Louisiana/Red River","Louisiana/Richland","Louisiana/Sabine","Louisiana/St. Bernard","Louisiana/St. Charles","Louisiana/St. Helena","Louisiana/St. James","Louisiana/St. John the Baptist","Louisiana/St. Landry","Louisiana/St. Martin","Louisiana/St. Mary","Louisiana/St. Tammany","Louisiana/Tangipahoa","Louisiana/Tensas","Louisiana/Terrebonne","Louisiana/Unassigned","Louisiana/Union","Louisiana/Vermilion","Louisiana/Vernon","Louisiana/Washington","Louisiana/Webster","Louisiana/West Baton Rouge","Louisiana/West Carroll","Louisiana/West Feliciana","Louisiana/Winn"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","1","2","14","0","0","0","0","7","19","0","0","0","0","1","0","3","25","0","0","0","0","1","1","8","0","86","0","0","3","4","2","3","0","0","2","116","7","","4","0","6","0","2","0","3","8","0","7","7","0","0","0","25","0","0","3","-39","0","0","0","0","2","2","0","0","0"
"2020-03-24","1","0","10","1","2","1","0","0","6","1","0","0","0","0","0","1","15","0","0","0","0","0","-1","4","0","41","0","0","3","1","0","1","0","0","0","108","-2","","0","0","2","0","-1","0","4","0","0","1","5","0","1","1","5","1","0","0","1","0","0","2","1","0","0","0","0","0"
"2020-03-25","0","0","29","0","2","1","0","13","53","6","0","0","0","0","0","2","17","0","0","0","0","0","0","0","1","66","1","0","8","2","0","0","0","1","0","152","3","","1","0","4","0","0","0","4","2","0","5","6","1","0","3","15","1","0","1","-1","2","0","0","1","2","2","0","0","1"
"2020-03-26","1","3","26","3","2","0","0","7","22","4","0","0","0","0","0","3","30","0","4","0","0","0","1","3","0","99","0","0","10","10","1","5","1","2","0","170","9","","4","1","11","0","0","0","5","5","0","15","11","1","1","0","22","2","0","6","2","0","1","0","2","3","1","0","0","0"
"2020-03-27","5","0","-1","3","3","1","0","5","25","7","0","0","0","1","0","2","19","0","1","2","0","0","1","3","2","90","0","0","14","2","4","0","0","-1","0","173","6","","3","0","1","0","1","0","3","1","0","11","3","5","8","1","22","0","0","2","3","2","1","0","2","1","3","0","0","0"
"2020-03-28","1","2","17","0","2","0","2","8","49","6","0","0","0","1","0","8","29","1","1","0","4","0","5","1","-1","196","0","2","4","4","-1","1","0","0","0","128","9","","3","1","11","0","0","0","12","7","0","8","13","0","3","1","23","3","0","3","-7","3","1","0","2","0","1","0","4","0"
"2020-03-29","0","2","32","6","1","0","0","11","30","7","1","0","0","0","0","4","11","0","2","0","0","1","2","1","0","17","1","0","2","2","1","3","0","0","0","52","7","","1","0","4","1","0","1","2","1","0","7","3","0","0","0","4","0","0","3","-1","2","-1","0","2","0","0","0","0","0"
"2020-03-30","2","2","14","3","1","1","2","1","3","7","0","0","2","0","0","3","24","0","0","4","1","0","7","6","0","77","1","0","32","15","1","1","0","0","0","130","3","","2","0","3","0","0","0","8","5","0","10","18","5","7","3","48","8","0","5","6","0","1","1","10","2","0","0","0","0"
"2020-03-31","28","4","8","3","5","0","1","6","20","23","","","0","4","3","2","40","0","1","2","0","0","18","7","1","355","2","0","36","23","4","7","0","0","0","354","13","","15","5","14","0","0","1","18","35","1","12","29","16","12","12","34","7","","6","8","0","5","0","6","6","1","","0","0"
"2020-04-01","8","4","28","5","12","3","0","12","56","25","","","0","2","2","9","16","0","1","1","0","1","13","1","1","240","4","0","41","31","1","2","0","0","0","436","23","","10","0","11","0","1","1","23","11","0","9","14","14","9","4","50","8","","15","6","2","2","3","11","0","1","","4","0"
"2020-04-02","14","7","12","6","3","2","2","12","38","18","","","2","1","3","3","81","0","4","5","0","2","18","33","0","745","4","0","88","53","0","8","0","2","2","878","14","","21","5","8","0","1","1","87","98","0","24","156","11","17","16","129","9","","42","10","2","6","1","11","2","5","","2","1"
"2020-04-03","11","8","21","2","3","3","1","8","41","11","0","","1","7","2","4","64","0","5","2","5","0","11","12","0","317","1","0","29","27","4","7","0","3","2","328","20","","7","1","4","1","0","0","15","30","0","6","16","12","11","5","36","13","","5","2","4","2","1","7","4","4","","1","0"
"2020-04-04","-7","5","62","23","-1","2","1","31","221","16","2","","3","2","-5","25","232","0","3","1","9","4","-10","38","-3","513","-5","2","-47","32","0","24","0","2","9","490","62","","11","3","16","0","5","0","43","42","3","34","48","-23","-5","18","97","76","","41","-9","2","-3","3","18","19","17","","7","0"
"2020-04-05","10","1","2","3","1","4","2","7","49","4","7","","0","3","0","9","35","0","5","0","6","-1","1","3","0","80","4","0","18","11","1","3","0","1","-1","100","6","","6","1","3","0","1","1","3","8","1","5","7","2","13","2","28","40","","5","0","0","1","-1","6","7","0","","1","0"
