"date","Rhode Island/Bristol","Rhode Island/Kent","Rhode Island/Newport","Rhode Island/Providence","Rhode Island/Unassigned","Rhode Island/Washington"
"2020-03-22","","","","","",""
"2020-03-23","10","0","1","15","-3","0"
"2020-03-24","0","0","0","0","18","0"
"2020-03-25","0","0","0","0","8","0"
"2020-03-26","-18","2","3","39","2","5"
"2020-03-27","0","0","0","0","38","0"
"2020-03-28","0","0","0","0","36","0"
"2020-03-29","6","18","7","65","-50","9"
"2020-03-30","0","0","0","0","114","0"
"2020-03-31","2","4","4","52","13","5"
"2020-04-01","4","8","0","93","-24","-3"
"2020-04-02","3","20","10","117","-80","9"
"2020-04-03","0","0","0","0","66","0"
"2020-04-04","0","0","0","0","95","0"
"2020-04-05","3","23","6","73","-3","14"
"2020-04-06","1","10","3","47","94","5"
"2020-04-07","2","13","10","84","21","17"
"2020-04-08","4","32","4","210","-79","50"
"2020-04-09","0","0","0","0","277","0"
"2020-04-10","6","14","0","123","-143","0"
"2020-04-11","2","18","18","323","241","20"
"2020-04-12","0","0","0","0","316","0"
"2020-04-13","0","0","0","0","0","0"
"2020-04-14","0","0","0","0","586","0"
"2020-04-15","10","75","19","679","-795","12"
"2020-04-16","1","5","1","115","146","10"
"2020-04-17","7","50","9","631","-112","63"
"2020-04-18","0","0","0","0","356","-42"
"2020-04-19","2","17","0","311","-116","1"
"2020-04-20","8","50","4","477","-169","14"
"2020-04-21","1","20","3","236","139","11"
"2020-04-22","20","26","4","337","-105","59"
"2020-04-23","7","20","3","286","111","-12"
"2020-04-24","7","34","7","253","126","16"
"2020-04-25","5","30","6","313","66","10"
"2020-04-26","4","30","5","350","-89","10"
"2020-04-27","4","39","3","161","51","11"
"2020-04-28","0","9","0","93","107","10"
"2020-04-29","30","24","10","447","-202","11"
"2020-04-30","-2","24","1","323","22","6"
"2020-05-01","-1","16","6","289","17","14"
"2020-05-02","2","37","1","243","38","6"
"2020-05-03","8","22","2","206","-56","6"
"2020-05-04","2","6","3","110","47","7"
"2020-05-05","0","0","0","0","281","0"
"2020-05-06","0","0","0","0","272","0"
"2020-05-07","0","0","0","0","325","0"
"2020-05-08","0","0","0","0","249","0"
"2020-05-09","0","0","0","0","210","0"
"2020-05-10","0","0","0","0","285","0"
"2020-05-11","17","156","21","1536","-1597","43"
"2020-05-12","1","-9","3","124","40","5"
"2020-05-13","0","33","12","314","-152","14"
"2020-05-14","0","0","0","0","181","0"
"2020-05-15","0","0","0","0","203","0"
"2020-05-16","0","0","0","0","215","0"
"2020-05-17","0","0","0","0","240","0"
"2020-05-18","0","0","0","0","121","0"
"2020-05-19","0","0","0","0","156","0"
"2020-05-20","26","75","9","864","-606","37"
"2020-05-21","6","16","3","184","-3","9"
"2020-05-22","5","11","3","160","-25","11"
"2020-05-23","4","20","14","199","-24","3"
"2020-05-24","0","8","2","88","14","1"
"2020-05-25","0","0","0","0","0","0"
"2020-05-26","0","0","0","0","145","0"
"2020-05-27","10","19","7","267","-167","7"
"2020-05-28","-1","6","2","94","37","3"
"2020-05-29","2","14","7","84","31","3"
"2020-05-30","0","0","0","0","184","0"
"2020-05-31","0","0","0","0","109","0"
"2020-06-01","0","0","0","0","63","0"
"2020-06-02","0","0","0","0","121","0"
"2020-06-03","0","0","0","0","107","0"
"2020-06-04","0","0","0","0","106","0"
"2020-06-05","0","0","0","0","116","0"
"2020-06-06","0","0","0","0","0","0"
"2020-06-07","0","0","0","0","0","0"
"2020-06-08","7","53","25","907","-805","14"
"2020-06-09","0","0","0","0","49","0"
"2020-06-10","0","0","0","0","65","0"
"2020-06-11","0","0","0","0","106","0"
"2020-06-12","0","0","0","0","85","0"
"2020-06-13","0","0","0","0","0","0"
"2020-06-14","0","0","0","0","0","0"
"2020-06-15","9","23","8","404","-301","3"
"2020-06-16","0","0","0","0","71","0"
"2020-06-17","0","0","0","0","49","0"
"2020-06-18","0","0","0","0","56","0"
"2020-06-19","0","0","0","0","68","0"
"2020-06-20","0","0","0","0","0","0"
"2020-06-21","0","0","0","0","0","0"
"2020-06-22","7","41","17","349","-299","7"
"2020-06-23","0","0","0","0","74","0"
"2020-06-24","0","0","0","0","73","0"
"2020-06-25","0","0","0","0","34","0"
"2020-06-26","0","0","0","0","21","0"
"2020-06-27","0","0","0","0","0","0"
"2020-06-28","0","0","0","0","0","0"
"2020-06-29","6","30","14","225","-181","9"
"2020-06-30","0","0","0","0","49","0"
"2020-07-01","0","0","0","0","40","0"
"2020-07-02","0","0","0","0","88","0"
"2020-07-03","3","35","23","207","-224","6"
"2020-07-04","0","0","0","0","0","0"
"2020-07-05","0","0","0","0","0","0"
"2020-07-06","0","0","0","0","0","0"
"2020-07-07","0","0","0","0","163","0"
