"date","New York/Albany","New York/Allegany","New York/Bronx","New York/Broome","New York/Cattaraugus","New York/Cayuga","New York/Chautauqua","New York/Chemung","New York/Chenango","New York/Clinton","New York/Columbia","New York/Cortland","New York/Delaware","New York/Dutchess","New York/Erie","New York/Essex","New York/Franklin","New York/Fulton","New York/Genesee","New York/Greene","New York/Hamilton","New York/Herkimer","New York/Jefferson","New York/Kings","New York/Lewis","New York/Livingston","New York/Madison","New York/Monroe","New York/Montgomery","New York/Nassau","New York/New York City","New York/Niagara","New York/Oneida","New York/Onondaga","New York/Ontario","New York/Orange","New York/Orleans","New York/Oswego","New York/Otsego","New York/Putnam","New York/Queens","New York/Rensselaer","New York/Richmond","New York/Rockland","New York/Saratoga","New York/Schenectady","New York/Schoharie","New York/Schuyler","New York/Seneca","New York/St. Lawrence","New York/Steuben","New York/Suffolk","New York/Sullivan","New York/Tioga","New York/Tompkins","New York/Ulster","New York/Unassigned","New York/Warren","New York/Washington","New York/Wayne","New York/Westchester","New York/Wyoming","New York/Yates"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","4","0","0","0","0","0","0","2","0","0","0","0","0","18","31","0","0","0","0","0","0","0","0","0","0","0","1","13","0","542","2651","0","1","8","0","142","0","2","1","0","0","0","0","137","0","0","0","0","0","0","2","424","0","0","0","0","84","0","0","0","1021","0","0"
"2020-03-24","19","0","0","6","0","2","2","1","1","2","1","0","2","24","27","0","0","0","0","2","0","1","1","0","0","1","3","25","0","427","2599","1","5","7","2","109","0","0","0","51","0","13","0","79","18","12","0","0","0","1","4","422","11","0","1","17","-107","1","2","3","997","2","0"
"2020-03-25","6","0","0","2","0","0","0","0","0","4","1","1","2","29","8","1","1","0","1","0","0","1","0","0","0","0","3","12","1","416","2952","2","0","21","3","140","0","0","1","2","0","0","0","297","11","11","1","0","0","0","0","380","16","0","2","30","0","0","1","1","800","0","0"
"2020-03-26","19","0","0","5","0","0","0","4","0","1","5","0","2","37","84","1","0","0","2","1","0","2","2","0","0","0","2","30","1","629","4017","2","3","30","2","113","2","2","1","10","0","11","0","229","9","7","0","0","0","3","3","475","14","1","5","13","0","0","0","1","1253","3","0"
"2020-03-27","16","0","0","2","0","0","0","4","1","0","3","1","1","35","39","0","1","0","2","1","0","2","0","0","0","0","8","18","0","743","3700","9","0","12","3","159","1","0","2","17","0","0","0","260","9","4","1","0","0","0","1","650","11","0","9","20","0","6","2","3","1243","0","0"
"2020-03-28","8","0","0","5","1","0","3","1","4","1","3","3","0","37","73","0","3","0","1","1","0","0","2","0","0","7","11","36","1","880","4203","10","10","23","2","191","0","5","2","20","0","7","0","439","14","6","2","1","0","4","1","753","8","4","16","35","0","5","3","1","688","0","0"
"2020-03-29","10","4","0","6","3","0","2","3","7","1","0","1","0","58","96","0","1","0","2","0","0","1","1","0","0","0","1","17","0","908","3992","5","3","48","2","146","0","1","3","13","0","0","0","313","6","4","0","0","0","4","4","885","16","0","8","13","0","5","0","0","644","1","0"
"2020-03-30","12","1","0","6","2","1","0","0","2","4","6","2","3","72","29","0","0","0","0","3","0","2","4","0","0","3","13","27","0","899","3685","3","8","34","2","188","1","5","7","23","0","1","0","302","6","4","1","1","0","1","2","768","13","1","14","44","0","0","0","3","807","0","0"
"2020-03-31","9","2","","3","0","1","0","5","2","4","0","0","5","92","56","0","0","0","2","0","0","0","0","","2","2","7","11","0","1200","5666","0","0","21","0","121","1","0","0","0","","2","","352","0","5","0","0","","10","0","922","5","1","3","17","0","0","0","0","641","0",""
"2020-04-01","14","1","","4","1","0","1","2","7","4","5","0","4","63","83","1","3","1","2","8","0","0","1","","0","3","13","92","1","1010","4320","5","16","28","4","200","1","5","2","40","","1","","458","14","8","3","0","2","11","19","892","15","0","3","15","0","0","2","9","716","2",""
"2020-04-02","13","2","","4","1","0","0","0","2","0","4","1","2","120","35","1","0","4","3","3","0","2","3","","0","0","6","71","1","1033","4370","45","11","24","2","237","0","3","2","9","","5","","430","10","8","0","1","2","5","5","1141","22","0","4","18","0","0","1","3","884","4","1"
"2020-04-03","14","2","","10","1","2","1","13","4","5","6","3","2","142","117","0","1","0","1","2","0","0","3","","0","0","9","44","2","1437","5350","3","10","21","2","404","0","5","0","36","","7","","538","9","9","2","0","2","4","3","1408","25","0","7","23","0","1","3","3","784","1","0"
"2020-04-04","26","2","","9","0","1","1","1","7","1","6","0","2","129","74","0","0","3","3","1","0","4","2","","0","0","1","48","3","1322","6147","7","9","27","3","344","4","0","5","31","","0","","583","0","7","0","1","0","9","14","1216","25","0","6","27","0","1","1","0","730","3","0"
"2020-04-05","12","0","","6","1","1","8","2","4","2","12","0","1","139","251","2","0","0","2","0","0","4","6","","1","6","11","36","2","1052","4245","15","15","15","1","446","1","4","3","31","","7","","454","9","11","0","0","3","9","13","1759","0","0","2","68","0","5","2","2","642","4","0"
"2020-04-06","14","1","","5","2","3","0","9","3","3","1","0","2","112","89","0","0","2","1","0","0","3","7","","3","0","3","26","0","1218","4630","4","5","13","0","346","2","2","0","31","","0","","377","3","10","0","0","0","0","2","1056","60","0","7","24","0","1","1","2","571","1","0"
"2020-04-07","14","0","","10","1","3","0","2","5","1","2","2","7","60","86","0","0","2","10","0","0","2","6","","0","0","0","22","3","994","4695","6","18","20","1","296","2","0","5","57","","14","","287","2","7","1","0","1","0","0","1376","17","0","1","16","0","5","0","1","0","0","0"
"2020-04-08","9","4","","7","2","0","0","6","2","2","4","0","1","146","101","0","0","1","14","1","0","2","1","","0","5","0","55","0","1938","4927","29","7","25","6","246","1","0","4","25","","0","","423","7","4","0","0","2","17","12","1447","26","7","2","64","0","2","1","4","1593","4","0"
"2020-04-09","37","1","","12","2","2","4","4","2","1","7","0","0","98","97","-1","1","1","9","6","1","3","2","","0","0","10","47","10","1592","5225","0","33","0","4","234","6","2","1","29","","14","","252","10","18","0","0","3","4","5","1795","0","2","2","0","0","7","5","0","1117","2","0"
"2020-04-10","47","4","","7","1","11","0","0","5","3","1","1","2","105","66","2","0","3","9","3","0","4","1","","0","0","0","44","1","1372","5356","1","14","34","8","223","2","0","2","31","","0","","457","10","24","0","1","0","0","25","1517","22","1","0","68","0","3","1","2","1073","1","1"
