"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi"
"2020-07-26","-3","","","","-26","-35","-25","-3","","0","-3","28","-6"
"2020-07-27","0","","","","-36","92","43","","-15","0","0","-21","4"
"2020-07-28","7","-2","","","23","-76","-3","","","","12","78",""
"2020-07-29","8","","","-4","17","32","-25","","23","","-12","-27",""
"2020-07-30","-17","1","4","16","24","-27","6","1","-17","2","","-78","2"
"2020-07-31","2","-1","-5","","-19","-41","8","0","","0","4","2","-6"
"2020-08-01","1","30","","-13","-28","36","61","0","-2","-2","-3","25","16"
"2020-08-02","-3","","4","","24","-14","-62","-2","","1","0","-20","-5"
"2020-08-03","4","","","-2","-13","73","14","4","","-1","-1","-9","-7"
"2020-08-04","-2","","-4","8","10","-78","-37","0","","0","2","62","3"
"2020-08-05","-1","-30","2","-9","-1","-3","40","3","","5","2","-27","58"
"2020-08-06","3","20","6","","21","89","-17","-7","","","25","20","-32"
"2020-08-07","","","-8","","-47","-36","1","23","4","","-14","29","-28"
"2020-08-08","","-11","0","-6","17","99","51","-16","-3","-2","-12","86","-1"
"2020-08-09","","","0","6","-4","-45","-69","-6","","6","7","-152","-1"
"2020-08-10","","","5","-4","7","51","9","","","-7","-4","91","-2"
"2020-08-11","30","","","5","41","-35","24","","","2","32","-78","8"
"2020-08-12","-33","","","4","0","-4","-21","-4","","0","-22","87",""
"2020-08-13","-2","6","","4","-46","-32","-13","0","","1","-1","73",""
"2020-08-14","","-7","","-11","37","15","39","-4","-5","","7","-168","-9"
"2020-08-15","","","12","-3","-39","13","8","2","-1","23","-7","-1",""
"2020-08-16","-6","","12","1","15","-80","-41","0","","","16","-2",""
