"date","Rajasthan/Ajmer","Rajasthan/Alwar","Rajasthan/BSF Camp","Rajasthan/Banswara","Rajasthan/Baran","Rajasthan/Barmer","Rajasthan/Bharatpur","Rajasthan/Bhilwara","Rajasthan/Bikaner","Rajasthan/Bundi","Rajasthan/Chittorgarh","Rajasthan/Churu","Rajasthan/Dausa","Rajasthan/Dholpur","Rajasthan/Dungarpur","Rajasthan/Evacuees","Rajasthan/Ganganagar","Rajasthan/Hanumangarh","Rajasthan/Jaipur","Rajasthan/Jaisalmer","Rajasthan/Jalore","Rajasthan/Jhalawar","Rajasthan/Jhunjhunu","Rajasthan/Jodhpur","Rajasthan/Karauli","Rajasthan/Kota","Rajasthan/Nagaur","Rajasthan/Other State","Rajasthan/Other state","Rajasthan/Pali","Rajasthan/Pratapgarh","Rajasthan/Rajsamand","Rajasthan/Sawai Madhopur","Rajasthan/Sikar","Rajasthan/Sirohi","Rajasthan/Tonk","Rajasthan/Udaipur"
"2020-03-10","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-14","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","   .00 %","","","","","","","","","",""," 66.67 %","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","","","","","","","",""," 16.67 %","   .00 %","","","","","","   .00 %","","","","   .00 %","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","",""," 50.00 %","","","","","","","   .00 %","","","","","",""
"2020-03-25","","","","","","",""," 15.38 %","","","","","","","","","","","","","",""," 14.29 %"," 33.33 %","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","  3.33 %","","","","","","","","","",""," 10.00 %","","",""," 12.50 %"," 25.00 %","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","  6.45 %","","","","   .00 %","","","   .00 %","","","","  9.09 %","","","",""," 20.00 %","","","","","","","","","","","","",""
"2020-03-28","   .00 %","","","","","","","  9.09 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29"," ##.## %","","","","","","","  2.78 %","","","","","","","","","","","","","",""," 11.11 %","","","","","","","","","","","","","",""
"2020-03-30","","   .00 %","","","","","","  2.70 %","","","","","","","","   .00 %","",""," 83.33 %","","","",""," 16.67 %","","","","","","","","","","","","",""
"2020-03-31"," 25.00 %","","","","","","","","","","","","",""," 50.00 %"," ##.## %","","","  4.55 %","","",""," 10.00 %","","","","","","","","","","","","","",""
"2020-04-01",""," ##.## %","","","","","","","","",""," ##.## %","","","","  5.88 %","",""," 56.52 %","","","",""," 14.29 %","","","","","","","","","","","","   .00 %",""
"2020-04-02","","","","","","","   .00 %","","","","","","","   .00 %","","","",""," 19.44 %","","","","  9.09 %"," 25.00 %","","","","","","","","","","","","","   .00 %"
"2020-04-03",""," ##.## %","","","",""," ##.## %","","   .00 %","","","","   .00 %","",""," 50.00 %","",""," 32.56 %","","","","","","","","","","","","","","","",""," ##.## %"," ##.## %"
"2020-04-04","","","","   .00 %","",""," 66.67 %","  2.63 %"," ##.## %","",""," 25.00 %","","","","  3.70 %","","","","","",""," 66.67 %"," 70.00 %","   .00 %","","","","","","","","","","","  6.25 %",""
"2020-04-05","","","","","","","",""," ##.## %","","",""," ##.## %","",""," 17.86 %","",""," 68.42 %","   .00 %","","","  5.00 %"," 17.65 %","","","   .00 %","",""," ##.## %","","","","","","  5.88 %",""
"2020-04-06","","","","","","","",""," 10.00 %","","",""," ##.## %",""," 66.67 %","  9.09 %","","","  8.33 %","","",""," 23.81 %","  5.00 %","","   .00 %","","","","","","","","",""," 11.11 %",""
"2020-04-07","","",""," ##.## %","",""," 60.00 %",""," 27.27 %","",""," 10.00 %","","","","","","","  5.77 %"," ##.## %","","",""," 42.86 %","","","","","","","","","","","","",""
"2020-04-08","","",""," 11.11 %","","","",""," 42.86 %","","","","","","","","",""," 20.91 %","","","   .00 %","  3.85 %","  3.33 %"," ##.## %"," 50.00 %","","","","","","","","","","",""
"2020-04-09","","",""," 20.00 %","","   .00 %","","  2.56 %","","","","","","",""," 16.67 %","",""," 29.32 %"," 35.71 %",""," ##.## %"," 25.93 %","  9.68 %",""," 13.33 %","","","","","","","","",""," 35.00 %",""
"2020-04-10",""," 20.00 %",""," ##.## %","",""," 12.50 %","","","","",""," 16.67 %","",""," 19.05 %","",""," 30.81 %"," 42.11 %",""," 33.33 %",""," 26.47 %",""," 11.76 %","","","","","","","","","","",""
"2020-04-11",""," 16.67 %",""," 54.17 %","","","",""," 30.00 %","","",""," 14.29 %","","","","",""," 35.56 %","  3.70 %",""," 16.67 %","",""," 50.00 %"," 73.68 %","","","","","","","","",""," 74.07 %",""
"2020-04-12","","",""," 40.54 %","","","",""," 30.77 %","",""," 27.27 %","","","","  4.00 %","","   .00 %"," 13.11 %","  3.57 %","","",""," 18.60 %",""," 21.21 %"," ##.## %","","","","","",""," ##.## %",""," 25.53 %",""
"2020-04-13","","",""," 13.46 %","",""," ##.## %","","","","",""," 37.50 %","","","  3.85 %","","","  8.41 %","","","  7.14 %",""," 60.78 %",""," 22.50 %","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","",""," 22.19 %","  3.45 %",""," 13.33 %","  2.94 %"," 15.85 %",""," 16.33 %","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","  9.09 %","","","","","","  6.56 %","","","","  2.86 %"," 10.53 %",""," 47.37 %"," 16.67 %","","","","","","","","","  1.69 %",""
"2020-04-16"," 20.00 %","","","","",""," ##.## %","","  2.94 %","","","","","","","","","","   .62 %","","","","  5.56 %"," 10.48 %","","  2.38 %"," 14.29 %","","","","","","","",""," 18.33 %",""
"2020-04-17"," ##.## %","","","","","","","","","","","","  8.33 %","",""," 11.11 %","","","  1.63 %","","","  5.88 %","  2.63 %"," 32.76 %","","  6.98 %"," 75.00 %","","","","","","","",""," 30.99 %",""
"2020-04-18"," 20.00 %","","","  1.69 %","",""," 97.67 %","","","","","","","","","","","","  5.02 %","  3.33 %","","",""," 16.88 %","","  5.43 %"," ##.## %","","","","","","","","","  2.15 %",""
"2020-04-19"," 27.78 %","","","","",""," 20.00 %","  2.50 %","  5.71 %","","","","","","","",""," 50.00 %","  3.06 %","  3.23 %",""," 11.11 %","  2.56 %"," 26.67 %","","  2.06 %"," 87.10 %","","","","","","   .00 %","","","",""
"2020-04-20","  4.35 %","","","  1.67 %","","",""," -2.44 %","","","","","","","","  1.67 %","","","  9.28 %","","","","  5.00 %"," 14.04 %","","  7.07 %","  5.17 %","","","","","","","","","  1.05 %",""
"2020-04-21"," ##.## %","","","","","",""," 12.50 %","","","",""," 53.85 %","","","",""," ##.## %"," 12.22 %","  6.25 %","","","  2.38 %","  6.15 %","","  1.89 %"," 16.39 %","","","","",""," 75.00 %","","","  2.08 %",""
"2020-04-22"," 74.58 %","","","","","","   .98 %","","","","","","  5.00 %","","","","",""," 10.29 %","","","","","  3.99 %","","  5.56 %","  5.63 %","","","","",""," 14.29 %","",""," 17.35 %",""
"2020-04-23","  2.91 %","","","",""," ##.## %","  2.91 %","","","","","","","","","",""," 25.00 %","  2.06 %","","","","  2.33 %","  8.01 %","","  7.02 %"," 24.00 %","","","","","",""," ##.## %","","",""
"2020-04-24","","","","","","","   .94 %","","","","","","","","","","","","  4.84 %","",""," 20.00 %","","  1.94 %",""," 18.03 %","","",""," 50.00 %","","","","","","",""
"2020-04-25","  5.66 %","","","","","","  1.87 %","","","","   .00 %","",""," ##.## %"," 20.00 %","","","","  1.92 %","",""," 20.83 %","  2.27 %","  3.16 %","","  3.47 %","","","","-33.33 %","","   .00 %","","","","",""
"2020-04-26","  9.82 %","","","  1.64 %","","","   .92 %","","","","","",""," 66.67 %","","",""," 10.00 %","  2.14 %","","","  3.45 %",""," 11.66 %","","  6.04 %"," 21.51 %","","","","","",""," 25.00 %","",""," 25.00 %"
"2020-04-27","   .81 %","   .00 %","","   .00 %","","","   .00 %","  4.44 %","   .00 %",""," ##.## %","   .00 %","","","","   .00 %","","","  3.08 %","  2.94 %",""," 33.33 %","   .00 %","  3.02 %","","  4.43 %","  2.65 %","",""," 50.00 %","","","","   .00 %","","  6.96 %"," 20.00 %"
"2020-04-28","  8.87 %","","","  1.61 %","","","","","","","","",""," 80.00 %","","","","","  3.11 %","","","   .00 %","   .00 %","  6.67 %",""," 14.55 %","   .86 %","","","","","",""," 20.00 %","","  6.50 %"," 16.67 %"
