"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/idukki"
"2020-08-16","-27.12 %"," 16.04 %"," -3.23 %","","   .00 %","-40.74 %","-10.99 %"," ##.## %","-21.85 %","-38.95 %","","-60.81 %","-10.20 %"," 61.68 %","-64.71 %","  2.08 %",""
"2020-08-17"," 61.63 %","  4.88 %","-23.33 %",""," 48.08 %"," ##.## %","-40.74 %","-11.00 %","-61.02 %"," 38.46 %",""," ##.## %","-95.45 %","-11.18 %"," ##.## %","-69.39 %",""
"2020-08-18"," -9.35 %"," 48.84 %","-78.26 %",""," 59.74 %","-56.70 %"," 83.33 %","  4.49 %"," ##.## %","-20.92 %","","-62.77 %"," ##.## %","  6.07 %","-69.23 %"," ##.## %",""
"2020-08-19"," ##.## %"," 19.79 %"," ##.## %","","  2.44 %"," ##.## %","-12.50 %"," ##.## %","-46.94 %"," 33.06 %",""," 27.45 %"," 33.85 %"," 10.43 %"," ##.## %","-63.83 %",""
"2020-08-20","-21.74 %","-34.78 %","-45.31 %","","-38.10 %","-47.70 %"," 11.69 %","-38.92 %"," 66.67 %"," 10.56 %","","   .00 %"," 36.78 %","-20.56 %","-25.77 %"," ##.## %",""
"2020-08-21","-21.72 %"," 10.00 %"," -2.86 %","","   .00 %"," 15.38 %"," -4.65 %","  9.68 %"," 21.54 %"," -5.90 %",""," 27.69 %","-34.45 %","   .00 %"," 65.28 %","-25.71 %",""
"2020-08-22","-43.87 %","-30.91 %","  8.82 %","","-20.51 %"," 13.33 %"," -6.10 %","-23.53 %"," 46.84 %"," 17.91 %",""," ##.## %"," 19.23 %","  8.16 %"," 50.42 %"," -3.85 %",""
"2020-08-23"," ##.## %"," 75.44 %","-21.62 %",""," ##.## %","-28.57 %"," 72.73 %","  1.92 %","-48.71 %","-52.91 %","","-78.80 %"," 11.83 %","-14.44 %","-35.20 %","-60.00 %",""
"2020-08-24","-75.10 %","-17.50 %","-34.48 %","","-46.85 %"," 38.82 %","-15.79 %","-16.04 %","-31.93 %"," -9.14 %",""," ##.## %","-94.23 %","-54.16 %","-60.34 %"," ##.## %",""
"2020-08-25"," ##.## %"," -1.21 %","-68.42 %",""," 97.37 %","-16.10 %","-22.32 %"," -3.37 %"," ##.## %"," ##.## %",""," 53.54 %"," ##.## %"," ##.## %"," ##.## %"," 85.00 %",""
"2020-08-26"," 13.53 %"," 18.40 %"," ##.## %","","-14.67 %","  2.02 %"," 52.87 %"," 59.30 %","-17.31 %","-22.47 %","","-43.42 %"," 93.55 %"," 17.90 %","-10.13 %","-18.92 %",""
"2020-08-27","-10.88 %","-27.46 %","-57.14 %","","-20.31 %"," ##.## %"," 32.33 %"," 37.96 %"," 10.70 %","-34.66 %",""," ##.## %"," -7.22 %","-23.64 %","-20.59 %","-16.67 %",""
"2020-08-28"," 66.28 %"," 47.86 %"," 81.48 %",""," 32.35 %","-32.03 %","-11.36 %","-33.33 %","-26.89 %"," 29.57 %","","-34.87 %","-47.31 %"," 51.14 %"," 16.67 %","-24.00 %",""
"2020-08-29","-38.81 %","-34.30 %","-44.90 %","","-29.63 %"," 26.11 %"," 50.00 %"," 10.32 %","-12.64 %"," 27.18 %","","  4.72 %","-14.77 %","-23.31 %"," 19.05 %"," 10.53 %",""
"2020-08-30","-47.43 %"," 69.85 %"," 29.63 %",""," 17.89 %","-19.70 %","-35.47 %"," 60.43 %"," ##.## %","-48.55 %","","-66.17 %"," 77.33 %","-24.02 %","-32.89 %","-38.10 %",""
"2020-08-31"," 48.91 %"," -9.09 %","-57.14 %","","-33.93 %","-35.22 %","-13.25 %","-61.43 %","-61.51 %"," -9.23 %",""," -6.67 %","-19.55 %","-28.71 %","-43.71 %"," 92.31 %",""
"2020-09-01","-76.64 %","-23.33 %","","","  4.05 %","-85.44 %","-80.92 %","-27.91 %"," 32.48 %","  7.91 %","","   .00 %","-88.79 %","  2.71 %"," 56.47 %","-68.00 %",""
"2020-09-02"," ##.## %","-15.53 %","   .00 %",""," 84.42 %"," ##.## %"," ##.## %"," ##.## %"," 31.61 %","-23.56 %","","-28.57 %"," 41.67 %","   .44 %"," -9.02 %"," ##.## %",""
"2020-09-03","-45.28 %"," 20.59 %"," ##.## %","","-47.89 %"," 51.14 %","-19.75 %"," 10.34 %","-35.78 %","-37.67 %",""," 93.33 %"," ##.## %"," 39.04 %","-23.14 %","-52.63 %",""
"2020-09-04"," 21.84 %"," 67.07 %","-34.09 %",""," 55.41 %"," 77.44 %"," ##.## %"," 11.25 %"," 27.48 %"," 95.60 %","","-27.59 %"," 19.49 %"," 50.47 %"," ##.## %"," ##.## %",""
"2020-09-05"," 23.58 %","-32.12 %","  6.90 %",""," 93.04 %"," 16.95 %","-31.45 %","-33.15 %"," 46.11 %"," 39.89 %",""," ##.## %","  4.96 %"," 23.69 %","-17.16 %","-76.19 %",""
"2020-09-06"," 68.70 %"," 51.08 %"," 25.81 %",""," -9.91 %","-21.01 %"," 92.94 %"," 63.87 %","  8.20 %"," 30.12 %",""," 62.00 %","-23.65 %","-10.51 %","   .00 %"," ##.## %",""
"2020-09-07"," ##.## %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %",""
